,x,y,광역시도,행정구역,year_avg
강원도 강릉시,11,4,강원도,강릉시,30
강원도 고성군,9,0,강원도,고성군,25
강원도 동해시,11,5,강원도,동해시,25
강원도 삼척시,11,8,강원도,삼척시,25
강원도 속초시,9,1,강원도,속초시,16
강원도 양구군,8,0,강원도,양구군,26
강원도 양양군,10,2,강원도,양양군,24
강원도 영월군,10,8,강원도,영월군,32
강원도 원주시,10,7,강원도,원주시,30
강원도 인제군,9,2,강원도,인제군,24
강원도 정선군,11,6,강원도,정선군,30
강원도 철원군,6,0,강원도,철원군,32
강원도 춘천시,10,3,강원도,춘천시,25
강원도 태백시,11,7,강원도,태백시,27
강원도 평창군,10,6,강원도,평창군,34
강원도 홍천군,10,4,강원도,홍천군,35
강원도 화천군,7,0,강원도,화천군,26
강원도 횡성군,10,5,강원도,횡성군,32
경기도 가평군,9,3,경기도,가평군,22
경기도 고양시,4,2,경기도,고양시,39
경기도 과천시,7,7,경기도,과천시,39
경기도 광명시,3,3,경기도,광명시,40
경기도 광주시,8,7,경기도,광주시,23
경기도 구리시,9,4,경기도,구리시,37
경기도 군포시,5,8,경기도,군포시,37
경기도 김포시,2,3,경기도,김포시,29
경기도 남양주시,8,3,경기도,남양주시,35
경기도 동두천시,7,2,경기도,동두천시,34
경기도 부천시,2,4,경기도,부천시,45
경기도 성남시,7,8,경기도,성남시,37
경기도 수원시,6,9,경기도,수원시,38
경기도 시흥시,3,5,경기도,시흥시,35
경기도 안산시,3,6,경기도,안산시,33
경기도 안성시,4,8,경기도,안성시,29
경기도 안양시,3,4,경기도,안양시,40
경기도 양주시,8,2,경기도,양주시,34
경기도 양평군,9,6,경기도,양평군,24
경기도 여주시,9,7,경기도,여주시,22
경기도 연천군,7,1,경기도,연천군,30
경기도 오산시,3,8,경기도,오산시,34
경기도 용인시,7,9,경기도,용인시,38
경기도 의왕시,6,8,경기도,의왕시,36
경기도 의정부시,7,3,경기도,의정부시,25
경기도 이천시,8,8,경기도,이천시,35
경기도 파주시,3,2,경기도,파주시,36
경기도 평택시,5,9,경기도,평택시,40
경기도 포천시,8,1,경기도,포천시,39
경기도 하남시,9,5,경기도,하남시,20
경기도 화성시,3,7,경기도,화성시,30
경상남도 거제시,9,20,경상남도,거제시,15
경상남도 거창군,6,15,경상남도,거창군,30
경상남도 고성군,7,19,경상남도,고성군,26
경상남도 김해시,8,19,경상남도,김해시,29
경상남도 남해군,6,19,경상남도,남해군,22
경상남도 밀양시,8,16,경상남도,밀양시,34
경상남도 사천시,6,18,경상남도,사천시,14
경상남도 산청군,5,18,경상남도,산청군,24
경상남도 양산시,8,17,경상남도,양산시,20
경상남도 의령군,7,16,경상남도,의령군,24
경상남도 진주시,6,17,경상남도,진주시,22
경상남도 창녕군,7,15,경상남도,창녕군,29
경상남도 창원시,7,18,경상남도,창원시,25
경상남도 통영시,8,20,경상남도,통영시,27
경상남도 하동군,5,19,경상남도,하동군,28
경상남도 함안군,7,17,경상남도,함안군,28
경상남도 함양군,6,16,경상남도,함양군,28
경상남도 합천군,7,14,경상남도,합천군,25
경상북도 경산시,11,12,경상북도,경산시,34
경상북도 경주시,12,12,경상북도,경주시,28
경상북도 고령군,7,13,경상북도,고령군,29
경상북도 구미시,9,10,경상북도,구미시,34
경상북도 군위군,9,11,경상북도,군위군,21
경상북도 김천시,8,11,경상북도,김천시,24
경상북도 문경시,9,8,경상북도,문경시,22
경상북도 봉화군,11,9,경상북도,봉화군,21
경상북도 상주시,8,9,경상북도,상주시,33
경상북도 성주군,8,12,경상북도,성주군,22
경상북도 안동시,10,10,경상북도,안동시,30
경상북도 영덕군,12,10,경상북도,영덕군,9
경상북도 영양군,11,10,경상북도,영양군,18
경상북도 영주시,10,9,경상북도,영주시,27
경상북도 영천시,10,12,경상북도,영천시,33
경상북도 예천군,9,9,경상북도,예천군,23
경상북도 울릉군,13,6,경상북도,울릉군,26
경상북도 울진군,12,9,경상북도,울진군,25
경상북도 의성군,10,11,경상북도,의성군,20
경상북도 청도군,8,13,경상북도,청도군,22
경상북도 청송군,11,11,경상북도,청송군,20
경상북도 칠곡군,9,12,경상북도,칠곡군,33
경상북도 포항시,12,11,경상북도,포항시,35
광주광역시 광산구,2,19,광주광역시,광산구,23
