주소,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,광역시도,시군구
강원도 강릉시,41.0,42.0,51.0,36.0,47.0,32.0,29.0,28.0,25.0,29.0,0.0,30.0,강원도,강릉시
강원도 고성군,45.0,41.0,49.0,35.0,43.0,25.0,22.0,24.0,23.0,27.0,28.0,27.0,강원도,고성군
강원도 동해시,41.0,43.0,49.0,38.0,45.0,30.0,26.0,25.0,19.0,25.0,30.0,24.0,강원도,동해시
강원도 삼척시,40.0,43.0,48.0,35.0,41.0,30.0,25.0,24.0,20.0,25.0,26.0,25.0,강원도,삼척시
강원도 속초시,49.0,46.0,53.0,43.0,48.0,29.0,25.0,28.0,25.0,32.0,31.0,31.0,강원도,속초시
강원도 양구군,60.0,47.0,57.0,40.0,45.0,27.0,23.0,25.0,19.0,25.0,35.0,37.0,강원도,양구군
강원도 양양군,41.0,38.0,45.0,35.0,43.0,26.0,22.0,22.0,17.0,25.0,27.0,26.0,강원도,양양군
강원도 영월군,66.0,58.0,65.0,41.0,46.0,30.0,28.0,30.0,21.0,28.0,37.0,37.0,강원도,영월군
강원도 원주시,43.8,39.0,42.2,26.6,31.4,20.8,18.6,17.8,12.6,16.6,23.2,23.8,강원도,원주시
강원도 인제군,0.0,0.0,0.0,32.0,43.0,25.0,22.0,24.0,15.0,21.0,28.0,31.0,강원도,인제군
강원도 정선군,49.0,44.0,48.0,32.0,39.0,26.0,27.0,26.0,20.0,29.0,37.0,41.0,강원도,정선군
강원도 철원시,67.0,51.0,62.0,39.0,49.0,27.0,26.0,20.0,20.0,29.0,39.0,40.0,강원도,철원시
강원도 춘천시,74.5,62.0,66.5,39.5,48.5,30.5,25.5,27.0,20.0,31.0,45.0,47.0,강원도,춘천시
강원도 태백시,0.0,41.0,50.0,36.0,42.0,28.0,31.0,31.0,25.0,31.0,38.0,36.0,강원도,태백시
강원도 평창군,62.0,56.0,65.0,43.0,47.0,33.0,29.0,29.0,24.0,31.0,40.0,43.0,강원도,평창군
강원도 홍천군,0.0,59.0,64.0,33.0,38.0,21.0,17.0,23.0,20.0,29.0,43.0,51.0,강원도,홍천군
강원도 화천군,0.0,46.0,56.0,35.0,40.0,25.0,23.0,24.0,19.0,23.0,30.0,33.0,강원도,화천군
강원도 횡성군,66.0,57.0,75.0,42.0,51.0,32.0,25.0,26.0,20.0,28.0,41.0,46.0,강원도,횡성군
경기도 가평군,58.0,45.0,50.0,28.0,32.0,20.0,19.0,20.0,16.0,26.0,35.0,38.0,경기도,가평군
경기도 고양시,68.0,55.25,69.25,43.75,56.25,31.25,29.25,26.0,26.25,37.5,46.75,44.0,경기도,고양시
경기도 과천시,66.0,59.0,67.0,42.5,56.5,33.5,32.0,31.0,26.0,33.0,44.5,43.5,경기도,과천시
경기도 광명시,73.5,62.0,76.0,47.0,60.0,34.0,32.0,31.5,28.5,40.5,54.5,42.0,경기도,광명시
경기도 광주시,79.0,69.0,80.0,46.0,56.0,32.0,27.0,28.0,22.0,32.0,47.0,57.0,경기도,광주시
경기도 구리시,77.0,61.5,66.5,40.5,52.0,30.5,30.0,29.0,23.5,34.5,46.0,48.0,경기도,구리시
경기도 군포시,72.0,63.0,78.0,56.0,67.0,41.5,44.0,31.0,24.0,35.5,43.0,43.5,경기도,군포시
경기도 김포시,74.66666666666667,57.666666666666664,74.66666666666667,46.666666666666664,58.333333333333336,27.666666666666668,27.333333333333332,24.333333333333332,28.0,41.666666666666664,49.0,48.666666666666664,경기도,김포시
경기도 남양주시,69.25,58.5,67.0,41.25,53.25,31.5,30.25,28.25,21.0,31.75,43.75,43.75,경기도,남양주시
경기도 동두천시,74.0,57.0,68.0,42.0,51.0,28.0,24.0,25.0,21.0,33.0,47.0,48.0,경기도,동두천시
경기도 부천시,79.0,66.25,82.25,57.0,64.0,41.0,37.0,36.0,36.0,52.5,57.25,51.75,경기도,부천시
경기도 성남시,67.0,57.333333333333336,67.16666666666667,39.666666666666664,51.333333333333336,30.5,29.166666666666668,29.666666666666668,23.833333333333332,33.333333333333336,58.833333333333336,35.5,경기도,성남시
경기도 수원시,56.42857142857143,49.42857142857143,59.42857142857143,41.285714285714285,52.57142857142857,29.428571428571427,30.571428571428573,30.142857142857142,24.428571428571427,32.285714285714285,42.0,42.57142857142857,경기도,수원시
경기도 시흥시,79.0,68.0,84.33333333333333,54.333333333333336,67.33333333333333,36.333333333333336,33.333333333333336,33.333333333333336,34.0,46.333333333333336,53.333333333333336,52.333333333333336,경기도,시흥시
경기도 안산시,69.0,60.285714285714285,71.14285714285714,42.57142857142857,52.42857142857143,28.571428571428573,28.714285714285715,30.571428571428573,27.428571428571427,36.285714285714285,43.57142857142857,43.142857142857146,경기도,안산시
경기도 안성시,75.0,68.0,78.0,47.0,58.0,30.0,23.0,26.0,22.0,37.0,53.0,48.0,경기도,안성시
경기도 안양시,74.0,60.5,73.5,48.25,60.75,34.75,32.75,31.75,25.5,36.5,47.75,48.75,경기도,안양시
경기도 양주시,83.5,61.5,70.0,39.5,52.5,27.5,25.0,24.0,23.0,37.5,47.0,42.5,경기도,양주시
경기도 양평군,70.0,60.0,66.0,38.0,49.0,30.0,26.0,28.0,20.0,29.0,40.0,42.0,경기도,양평군
경기도 여주시,39.0,33.5,35.5,21.5,28.5,17.5,10.0,9.5,11.5,17.0,24.5,24.5,경기도,여주시
경기도 연천군,55.0,46.0,57.0,36.0,43.0,24.0,23.0,21.0,18.0,29.0,39.0,40.0,경기도,연천군
