"구분(1)",구분(2),구분(3),구분(4),2020.09,2020.10,2020.11,2020.12,2021.01,2021.02
"도시대기",인천,서구,석남,0.4,0.5,0.6,0.6,0.6,0.6
"도시대기",인천,서구,검단,0.4,0.5,0.6,0.6,0.6,0.6
"도시대기",인천,서구,원당,0.4,0.5,0.6,0.7,0.7,0.6
"도시대기",인천,서구,청라,0.4,0.5,0.5,0.6,0.6,0.6
"도시대기",인천,계양구,계산,0.4*,0.3,0.6,0.7,0.6*,0.6*
"도시대기",인천,강화군,송해,0.3*,0.4,0.4,0.5,0.5,0.5
"도시대기",인천,강화군,길상,0.4,0.5,0.5,0.7,0.6,0.6
"도시대기",인천,연수구,동춘,0.4,0.5,0.6,0.6,0.6,0.6
"도시대기",인천,연수구,송도,0.4,0.5,0.5,0.6,0.5,0.6
"도시대기",인천,연수구,아암,0.3**,0.4,0.4,0.4,0.4,0.4
"도시대기",인천,미추홀구,숭의,0.4,0.5,0.6,0.6,0.6,0.6
"도시대기",인천,미추홀구,주안,0.4**,0.4,0.6,0.6,0.6,0.6
"도시대기",광주,동구,서석동,0.3,0.4,0.6,0.6,0.7,0.6
"도시대기",광주,서구,농성동,0.4,0.5,0.6,0.7,0.6,0.6
"도시대기",광주,서구,유촌동,-,-,-,0.4,0.4,0.4
"도시대기",광주,북구,두암동,0.4,0.4,0.5,0.6,0.6,0.6
"도시대기",광주,북구,건국동,0.3,0.3,0.4,0.3,0.4,0.3
"도시대기",광주,북구,일곡동,-,-,-,0.3,0.4,0.3
"도시대기",광주,광산구,송정1동,0.3,0.4,0.5**,-,-,-
"도시대기",광주,광산구,오선동,0.3,0.4,0.4,0.4,0.4,0.4
"도시대기",광주,광산구,평동,0.3,0.3,0.5,0.6,0.6,0.5
"도시대기",광주,광산구,우산동,-,-,0.4*,0.5,0.5,0.4
"도시대기",광주,남구,주월동,0.3,0.4,0.6,0.6,0.6,0.4
"도시대기",광주,남구,노대동,0.3,0.3,0.5,0.5,0.4,0.5
"도시대기",대전,대덕구,읍내동,0.5,0.4,0.8,0.7,0.8,0.8
"도시대기",대전,대덕구,문평동,0.3*,0.3,0.3,0.4,0.4,0.4
"도시대기",대전,중구,문창동,0.2,0.4,0.5,0.6,0.6,0.6
"도시대기",대전,유성구,상대동,0.3,0.4,0.4,0.5,0.5,0.5
"도시대기",대전,유성구,구성동,0.4*,0.4,0.5,0.5,0.5,0.5
"도시대기",대전,유성구,노은동,0.3,0.3,0.4,0.4,0.4,0.4
"도시대기",대전,유성구,관평동,-,-,-,0.6,0.7,0.7
"도시대기",대전,동구,성남동,0.3,0.4,0.5,0.6,0.6,0.5
"도시대기",대전,동구,대성동,0.3,0.3,0.4,0.4,0.4,0.4
"도시대기",대전,서구,정림동,0.4,0.4,0.5,0.5,0.7,0.6
"도시대기",대전,서구,둔산동,0.5,0.4,0.6,0.5,0.6,0.7
"도시대기",울산,중구,성남동,0.4,0.4,0.4,0.5,0.5,0.5
"도시대기",울산,중구,약사동,0.5,0.5,0.5,0.5,0.6,0.5
"도시대기",울산,남구,부곡동,0.7,0.6,0.6,0.6,0.5,0.6
"도시대기",울산,남구,여천동,0.7,0.6,0.6,0.6,0.6,0.6
"도시대기",울산,남구,야음동,0.4,0.4,0.5,0.5,0.5,0.5
"도시대기",울산,남구,신정동,0.6,0.6,0.6,0.6,0.6,0.6
"도시대기",울산,남구,무거동,0.4,0.4,0.4,0.4,0.4,0.5
"도시대기",울산,남구,삼산동,0.5,0.5,0.6,0.6,0.6,0.5
"도시대기",울산,울주군,덕신리,0.5**,0.5,0.5,0.5,0.5,0.5
"도시대기",울산,울주군,웅촌면,0.6,0.6,0.4,0.5,0.5,0.4
"도시대기",울산,울주군,범서읍,0.3,0.3,0.3,0.4,0.4,0.4
"도시대기",울산,울주군,삼남면,0.6,0.5,0.5,0.5,0.4,0.5
"도시대기",울산,울주군,화산리,0.7,0.6,0.5,0.5,0.5,0.5
"도시대기",울산,울주군,상남리,0.3,0.4,0.4,0.5,0.5,0.4
"도시대기",울산,북구,효문동,0.3,0.3,0.4,0.4,0.4,0.4
"도시대기",울산,북구,농소동,0.5**,0.6,0.6,0.6,0.6,0.6
"도시대기",울산,동구,대송동,0.3,0.4,0.3,0.4,0.4,0.4
"도시대기",울산,동구,전하동,0.3,0.4,0.4,0.5,0.5,0.4
"도시대기",세종,세종,신흥동,0.3,0.4,0.6,0.6,0.6,0.6
"도시대기",세종,세종,아름동,0.4,0.5,0.5,0.6,0.6,0.5
"도시대기",세종,세종,한솔동,0.5,0.4,0.5,0.5,0.6,0.5
"도시대기",세종,세종,부강면,0.5,0.5,0.5,0.6,0.7,0.5
"도시대기",경기,수원,인계동,0.5,0.6,0.7,0.7,0.7,0.7
"도시대기",경기,수원,신풍동,0.4,0.5,0.6,0.5,0.7,0.5
"도시대기",경기,수원,광교동,0.5,0.5,0.6,0.6,0.6,0.6
"도시대기",경기,수원,영통동,0.5,0.6,0.7,0.7,0.7,0.6
"도시대기",경기,수원,천천동,0.4,0.4,0.5,0.6,0.6,0.5
"도시대기",경기,수원,고색동,0.5,0.6,0.6,0.7,0.7,0.6
"도시대기",경기,수원,호매실동,0.5,0.5,0.5,0.5,0.5,0.5
"도시대기",경기,안양,안양6동,0.4,0.5,0.8,1.0,0.9,0.9
"도시대기",경기,안양,부림동,0.5,0.6,0.6,0.6,0.6,0.6
"도시대기",경기,안양,호계동,0.3,0.4,0.4,0.4,0.4,0.5
"도시대기",경기,안양,안양2동,0.6,0.6,0.7,0.7,0.5,0.6
"도시대기",경기,성남,단대동,0.4,0.5,0.5,0.6,0.5,0.5
"도시대기",경기,성남,정자동,0.5,0.5,0.6,0.6,0.6,0.6
"도시대기",경기,성남,수내동,0.5,0.6,0.6,0.6,0.6,0.6
"도시대기",경기,성남,복정동,0.5,0.6,0.7,0.7,0.7,0.6
"도시대기",경기,성남,상대원동,0.4,0.5,0.6,0.5,0.6,0.6
"도시대기",경기,성남,운중동,0.5,0.5,0.6,0.6,0.5,0.5
"도시대기",경기,의정부,의정부동,0.4,0.5,0.6,0.6,0.6,0.6
"도시대기",경기,의정부,의정부1동,0.5,0.5,0.6,0.7,0.7,0.7
"도시대기",경기,의정부,송산3동,-,-,0.5,0.6,0.6,0.5
"도시대기",경기,광명,철산동,0.5,0.5,0.6,0.6,0.5,0.5
"도시대기",경기,광명,소하동,0.3,0.5,0.5,0.5,0.5,0.5
"도시대기",경기,안산,고잔동,0.3,0.4,0.5,0.5,0.5,0.5
"도시대기",경기,안산,원시동,0.3,0.4,0.4,0.4,0.4,0.5
"도시대기",경기,안산,본오동,0.0,0.6**,0.7,0.6,0.6,0.6
"도시대기",경기,안산,부곡동,0.3,0.5,0.5,0.6,0.5,0.5
"도시대기",경기,안산,대부동,0.3,0.4,0.4,0.5,0.4,0.5
"도시대기",경기,안산,호수동,0.4,0.5,0.5,0.5,0.5,0.5
"도시대기",경기,평택,비전동,0.3,0.4,0.4,0.5,0.4,0.5
"도시대기",경기,평택,안중,0.3,0.4,0.4,0.4,0.4,0.4
"도시대기",경기,평택,평택항,0.4,0.4,0.4,0.5,0.4,0.5
"도시대기",경기,평택,송북동,0.4,0.5,0.6,0.6,0.6,0.6
"도시대기",경기,평택,청북읍,0.4,0.5,0.4,0.5,0.4,0.4
"도시대기",경기,과천,별양동,0.5,0.5,0.6,0.5,0.5,0.5
"도시대기",경기,과천,과천동,0.4,0.5,0.6,0.7,0.7,0.7
"도시대기",경기,구리,교문동,0.3,0.3,0.4,0.4,0.4,0.4
"도시대기",경기,구리,동구동,0.3,0.4,0.5,0.5,0.5,0.5
"도시대기",경기,의왕,부곡3동,0.3,0.4,0.5,0.6,0.5,0.6
"도시대기",경기,의왕,고천동,0.4,0.4,0.4,0.5,0.6,0.6
"도시대기",경기,고양,행신동,0.3,0.4,0.6,0.6,0.6,0.6
"도시대기",경기,고양,식사동,0.4,0.4,0.4,0.5,0.4,0.4
"도시대기",경기,고양,신원동,0.3,0.4,0.5,0.5,0.4,0.5
"도시대기",경기,고양,주엽동,0.4,0.5,0.6,0.7,0.7,0.6
"도시대기",경기,광주,경안동,0.3,0.4,0.6,0.6,0.6,0.5
"도시대기",경기,광주,오포읍,0.4,0.5,0.7,0.7,0.7,0.6
"도시대기",경기,광주,곤지암,-,-,-,0.6,0.6,0.5
"도시대기",경기,군포,당동,0.4,0.5,0.5,0.6,0.6,0.6
"도시대기",경기,군포,산본동,0.3,0.4,0.3,0.5,0.5,0.5
"도시대기",경기,시흥,정왕동,0.4,0.5,0.6,0.6,0.6,0.6
"도시대기",경기,시흥,시화산단,0.5,0.6,0.7*,0.0,0.0,0.7
"도시대기",경기,시흥,대야동,0.5,0.6,0.6,0.7,0.6*,0.7
"도시대기",경기,시흥,목감동,0.5,0.6,0.6,0.6,0.6,0.6
"도시대기",경기,시흥,장현동,0.3,0.4,0.4,0.5,0.5,0.5
"도시대기",경기,부천,소사본동,0.5,0.7,0.7,0.6,0.6,0.5
"도시대기",경기,부천,내동,0.4,0.4,0.5,0.5,0.6,0.5
"도시대기",경기,부천,중2동,0.4,0.5,0.6,0.8,0.6*,0.5
"도시대기",경기,부천,오정동,0.5,0.7,0.8,0.8,0.7,0.6
"도시대기",경기,남양주,금곡동,0.4,0.5,0.5,0.6,0.5,0.5
"도시대기",경기,남양주,오남읍,0.4,0.4,0.4,0.5,0.5,0.5
"도시대기",경기,남양주,별내동,0.3,0.4,0.5,0.5,0.5,0.5
"도시대기",경기,남양주,화도읍,0.3,0.4,0.5,0.6,0.6,0.5
"도시대기",경기,남양주,와부읍,-,-,-,-,0.5,0.5
"도시대기",경기,남양주,진접읍,-,-,-,-,0.5,0.5
"도시대기",경기,용인,김량장동,0.4,0.4,0.5,0.6,0.5,0.5
"도시대기",경기,용인,수지,0.5,0.5,0.5,0.6,0.6,0.5
"도시대기",경기,용인,기흥,0.4,0.4,0.5,0.5,0.5,0.5
"도시대기",경기,용인,모현읍,0.4,0.4,0.5,0.6,0.6,0.6
"도시대기",경기,용인,이동읍,0.5,0.5,0.6,0.6,0.5,0.6
"도시대기",경기,용인,백암면,0.4,0.6,0.5,0.6,0.7,0.5
"도시대기",경기,김포,사우동,0.5**,0.4,0.5,0.5,0.6,0.5
"도시대기",경기,김포,고촌읍,0.3,0.3,0.4,0.4,0.4,0.4
"도시대기",경기,김포,월곶면,0.3,0.4,0.4,0.5,0.4,0.4
"도시대기",경기,김포,한강신도시,0.4,0.5,0.6,0.7,0.6,0.6
"도시대기",경기,오산,오산동,0.4,0.5,0.5,0.6,0.5,0.5
"도시대기",경기,하남,신장동,0.4,0.5,0.5,0.6,0.5,0.5
"도시대기",경기,하남,미사,0.3,0.4,0.6,0.6,0.6,0.6
"도시대기",경기,화성,남양읍,0.4,0.4,0.4,0.5,0.5,0.5
"도시대기",경기,화성,향남,0.4,0.5,0.5,0.5,0.4,0.4
"도시대기",경기,화성,동탄동,0.4,0.4,0.5,0.5,0.5,0.5
"도시대기",경기,화성,우정읍,0.4,0.5,0.5,0.5,0.5,0.5
"도시대기",경기,화성,새솔동,0.4**,0.5,0.6,0.5,0.6,0.6
"도시대기",경기,화성,봉담읍,0.4,0.5,0.6,0.6,0.6,0.6
"도시대기",경기,화성,서신면,0.4,0.4,0.5,0.5,0.5,0.5
"도시대기",경기,화성,청계동,0.4,0.4,0.5,0.5,0.5,0.5
"도시대기",경기,양주,백석읍,0.3,0.4,0.5,0.6,0.5,0.5
"도시대기",경기,양주,고읍,0.3,0.4,0.5,0.6,0.5,0.5
"도시대기",경기,동두천,보산동,0.4,0.5,0.5,0.6,0.5,0.5
"도시대기",경기,안성,봉산동,0.5,0.4,0.5,0.5,0.6,0.5
"도시대기",경기,안성,공도읍,0.4,0.5,0.6,0.5,0.5,0.5
"도시대기",경기,안성,죽산면,0.4,0.5,0.5,0.6,0.6,0.5
"도시대기",경기,이천,창전동,0.4,0.5,0.5,0.5,0.5,0.5
"도시대기",경기,이천,장호원읍,0.4,0.4,0.5,0.5,0.4,0.5
"도시대기",경기,이천,부발읍,0.4,0.5,0.5,0.6,0.5,0.5
"도시대기",경기,파주,금촌동,0.4,0.4,0.6,0.7,0.7,0.6
"도시대기",경기,파주,운정,0.5,0.5,0.6,0.6,0.6,0.6
"도시대기",경기,파주,파주읍,0.3,0.4,0.4,0.6,0.5,0.5
"도시대기",경기,포천,선단동,0.3,0.5,0.6,0.7,0.7,0.6
"도시대기",경기,포천,일동면,0.3,0.4,0.5,0.5,0.5,0.5
"도시대기",경기,여주,중앙동,0.4,0.5,0.6*,0.6,0.5,0.5
"도시대기",경기,여주,대신면,0.4,0.4,0.5,0.5,0.4,0.4
"도시대기",경기,여주,가남읍,-,-,-,0.6,0.5,0.5
"도시대기",경기,연천,연천,0.3,0.5,0.5,0.6,0.6,0.6
"도시대기",경기,가평,가평읍,0.3,0.4,0.5,0.5,0.5,0.4
"도시대기",경기,가평,설악면,0.3,0.4,0.4,0.5,0.5,0.5
"도시대기",경기,양평,양평,0.4,0.4,0.5,0.7,0.7,0.6
"도시대기",경기,양평,용문면,0.4,0.5,0.5,0.6,0.6,0.5
"도시대기",강원,양구,양구읍,0.4,0.5,0.5,0.5,0.6,0.6
"도시대기",강원,고성,상리,0.3,0.3,0.3,0.3,0.4,0.5
"도시대기",강원,정선,정선읍사무소,0.5,0.4,0.3,0.5,0.5,0.4
"도시대기",강원,횡성,횡성군,0.4,0.3,0.5,0.5,0.6,0.5
"도시대기",강원,춘천,중앙로,0.0,0.0,0.5**,0.6,0.6,0.5
"도시대기",강원,춘천,석사동,0.4,0.5,0.6,0.7,0.8,0.7
"도시대기",강원,춘천,신사우동,0.4,0.4,0.5,0.6,0.6,0.6
"도시대기",강원,강릉,옥천동,0.5,0.5,0.4,0.4,0.4,0.3
"도시대기",강원,원주,중앙동,0.3,0.4,0.6,0.7,0.7,0.6
"도시대기",강원,원주,문막읍,0.3,0.4,0.5,0.6,0.6,0.5
"도시대기",강원,원주,반곡동,0.3,0.4,0.4,0.6,0.6,0.5
"도시대기",강원,동해,천곡동,0.4,0.5,0.4,0.4,0.5,0.5
"도시대기",강원,삼척,남양동,0.3,0.3,0.4,0.4,0.4,0.4
"도시대기",강원,평창,평창읍,0.3,0.4,0.4,0.5,0.6,0.5
"도시대기",강원,양양,양양군,0.4,0.4,0.4,0.4,0.5,0.5
"도시대기",강원,속초,금호동,0.4,0.3,0.4,0.4,0.5,0.5
"도시대기",강원,영월,영월읍,0.4,0.5,0.6,0.5,0.5,0.4
"도시대기",강원,철원,철원군,0.4,0.4,0.4,0.4,-,-
"도시대기",강원,철원,갈말읍,-,-,-,-,0.5,0.5
"도시대기",강원,홍천,홍천읍,0.4,0.4,0.5,0.7,0.6,0.5
"도시대기",강원,화천,화천군,0.3,0.4,0.4,0.6,0.5,0.6
"도시대기",강원,태백,태백시,0.5,0.4,0.5,0.8,-,-
"도시대기",강원,태백,황지동,-,-,-,-,0.6,0.4
"도시대기",강원,인제,인제군,0.4,0.4,0.4*,0.3,0.5,0.5
"도시대기",충북,괴산,괴산읍,0.4,0.5,0.5,0.6,0.6,0.6
"도시대기",충북,괴산,감물면,0.4,0.4,0.4,0.5,0.5,0.4
"도시대기",충북,음성,음성읍,0.3,0.4,0.4,0.5,0.5,0.4
"도시대기",충북,음성,소이면,0.3,0.3,0.3,0.5,0.6,0.5
"도시대기",충북,청주,송정동,0.4,0.4,0.6,0.7,0.6,0.5
"도시대기",충북,청주,사천동,0.3,0.4,0.5,0.6,0.6,0.6
"도시대기",충북,청주,용담동,0.4,0.4,0.4,0.5,0.5,0.5
"도시대기",충북,청주,용암동,0.4,0.5,0.5,0.6,0.6,0.6
"도시대기",충북,청주,오창읍,0.4,0.4,0.5,0.7,0.6,0.6
"도시대기",충북,청주,산남동,0.3,0.4,0.4,0.4,0.6,0.5
"도시대기",충북,청주,가덕면,0.3,0.3,0.4,0.5,0.5,0.5
"도시대기",충북,청주,오송읍,0.3,0.4,0.5,0.5,0.6,0.5
"도시대기",충북,충주,호암동,0.3,0.4,0.5,0.6,0.6,0.7
"도시대기",충북,충주,칠금동,0.4,0.4,0.5,0.6,0.6,0.6
"도시대기",충북,충주,중앙탑면,0.4,0.4,0.4,0.4,0.5,0.6
"도시대기",충북,충주,살미면,0.4,0.4,0.5,0.5,0.6,0.6
"도시대기",충북,제천,장락동,0.4,0.4,0.7,1.0,0.9,0.8
"도시대기",충북,제천,영천동,0.4,0.5,0.6,0.8,0.7,0.6
"도시대기",충북,제천,청풍면,0.4,0.4,0.5,0.6,0.6,0.5
"도시대기",충북,단양,매포읍,0.4,0.5,0.6,0.7,0.5,0.7
"도시대기",충북,단양,단성면,0.4,0.5,0.6,0.6,0.7,0.6
"도시대기",충북,단양,단양읍,0.4,0.5,0.5,0.7,0.6,0.6
"도시대기",충북,진천,진천읍,0.3,0.6,0.7,0.7,0.7,0.7
"도시대기",충북,진천,덕산읍,0.4,0.4,0.4,0.4,0.4,0.4
"도시대기",충북,옥천,옥천읍,0.4,0.5,0.4,0.5,0.6,0.6
"도시대기",충북,영동,영동읍,0.4,0.4,0.5,0.6,0.5,0.6
"도시대기",충북,증평,증평읍,0.4,0.4,0.5,0.6,0.5,0.5
"도시대기",충북,보은,보은읍,0.4,0.5,0.5,0.6,0.6,0.5
"도시대기",충남,천안,성황동,0.4,0.4,0.5,0.5,0.5,0.5
"도시대기",충남,천안,백석동,0.5,0.7,0.6,0.5,0.5,0.6
"도시대기",충남,천안,성거읍,0.4,0.5,0.5,0.6,0.5,0.5
"도시대기",충남,천안,신방동,0.3,0.4,0.4,0.5,0.5,0.5
"도시대기",충남,당진,송산면,0.5,0.6,0.6,0.6,0.6,0.6
"도시대기",충남,당진,당진시청사,0.4,0.4,0.4,0.5,0.5,0.4
"도시대기",충남,서산,독곶리,0.4,0.4,0.4,0.5,0.5,0.4
"도시대기",충남,서산,동문동,0.5**,0.0,0.4,0.4,0.4,0.4
"도시대기",충남,서산,대산리,0.5,0.5,0.5,0.5,0.6,0.5
"도시대기",충남,서산,성연면,0.4,0.4,0.3,0.5,0.5,0.5
