address,m01avg,m02avg,m03avg,m04avg,m05avg,m06avg,m07avg,m08avg,m09avg,m10avg,m11avg,m12avg,year_avg
강원도 강릉시,25.0,32.0,36.0,38.0,32.0,42.0,14.0,17.0,27.0,31.0,32.0,30.0,30.0
강원도 고성군,23.0,28.0,32.0,34.0,27.0,33.0,14.0,16.0,19.0,28.0,22.0,25.0,25.0
강원도 동해시,21.0,28.0,30.0,32.0,27.0,30.0,16.0,22.0,21.0,25.0,26.0,25.0,25.0
강원도 삼척시,22.0,28.0,30.0,32.0,28.0,32.0,16.0,22.0,21.0,24.0,23.0,19.0,25.0
강원도 속초시,12.0,16.0,18.0,20.0,16.0,20.0,11.0,11.0,13.0,16.0,20.0,16.0,16.0
강원도 양구군,33.0,34.0,33.0,36.0,24.0,31.0,14.0,15.0,14.0,25.0,24.0,33.0,26.0
강원도 양양군,23.0,28.0,32.0,34.0,23.0,32.0,14.0,15.0,17.0,25.0,21.0,26.0,24.0
강원도 영월군,40.0,41.0,41.0,41.0,33.0,40.0,21.0,24.0,17.0,27.0,32.0,35.0,32.0
강원도 원주시,43.0,42.0,38.0,40.0,18.0,22.0,16.0,23.0,18.0,31.0,38.0,42.0,30.0
강원도 인제군,27.0,30.0,29.0,34.0,24.0,31.0,13.0,14.0,13.0,23.0,27.0,32.0,24.0
강원도 정선군,36.0,40.0,39.0,42.0,33.0,39.0,12.0,12.0,15.0,26.0,33.0,37.0,30.0
강원도 철원시,36.0,34.0,41.0,44.0,32.0,38.0,19.0,19.0,18.0,30.0,39.0,43.0,32.0
강원도 춘천시,30.0,28.0,28.0,29.0,21.0,37.0,17.0,17.0,11.0,21.0,37.0,42.0,25.0
강원도 태백시,33.0,34.0,36.0,40.0,32.0,35.0,13.0,14.0,15.0,23.0,25.0,26.0,27.0
강원도 평창군,39.0,41.0,41.0,44.0,34.0,40.0,22.0,22.0,26.0,29.0,38.0,44.0,34.0
강원도 홍천군,50.0,47.0,48.0,48.0,32.0,37.0,18.0,19.0,21.0,34.0,35.0,49.0,35.0
