부산광역시 강서구,부산광역시 금정구,부산광역시 기장군,부산광역시 남구,부산광역시 동구,부산광역시 동래구,부산광역시 부산진구,부산광역시 북구,부산광역시 사상구,부산광역시 사하구,부산광역시 서구,부산광역시 수영구,부산광역시 연제구,부산광역시 영도구,부산광역시 중구,부산광역시 해운대구,p_ks,p_gjj,p_kj,p_nam,p_dong,p_dr,pred_jin,p_buk,p_ss,p_sh,p_seo,p_sy,p_yj,p_yd,p_jung,p_hae
0.5327868852459017,0.3722627736954553,0.3369565217391304,0.4111111111111111,0.29107981225352114,0.46534653465346537,0.3385826771653543,0.31313131313131315,0.3615819208799196,0.2721518987341772,0.375,0.3283582089552239,0.4782608695652174,0.2550335570469799,0.3448275862068965,0.41573033707865165,0.4946859903381642,0.4228855720962353,0.4307304785894207,0.37649880095923266,0.2641737032010605,0.48190045248868774,0.38009049773755654,0.4541666665409375,0.4061757721025045,0.28460342151965545,0.3734567901503772,0.44043321302414995,0.4382978723882301,0.4208242950610999,0.33904109582644487,0.41527446300715987
0.5942622950819674,0.35036496347807555,0.4130434782608695,0.4555555555555556,0.35211267605633806,0.45544554455445546,0.4173228346456693,0.4545454545454546,0.6101694915452457,0.25949367088607594,0.3125,0.4925373134328358,0.4347826086956522,0.31543624161073824,0.44827586206896547,0.41573033707865165,0.5246376811594203,0.4112769487122844,0.40806045340050384,0.3836930455635492,0.28588661031793794,0.47285067873303166,0.4117647058823529,0.44375000004171883,0.4691211401822519,0.2954898911309206,0.37962962959516455,0.4693140793802343,0.425531914942508,0.4728850325836977,0.37328767123716927,0.4176610978520286
0.5491803278688525,0.4306569343481273,0.5652173913043479,0.5333333333333333,0.35680751169014085,0.6039603960396039,0.40944881889763785,0.5050505050505051,0.6271186440867567,0.45569620253164556,0.40625,0.44776119402985076,0.32608695652173914,0.30201342281879195,0.46551724137931033,0.651685393258427,0.561352657004831,0.37976782756565436,0.40554156171284633,0.40767386091127106,0.3220747888460671,0.46153846153846156,0.4638009049773755,0.44375000004171883,0.5451306414694258,0.35925349928061745,0.39814814811471183,0.5018050541120567,0.41276595749678596,0.5054229935353212,0.4075342466478936,0.4176610978520286
0.6885245901639344,0.48175182478235395,0.5543478260869565,0.5222222222222223,0.4882629108450704,0.5742574257425742,0.6456692913385826,0.595959595959596,0.6158192090025855,0.6392405063291139,0.3125,0.5223880597014926,0.5869565217391305,0.22147651006711408,0.5517241379310345,0.7303370786516854,0.5826086956521739,0.38308457706838944,0.4559193954659949,0.4388489208633094,0.3582629673741963,0.5,0.48868778280542985,0.5062500000370312,0.6068883612118106,0.47122861592206056,0.39814814811471183,0.5342960288438791,0.4595744680459937,0.5140997830356528,0.4589041096612404,0.4630071599045345
0.7540983606557378,0.5182481752176461,0.4782608695652174,0.8,0.5539906102816903,0.5247524752475248,0.7322834645669292,0.5656565656565657,0.5988700564610745,0.5759493670886076,0.234375,0.4776119402985075,0.5434782608695652,0.2953020134228188,0.7931034482758621,0.6292134831460674,0.6367149758454106,0.4096185738365387,0.48614609571788414,0.47242206235011996,0.4270205065776417,0.5497737556561086,0.5859728506787331,0.541666666534375,0.6496437056324017,0.5489891134653125,0.3919753086699245,0.5703971119514395,0.4936170211494794,0.5271149674163024,0.5479452054825483,0.5274463007159905
0.639344262295082,0.49635036500026647,0.4565217391304348,0.5222222222222223,0.6854460094366197,0.6732673267326732,0.7165354330708662,0.6161616161616162,0.5480225988365413,0.3987341772151899,0.484375,0.5970149253731344,0.5217391304347826,0.33557046979865773,0.9655172413793104,0.5842696629213484,0.7178743961352657,0.45107794374013027,0.5163727959697734,0.5587529976019185,0.4788902291949404,0.5633484162895928,0.7081447963800904,0.5937500000304688,0.6686460807404183,0.5800933125945884,0.40432098774468445,0.6462093863256917,0.5021276596168402,0.5509761388675942,0.6815068493172499,0.5918854415274464
0.6229508196721313,0.49635036500026647,0.4565217391304348,0.6,0.5962441314084508,0.594059405940594,0.4645669291338582,0.4040404040404041,0.4293785310459638,0.4810126582278481,0.578125,0.4328358208955224,0.5434782608695652,0.33557046979865773,0.5862068965517242,0.5393258426966292,0.7429951690821256,0.479270315135269,0.5440806045340051,0.5827338129496403,0.580217129073702,0.6108597285067874,0.8167420814479639,0.6125000000290626,0.6828978622852077,0.6314152410552498,0.44444444441358016,0.6714801445226446,0.5148936170625623,0.5770065076288932,0.7294520547278804,0.6276849642004774
0.5532786885245903,0.5547445254339601,0.5217391304347826,0.47777777777777775,0.4835680750704226,0.7029702970297029,0.25196850393700787,0.5555555555555556,0.5141242937535192,0.37341772151898733,0.46875,0.28358208955223885,0.4565217391304348,0.31543624161073824,0.44827586206896547,0.46067415730337075,0.7497584541062802,0.5124378111576446,0.5541561712846348,0.6139088729016787,0.6429433052494394,0.6425339366515838,0.830316742081448,0.6333333332775,0.6627078386260515,0.6594090202156105,0.4753086420078874,0.6209386281287389,0.5191489360409235,0.5770065076288932,0.7294520547278804,0.6539379474940334
0.36885245901639346,0.4890510947818211,0.42391304347826086,0.3333333333333333,0.38028169014084506,0.5841584158415841,0.5905511811023623,0.686868686868687,0.4519774010448147,0.3227848101265823,0.375,0.34328358208955223,0.5217391304347826,0.2684563758389262,0.41379310344827586,0.42696629213483145,0.7507246376811594,0.5406301825527833,0.5440806045340051,0.6019184652278179,0.6755126659247558,0.6651583710407241,0.7850678733031675,0.6708333332746875,0.6258907363198272,0.6267496111951897,0.4691358025631001,0.5956678701483924,0.5574468083780896,0.5661605205582507,0.7191780821252112,0.6133651551312649
0.3237704918032787,0.49635036500026647,0.4782608695652174,0.36666666666666664,0.29577464788732394,0.46534653465346537,0.36220472440944884,0.6666666666666667,0.40677966104711294,0.2974683544303798,0.328125,0.373134328358209,0.3913043478260869,0.2818791946308725,0.3620689655172414,0.43820224719101125,0.6753623188405797,0.5422885571797729,0.5138539042821159,0.5611510791366908,0.6477683955992295,0.6674208144796381,0.7692307692307693,0.6854166665235938,0.5819477435618733,0.5427682737141074,0.47222222219290116,0.5595667870408321,0.5191489360409235,0.5856832971292248,0.6815068493172499,0.5489260143198091
