일시,부산 강서구 녹산동,부산 강서구 대저동,부산 강서구 명지동,부산 금정구 부곡동,부산 금정구 청룡동,부산 금정구 회동동,부산 기장군 기장읍,부산 기장군 용수리,부산 남구 대연동,부산 남구 용호동,부산 동구 수정동,부산 동래구 명장동,부산 부산진구 개금동,부산 부산진구 전포동,부산 북구 덕천동,부산 북구 화명동,부산 사상구 덕포동,부산 사상구 학장동,부산 사하구 당리동,부산 사하구 장림동,부산 서구 대신동,부산 수영구 광안동,부산 연제구 연산동,부산 영도구 청학동,부산 영도구 태종대,부산 중구 광복동,부산 해운대구 재송동,부산 해운대구 좌동,부산 강서구 부산신항,부산 동구 부산북항,부산 동구 초량동,부산 동래구 온천동,부산 사상구 삼락동,부산 강서구 부산항
2022-06-22 00:00:00,33,22,20,20,15,10,17,17,23,17,18,20,15,28,22,17,22,35,28,32,23,25,22,12,18,26,25,17,21,33,30,17,20,44
2022-06-22 01:00:00,31,32,29,16,11,11,16,10,30,21,20,17,46,17,22,20,21,27,21,29,13,11,17,15,24,22,19,23,20,20,15,21,30,31
2022-06-22 02:00:00,32,18,29,20,10,15,20,15,26,24,21,20,19,16,19,12,23,19,10,33,13,13,16,19,29,17,15,23,29,24,13,14,24,25
2022-06-22 03:00:00,26,10,31,16,8,11,16,9,19,20,25,19,22,14,16,7,17,18,13,33,13,11,14,16,28,11,18,25,21,17,17,9,16,26
2022-06-22 04:00:00,27,12,28,16,10,9,15,9,15,17,14,12,17,9,20,7,17,18,13,33,17,15,15,13,18,20,22,22,23,19,8,8,6,35
2022-06-22 05:00:00,26,8,27,20,11,10,15,14,22,19,15,17,20,23,15,7,20,21,15,36,16,16,9,12,18,24,18,24,18,18,10,14,8,35
2022-06-22 06:00:00,27,11,28,18,10,9,15,12,29,22,22,20,25,13,23,9,27,22,16,39,22,13,18,17,22,34,20,22,23,25,24,16,17,26
2022-06-22 07:00:00,27,23,26,18,19,10,15,14,30,26,45,22,27,18,29,16,23,38,25,35,26,24,21,19,15,37,19,25,18,29,33,18,27,30
2022-06-22 08:00:00,26,30,26,24,16,20,19,15,30,24,30,17,27,20,33,24,25,35,24,24,16,26,17,12,18,31,20,25,17,30,17,22,27,32
2022-06-22 09:00:00,20,24,22,28,12,16,18,14,28,23,31,21,40,19,30,21,27,35,25,24,23,24,26,19,10,32,20,24,26,31,33,24,27,-
2022-06-22 10:00:00,30,28,20,44,18,26,23,15,36,24,33,28,34,31,31,29,29,42,26,25,22,30,27,12,15,34,25,21,24,30,38,27,26,42
2022-06-22 11:00:00,34,29,14,49,25,30,25,24,32,22,45,33,31,41,32,25,33,40,28,34,32,34,33,18,14,29,30,23,25,33,36,36,24,31
2022-06-22 12:00:00,28,39,15,59,31,39,34,32,37,20,42,34,41,33,39,41,33,48,30,27,29,40,38,11,20,28,30,23,26,30,29,45,29,30
2022-06-22 13:00:00,33,32,22,57,42,27,29,37,30,27,34,29,54,31,41,31,38,55,28,25,30,35,29,27,22,27,28,27,29,30,23,41,27,42
2022-06-22 14:00:00,38,36,32,57,36,27,29,36,43,24,43,31,37,48,39,34,48,68,46,43,39,37,37,27,24,40,34,40,30,41,46,46,-,47
2022-06-22 15:00:00,47,43,31,65,37,36,38,37,43,27,68,39,36,46,48,43,43,55,47,36,38,51,40,23,25,37,34,34,27,37,51,51,-,43
2022-06-22 16:00:00,39,37,26,59,45,39,33,35,36,26,72,38,39,35,47,39,46,57,32,27,35,53,35,17,19,32,34,30,30,38,44,49,34,45
2022-06-22 17:00:00,35,29,27,57,35,33,30,37,30,22,49,31,34,29,37,32,45,52,34,28,34,28,25,15,17,32,28,31,27,30,45,46,35,31
2022-06-22 18:00:00,36,26,21,44,28,22,25,32,21,19,31,22,26,29,34,31,32,33,26,15,34,28,22,9,12,20,20,25,29,21,34,38,32,30
2022-06-22 19:00:00,25,19,15,26,24,21,24,26,18,15,20,24,26,18,31,23,29,32,23,19,34,25,23,16,10,22,18,21,23,23,21,31,24,14
2022-06-22 20:00:00,20,22,14,17,22,16,23,29,17,13,2,19,15,26,27,24,21,25,14,16,29,15,17,15,12,14,18,18,17,16,27,26,17,10
2022-06-22 21:00:00,13,14,14,22,22,15,16,22,14,11,3,13,15,14,16,18,15,16,16,17,14,13,17,9,9,11,11,19,9,14,18,22,21,15
2022-06-22 22:00:00,13,13,13,15,11,14,9,18,16,10,12,16,17,15,15,10,17,11,18,16,16,9,17,8,10,16,11,15,11,12,17,20,15,18
2022-06-22 23:00:00,15,10,11,11,9,15,18,16,13,10,15,15,11,15,15,6,9,26,17,12,17,5,9,7,8,14,14,16,9,14,13,15,10,12
