address,m01avg,m02avg,m03avg,m04avg,m05avg,m06avg,m07avg,m08avg,m09avg,m10avg,m11avg,m12avg,year_avg
강원도 강릉시,48.0,74.0,72.0,55.0,54.0,43.0,34.0,37.0,34.0,47.0,39.0,46.0,49.0
강원도 동해시,39.0,64.0,66.0,51.0,52.0,38.0,26.0,36.0,19.0,32.0,24.0,34.0,41.0
강원도 삼척시,36.0,53.0,55.0,44.0,52.0,46.0,38.0,67.0,20.0,30.0,28.0,36.0,43.0
강원도 원주시,79.0,109.0,94.0,54.0,62.0,44.0,32.0,39.0,29.0,41.0,38.0,63.0,56.0
강원도 춘천시,65.0,95.0,80.0,49.0,53.0,36.0,32.0,38.0,32.0,43.0,40.0,66.0,51.0
경기도 가평군,59.0,94.0,80.0,46.0,47.0,29.0,20.0,23.0,0.0,53.0,35.0,49.0,44.0
경기도 고양시,56.0,88.0,78.0,50.0,50.0,40.0,33.0,38.0,16.0,25.0,40.0,65.0,47.0
경기도 과천시,54.0,88.0,70.0,43.0,43.0,34.0,26.0,34.0,14.0,50.0,36.0,54.0,45.0
경기도 광명시,52.0,86.0,70.0,46.0,46.0,36.0,30.0,36.0,15.0,37.0,36.0,57.0,45.0
경기도 광주시,61.0,92.0,77.0,50.0,51.0,41.0,59.0,39.0,32.0,54.0,43.0,60.0,54.0
경기도 구리시,56.0,96.0,80.0,50.0,50.0,36.0,32.0,34.0,27.0,0.0,40.0,68.0,46.0
경기도 군포시,58.0,87.0,78.0,52.0,60.0,48.0,42.0,42.0,14.0,28.0,39.0,54.0,50.0
경기도 김포시,61.0,102.0,85.0,57.0,52.0,42.0,33.0,38.0,24.0,37.0,45.0,68.0,52.0
경기도 남양주시,56.0,96.0,80.0,48.0,48.0,36.0,42.0,34.0,25.0,42.0,33.0,52.0,49.0
경기도 동두천시,75.0,103.0,100.0,65.0,62.0,46.0,44.0,43.0,0.0,60.0,41.0,71.0,58.0
경기도 부천시,54.0,86.0,73.0,52.0,50.0,40.0,34.0,39.0,20.0,29.0,37.0,60.0,47.0
