address,m01avg,m02avg,m03avg,m04avg,m05avg,m06avg,m07avg,m08avg,m09avg,m10avg,m11avg,m12avg,year_avg
강원도 강릉시,55.0,47.0,55.0,45.0,44.0,30.0,29.0,33.0,31.0,30.0,35.0,45.0,39.0
강원도 동해시,45.0,43.0,53.0,44.0,43.0,32.0,29.0,32.0,28.0,29.0,33.0,40.0,37.0
강원도 삼척시,51.0,46.0,57.0,47.0,47.0,39.0,38.0,41.0,33.0,25.0,29.0,41.0,41.0
강원도 원주시,98.0,71.0,86.0,70.0,74.0,48.0,38.0,43.0,35.0,40.0,62.0,90.0,60.0
강원도 춘천시,78.0,58.0,72.0,63.0,68.0,43.0,38.0,41.0,29.0,36.0,54.0,74.0,53.0
경기도 가평군,77.0,61.0,70.0,58.0,58.0,39.0,40.0,48.0,28.0,32.0,52.0,70.0,51.0
경기도 고양시,76.0,58.0,67.0,70.0,75.0,54.0,44.0,44.0,38.0,40.0,52.0,66.0,56.0
경기도 과천시,72.0,50.0,64.0,60.0,62.0,48.0,38.0,40.0,32.0,30.0,44.0,58.0,49.0
경기도 광명시,70.0,52.0,62.0,60.0,64.0,50.0,42.0,44.0,36.0,38.0,54.0,68.0,52.0
경기도 광주시,73.0,49.0,66.0,60.0,60.0,43.0,35.0,37.0,29.0,32.0,51.0,62.0,49.0
경기도 구리시,64.0,46.0,62.0,58.0,69.0,44.0,38.0,40.0,32.0,34.0,53.0,62.0,49.0
경기도 군포시,68.0,50.0,66.0,64.0,68.0,56.0,48.0,48.0,37.0,35.0,50.0,60.0,54.0
경기도 김포시,68.0,53.0,62.0,66.0,68.0,54.0,43.0,46.0,38.0,38.0,54.0,65.0,54.0
경기도 남양주시,33.0,22.0,30.0,28.0,30.0,20.0,20.0,38.0,28.0,30.0,46.0,65.0,30.0
경기도 동두천시,98.0,66.0,72.0,69.0,77.0,57.0,59.0,53.0,40.0,41.0,55.0,85.0,62.0
경기도 부천시,73.0,57.0,70.0,72.0,73.0,59.0,46.0,50.0,42.0,42.0,57.0,68.0,58.0
