일시,부산 강서구 녹산동,부산 강서구 대저동,부산 강서구 명지동,부산 금정구 부곡동,부산 금정구 청룡동,부산 금정구 회동동,부산 기장군 기장읍,부산 기장군 용수리,부산 남구 대연동,부산 남구 용호동,부산 동구 수정동,부산 동래구 명장동,부산 부산진구 개금동,부산 부산진구 전포동,부산 북구 덕천동,부산 북구 화명동,부산 사상구 덕포동,부산 사상구 학장동,부산 사하구 당리동,부산 사하구 장림동,부산 서구 대신동,부산 수영구 광안동,부산 연제구 연산동,부산 영도구 청학동,부산 영도구 태종대,부산 중구 광복동,부산 해운대구 재송동,부산 해운대구 좌동,부산 강서구 부산신항,부산 동구 부산북항,부산 동구 초량동,부산 동래구 온천동,부산 사상구 삼락동,부산 강서구 부산항
2022-06-30 00:00:00,15,23,18,11,6,15,12,9,18,15,46,11,16,18,20,20,21,21,18,20,29,20,16,16,8,18,15,16,11,20,17,2,27,9
2022-06-30 01:00:00,18,25,26,18,12,17,12,12,18,15,43,14,8,21,19,14,16,20,19,20,24,23,19,13,5,13,18,18,20,22,14,19,16,4
2022-06-30 02:00:00,25,17,15,15,9,11,11,11,16,14,33,13,18,16,17,20,15,19,14,17,25,21,13,10,3,16,16,17,13,17,18,13,13,-
2022-06-30 03:00:00,10,21,14,14,10,8,10,19,19,13,37,15,9,12,14,15,12,20,17,17,27,14,17,7,3,22,16,25,16,18,13,15,15,-
2022-06-30 04:00:00,13,15,15,16,6,9,14,10,10,11,27,11,9,17,18,9,16,19,23,14,22,15,13,4,2,8,10,18,13,15,8,11,14,4
2022-06-30 05:00:00,16,27,17,15,7,14,11,11,10,7,31,13,12,22,15,8,15,19,17,12,26,17,12,2,2,16,13,18,12,19,16,13,13,1
2022-06-30 06:00:00,13,20,12,15,7,12,10,9,7,6,23,11,12,16,15,12,17,15,16,10,23,12,12,2,2,12,13,18,12,12,16,8,12,-
2022-06-30 07:00:00,22,16,12,19,9,12,9,9,8,6,24,8,14,2,19,12,18,26,8,9,15,10,10,2,2,8,11,14,13,10,13,11,16,1
2022-06-30 08:00:00,20,12,10,15,6,8,10,13,8,5,22,8,16,6,16,19,23,24,14,9,17,9,17,2,2,11,10,12,2,18,11,18,15,-
2022-06-30 09:00:00,14,8,6,23,14,10,13,9,18,7,22,11,9,19,21,15,23,29,11,9,13,12,11,2,-,10,10,16,24,14,15,20,14,-
2022-06-30 10:00:00,20,9,7,13,12,10,11,14,17,6,24,11,17,18,21,-,19,24,15,9,12,10,15,3,4,11,9,15,12,23,16,21,9,-
2022-06-30 11:00:00,23,8,7,18,11,12,10,8,20,12,22,11,5,20,19,-,13,29,15,18,22,8,12,5,3,15,13,18,19,-,18,15,7,23
2022-06-30 12:00:00,17,13,10,20,10,12,9,9,15,11,24,8,2,19,14,10,14,20,13,16,14,12,17,7,2,15,14,15,10,-,15,21,12,19
2022-06-30 13:00:00,19,12,11,10,8,9,9,7,12,12,25,11,9,24,17,11,12,23,15,6,13,10,15,10,5,16,13,17,8,11,16,17,8,24
2022-06-30 14:00:00,16,10,8,12,8,8,13,10,11,8,28,8,9,45,15,7,12,33,16,14,22,15,14,7,5,14,11,16,17,21,19,20,6,24
2022-06-30 15:00:00,21,14,8,15,9,11,14,16,10,5,28,8,-,20,-,13,16,30,14,12,12,15,16,3,67,17,12,14,11,22,20,21,10,20
2022-06-30 16:00:00,19,12,8,16,6,8,12,10,9,4,32,13,-,25,16,10,20,30,19,17,12,17,15,2,2,21,10,13,21,19,23,16,10,20
2022-06-30 17:00:00,15,10,10,16,10,12,15,6,12,5,46,11,7,86,20,18,17,29,17,16,20,14,16,5,2,15,10,12,12,19,24,11,13,11
2022-06-30 18:00:00,14,13,11,18,13,11,10,7,14,9,32,12,5,21,14,10,16,19,16,15,16,10,14,4,5,15,15,14,10,17,23,16,10,14
2022-06-30 19:00:00,22,11,9,16,7,9,16,6,17,10,17,12,14,19,14,8,11,19,13,14,15,13,12,5,7,15,6,16,10,18,19,17,12,14
2022-06-30 20:00:00,23,20,14,16,6,9,12,6,13,11,6,13,16,26,15,8,15,20,22,14,20,13,12,8,5,11,12,18,16,21,22,2,8,12
2022-06-30 21:00:00,17,14,11,12,6,9,18,18,17,9,2,10,22,24,14,8,10,28,24,16,24,16,8,10,4,19,12,14,15,17,17,8,9,11
2022-06-30 22:00:00,12,13,14,16,7,8,15,8,18,13,19,10,15,26,13,8,10,20,11,15,17,15,10,11,3,16,10,19,9,22,34,9,11,12
2022-06-30 23:00:00,9,16,18,12,5,7,15,11,8,13,14,7,15,7,13,9,12,11,37,9,9,15,9,9,7,10,9,24,8,7,3,9,15,13
