일시,부산 강서구 녹산동,부산 강서구 대저동,부산 강서구 명지동,부산 금정구 부곡동,부산 금정구 청룡동,부산 금정구 회동동,부산 기장군 기장읍,부산 기장군 용수리,부산 남구 대연동,부산 남구 용호동,부산 동구 수정동,부산 동래구 명장동,부산 부산진구 개금동,부산 부산진구 전포동,부산 북구 덕천동,부산 북구 화명동,부산 사상구 덕포동,부산 사상구 학장동,부산 사하구 당리동,부산 사하구 장림동,부산 서구 대신동,부산 수영구 광안동,부산 연제구 연산동,부산 영도구 청학동,부산 영도구 태종대,부산 중구 광복동,부산 해운대구 재송동,부산 해운대구 좌동,부산 강서구 부산신항,부산 동구 부산북항,부산 동구 초량동,부산 동래구 온천동,부산 사상구 삼락동,부산 강서구 부산항
2022-06-03 00:00:00,17,16,20,26,24,17,24,24,29,23,25,16,22,15,23,19,20,27,18,20,19,26,16,18,12,24,20,25,19,20,-,22,15,28
2022-06-03 01:00:00,38,26,33,25,20,26,23,25,23,22,19,24,18,20,21,20,22,35,19,18,18,31,22,19,17,20,21,22,16,29,-,22,17,28
2022-06-03 02:00:00,21,25,27,26,22,22,25,29,18,22,19,23,21,17,19,19,20,31,23,24,24,20,24,18,18,20,22,26,22,25,-,22,20,44
2022-06-03 03:00:00,23,21,18,25,18,19,24,22,22,19,25,23,22,28,37,21,34,30,29,26,32,27,23,28,15,27,23,27,15,25,-,28,25,30
2022-06-03 04:00:00,34,22,31,27,17,17,26,22,26,26,35,31,34,26,33,19,32,35,36,25,32,26,30,28,13,21,25,29,22,34,-,27,33,37
2022-06-03 05:00:00,29,27,34,27,19,23,23,26,33,22,35,31,35,31,35,19,38,37,33,30,35,33,32,32,15,24,32,27,23,35,-,28,27,49
2022-06-03 06:00:00,31,34,38,28,21,24,30,27,36,30,35,35,37,33,37,23,37,31,36,29,34,28,28,32,22,32,29,27,20,40,-,27,40,56
2022-06-03 07:00:00,33,48,38,26,26,22,32,26,39,36,2,35,43,35,40,28,47,69,41,42,34,35,36,35,28,39,45,31,24,48,-,40,34,52
2022-06-03 08:00:00,50,41,44,31,35,25,31,30,40,40,2,35,47,36,39,32,42,53,54,53,43,34,37,44,29,51,35,34,38,60,-,46,41,-
2022-06-03 09:00:00,52,48,52,40,31,41,40,33,43,40,47,37,39,19,47,37,43,54,69,68,54,43,39,45,28,60,40,39,48,61,-,46,47,-
2022-06-03 10:00:00,52,48,51,39,33,34,37,46,35,32,2,37,40,32,46,40,56,46,45,52,45,38,48,32,29,44,41,42,48,44,-,43,50,-
2022-06-03 11:00:00,-,43,50,48,46,49,43,53,38,34,58,47,45,48,42,40,50,47,46,51,45,57,43,38,30,45,42,43,32,54,-,55,50,49
2022-06-03 12:00:00,54,52,51,52,49,41,46,45,39,43,56,42,55,74,51,55,55,51,47,54,48,44,47,44,34,50,43,41,41,50,-,47,58,49
2022-06-03 13:00:00,51,50,53,45,41,37,38,44,34,39,54,41,48,28,56,47,72,55,49,53,50,43,39,33,29,43,38,35,37,50,-,48,61,55
2022-06-03 14:00:00,49,46,44,38,37,35,39,37,33,27,55,34,40,35,41,37,48,47,47,74,43,38,43,33,28,33,37,32,43,54,-,38,50,60
2022-06-03 15:00:00,45,43,46,31,30,36,31,39,34,31,49,30,32,57,39,29,41,51,36,65,40,31,35,34,24,32,31,33,37,65,41,35,44,55
2022-06-03 16:00:00,47,46,40,22,28,27,23,35,26,26,47,23,29,14,39,35,38,46,34,67,37,28,28,27,27,31,27,27,31,43,42,37,37,41
2022-06-03 17:00:00,39,38,32,25,20,28,30,27,31,21,40,30,30,21,30,29,28,40,34,60,34,27,32,26,22,26,26,31,30,39,31,33,30,43
2022-06-03 18:00:00,39,30,33,34,27,33,27,40,25,19,35,26,31,31,29,28,26,36,27,33,34,27,27,27,28,26,25,32,34,35,39,29,31,45
2022-06-03 19:00:00,34,30,26,33,31,32,29,28,32,26,36,32,29,29,30,32,27,41,28,42,35,31,28,27,24,32,33,34,33,31,44,37,28,52
2022-06-03 20:00:00,33,31,28,32,24,21,26,30,27,23,31,28,31,37,34,36,34,30,28,33,35,29,37,27,24,28,29,34,29,35,42,48,27,44
2022-06-03 21:00:00,32,27,36,29,30,25,28,27,26,23,41,26,24,59,33,24,28,33,27,33,33,30,31,24,24,30,27,26,34,30,37,38,33,47
2022-06-03 22:00:00,33,17,25,30,19,24,21,21,29,24,41,30,27,19,33,21,28,29,26,30,27,26,28,24,22,23,27,29,34,29,31,35,21,55
2022-06-03 23:00:00,26,24,24,26,21,22,19,26,32,22,44,29,26,27,27,23,24,23,25,24,32,34,33,25,18,29,28,26,32,31,32,31,24,36
