일시,부산 강서구 녹산동,부산 강서구 대저동,부산 강서구 명지동,부산 금정구 부곡동,부산 금정구 청룡동,부산 금정구 회동동,부산 기장군 기장읍,부산 기장군 용수리,부산 남구 대연동,부산 남구 용호동,부산 동구 수정동,부산 동래구 명장동,부산 부산진구 개금동,부산 부산진구 전포동,부산 북구 덕천동,부산 북구 화명동,부산 사상구 덕포동,부산 사상구 학장동,부산 사하구 당리동,부산 사하구 장림동,부산 서구 대신동,부산 수영구 광안동,부산 연제구 연산동,부산 영도구 청학동,부산 영도구 태종대,부산 중구 광복동,부산 해운대구 재송동,부산 해운대구 좌동,부산 강서구 부산신항,부산 동구 부산북항,부산 동구 초량동,부산 동래구 온천동,부산 사상구 삼락동,부산 강서구 부산항
2022-06-26 00:00:00,13,20,11,12,13,10,17,9,19,12,37,10,19,11,23,12,18,16,20,23,23,16,14,12,17,16,17,18,18,17,12,17,15,23
2022-06-26 01:00:00,14,24,22,15,10,7,11,10,18,17,31,11,19,6,20,16,15,20,23,14,22,21,17,14,17,21,14,14,20,24,15,14,14,23
2022-06-26 02:00:00,17,20,16,21,8,13,17,12,19,15,33,10,12,13,18,15,20,16,24,17,29,20,13,16,20,18,17,29,21,17,14,19,14,27
2022-06-26 03:00:00,9,30,15,18,9,11,14,10,17,17,28,10,18,12,19,17,18,24,20,20,25,24,13,13,17,13,16,22,17,28,20,18,16,40
2022-06-26 04:00:00,19,27,22,18,9,13,10,11,23,16,32,9,14,10,15,16,21,18,24,14,26,25,14,8,14,18,15,22,18,24,16,15,17,24
2022-06-26 05:00:00,19,24,15,21,10,10,19,17,18,19,33,13,13,15,15,15,13,12,21,16,25,20,13,15,10,17,17,22,10,18,18,8,9,30
2022-06-26 06:00:00,18,21,15,18,8,8,19,9,21,20,30,12,19,16,22,15,16,23,21,21,22,17,14,16,12,17,16,26,20,22,19,12,20,24
2022-06-26 07:00:00,21,24,15,20,9,8,18,12,26,18,34,10,16,18,17,15,20,20,17,17,34,28,17,14,5,25,20,22,25,25,14,17,16,21
2022-06-26 08:00:00,19,19,9,18,7,12,8,14,16,8,34,14,11,21,22,8,15,11,15,8,25,21,13,8,2,21,12,22,27,30,16,24,18,15
2022-06-26 09:00:00,11,8,7,18,6,7,7,9,7,8,14,9,6,9,10,6,13,10,9,5,2,7,9,3,3,5,10,13,17,10,16,20,11,11
2022-06-26 10:00:00,13,10,8,15,6,4,5,11,13,6,16,9,2,8,13,9,11,9,14,7,2,8,9,4,2,6,10,10,15,8,11,12,6,10
2022-06-26 11:00:00,8,10,10,14,5,6,6,8,17,8,22,5,2,13,10,6,13,7,14,14,8,11,7,6,8,13,9,12,13,18,11,14,7,15
2022-06-26 12:00:00,29,11,9,22,6,6,10,6,9,10,21,5,3,15,6,3,13,6,12,11,10,13,7,10,12,14,6,14,13,14,10,22,12,21
2022-06-26 13:00:00,12,12,9,19,6,5,8,13,23,28,36,7,5,24,11,6,11,15,22,19,21,23,15,25,22,31,19,29,8,31,21,8,8,23
2022-06-26 14:00:00,6,21,19,17,4,6,14,9,27,26,36,12,13,29,18,6,18,17,24,22,41,34,18,22,15,25,21,31,8,29,16,19,11,23
2022-06-26 15:00:00,6,21,26,23,6,13,13,12,24,22,35,13,12,38,16,11,16,14,18,20,37,30,26,12,3,29,22,24,8,33,27,22,15,23
2022-06-26 16:00:00,5,26,19,22,20,8,10,9,20,19,28,9,8,17,8,8,24,15,23,21,25,18,19,13,4,17,15,21,8,16,14,10,18,30
2022-06-26 17:00:00,8,30,25,21,2,8,7,6,19,12,35,8,9,16,11,12,22,21,20,22,23,18,16,10,8,23,16,20,9,20,19,7,25,15
2022-06-26 18:00:00,9,14,15,21,6,9,9,8,18,10,22,11,13,26,13,15,19,17,15,14,22,15,13,6,10,14,16,18,10,15,11,6,12,20
2022-06-26 19:00:00,13,13,12,15,4,5,10,6,8,8,21,8,8,9,11,6,10,9,15,9,11,9,8,7,7,9,11,13,6,15,13,11,6,5
2022-06-26 20:00:00,7,18,9,13,3,2,10,9,13,6,11,6,8,9,10,5,11,14,11,8,6,7,13,5,4,8,8,11,9,8,9,12,12,10
2022-06-26 21:00:00,9,11,8,8,4,4,6,6,7,6,11,6,6,16,13,3,11,13,11,7,5,8,9,2,2,8,6,11,7,6,7,11,9,13
2022-06-26 22:00:00,9,10,6,6,2,3,8,12,8,4,13,8,3,6,12,5,8,14,12,7,9,8,4,2,2,7,8,9,6,6,6,5,6,18
2022-06-26 23:00:00,10,15,6,6,2,4,8,9,10,2,12,5,4,5,11,7,7,12,8,15,9,7,9,2,2,6,-,8,7,6,9,2,6,17
