일시,부산 강서구 녹산동,부산 강서구 대저동,부산 강서구 명지동,부산 금정구 부곡동,부산 금정구 청룡동,부산 금정구 회동동,부산 기장군 기장읍,부산 기장군 용수리,부산 남구 대연동,부산 남구 용호동,부산 동구 수정동,부산 동래구 명장동,부산 부산진구 개금동,부산 부산진구 전포동,부산 북구 덕천동,부산 북구 화명동,부산 사상구 덕포동,부산 사상구 학장동,부산 사하구 당리동,부산 사하구 장림동,부산 서구 대신동,부산 수영구 광안동,부산 연제구 연산동,부산 영도구 청학동,부산 영도구 태종대,부산 중구 광복동,부산 해운대구 재송동,부산 해운대구 좌동,부산 강서구 부산신항,부산 동구 부산북항,부산 동구 초량동,부산 동래구 온천동,부산 사상구 삼락동,부산 강서구 부산항
2022-06-14 00:00:00,22,15,26,19,21,15,23,19,18,22,33,17,16,15,23,17,19,21,23,21,26,20,27,17,19,19,18,27,23,23,25,21,18,26
2022-06-14 01:00:00,16,15,15,18,12,12,20,11,24,17,29,16,24,18,14,12,17,10,20,19,23,19,16,20,20,13,18,20,16,32,19,18,9,23
2022-06-14 02:00:00,12,11,14,13,12,13,9,10,10,9,16,17,15,7,10,9,13,16,13,14,14,9,13,9,15,11,10,15,13,12,18,12,9,14
2022-06-14 03:00:00,10,11,11,15,9,8,15,9,13,14,18,9,11,5,9,7,9,12,12,11,10,15,13,6,13,11,9,17,14,13,15,14,6,18
2022-06-14 04:00:00,10,9,11,10,7,4,13,19,11,10,14,12,7,2,9,5,8,10,8,13,8,10,12,10,8,8,9,17,10,11,6,10,7,14
2022-06-14 05:00:00,9,7,7,11,6,3,16,11,9,10,8,10,10,2,11,8,8,7,6,9,5,10,11,7,17,13,6,18,13,7,5,12,7,18
2022-06-14 06:00:00,10,13,7,13,10,7,17,14,8,9,10,10,11,2,12,7,14,11,6,10,9,10,11,8,12,12,7,16,13,5,9,16,8,22
2022-06-14 07:00:00,14,15,10,11,7,6,12,12,8,8,10,11,9,4,13,6,10,13,6,6,7,8,11,7,15,7,6,13,21,5,8,17,6,18
2022-06-14 08:00:00,19,11,9,8,6,4,9,12,10,7,10,9,6,4,10,4,9,10,7,6,5,6,9,6,13,5,5,16,13,9,6,9,4,14
2022-06-14 09:00:00,11,6,9,9,7,4,16,10,9,10,12,6,6,2,13,5,8,12,8,12,10,6,11,10,15,8,5,17,11,10,6,10,9,13
2022-06-14 10:00:00,16,10,6,15,6,7,19,10,10,10,10,8,15,10,15,6,6,15,8,15,15,11,13,8,8,8,6,16,12,7,11,11,12,18
2022-06-14 11:00:00,12,8,9,10,9,6,11,9,11,11,13,13,11,2,11,4,9,15,10,12,13,10,11,10,13,9,8,17,13,5,10,10,13,14
2022-06-14 12:00:00,13,9,9,11,6,4,18,13,8,10,16,10,10,2,10,5,10,14,8,14,8,8,10,7,10,15,7,16,15,9,6,11,12,13
2022-06-14 13:00:00,14,15,8,10,5,3,10,10,10,9,12,11,13,10,7,6,7,12,14,11,13,11,11,6,10,5,8,17,8,10,10,12,6,16
2022-06-14 14:00:00,13,9,9,10,5,7,14,7,10,8,19,13,10,10,13,4,15,12,14,13,11,10,11,8,14,11,9,12,6,13,16,12,6,7
2022-06-14 15:00:00,10,8,8,9,3,6,11,7,9,7,10,9,11,35,9,2,10,17,13,14,9,12,14,11,8,9,7,16,13,11,9,10,5,10
2022-06-14 16:00:00,8,6,5,6,2,4,10,6,6,7,9,5,7,3,8,7,8,18,9,12,8,7,9,7,5,7,5,13,7,7,7,7,2,9
2022-06-14 17:00:00,10,6,2,3,2,2,5,2,6,5,7,4,4,2,12,4,8,14,10,18,4,3,6,6,4,4,3,13,7,7,6,5,2,8
2022-06-14 18:00:00,8,6,2,2,3,2,3,2,11,3,5,3,2,2,8,5,8,17,11,15,2,2,3,4,2,3,2,9,5,5,4,6,5,8
2022-06-14 19:00:00,7,4,2,3,4,2,2,7,7,2,5,6,2,2,9,6,9,16,9,11,2,5,4,5,2,5,2,9,6,8,7,9,3,7
2022-06-14 20:00:00,7,3,2,8,6,4,2,5,3,4,4,6,5,2,13,7,8,9,8,19,3,4,6,4,3,4,4,7,10,9,13,9,2,10
2022-06-14 21:00:00,9,4,3,6,6,2,3,7,5,4,5,4,4,2,10,7,6,12,5,18,2,6,6,3,2,2,3,7,7,5,9,7,2,9
2022-06-14 22:00:00,7,4,3,4,4,2,4,6,7,2,8,5,3,-,12,6,6,10,5,6,6,5,6,5,2,4,2,8,6,5,4,10,3,10
2022-06-14 23:00:00,6,2,4,7,4,2,6,5,7,2,7,6,2,-,7,6,4,6,7,16,7,4,4,3,2,3,3,8,5,6,6,9,2,11
