일시,부산 강서구 녹산동,부산 강서구 대저동,부산 강서구 명지동,부산 금정구 부곡동,부산 금정구 청룡동,부산 금정구 회동동,부산 기장군 기장읍,부산 기장군 용수리,부산 남구 대연동,부산 남구 용호동,부산 동구 수정동,부산 동래구 명장동,부산 부산진구 개금동,부산 부산진구 전포동,부산 북구 덕천동,부산 북구 화명동,부산 사상구 덕포동,부산 사상구 학장동,부산 사하구 당리동,부산 사하구 장림동,부산 서구 대신동,부산 수영구 광안동,부산 연제구 연산동,부산 영도구 청학동,부산 영도구 태종대,부산 중구 광복동,부산 해운대구 재송동,부산 해운대구 좌동,부산 강서구 부산신항,부산 동구 부산북항,부산 동구 초량동,부산 동래구 온천동,부산 사상구 삼락동,부산 강서구 부산항
2022-06-12 00:00:00,12,25,12,17,12,19,7,11,8,10,17,13,9,7,12,12,15,11,15,14,16,13,16,10,8,9,10,17,11,15,17,22,12,23
2022-06-12 01:00:00,14,14,14,10,15,10,12,10,11,17,17,14,21,7,19,11,15,15,14,46,13,9,20,12,9,13,12,14,15,13,14,17,11,23
2022-06-12 02:00:00,9,21,14,10,13,13,11,11,14,15,22,12,10,6,15,12,17,12,13,15,13,15,12,12,12,11,12,16,13,15,12,13,11,21
2022-06-12 03:00:00,13,20,18,15,12,20,13,12,10,12,16,13,13,4,13,12,18,13,15,8,13,9,11,12,12,10,10,14,17,15,16,15,15,20
2022-06-12 04:00:00,11,22,19,16,11,17,15,15,12,15,21,15,14,13,19,16,15,16,21,19,13,10,15,17,13,16,10,18,16,13,16,17,18,25
2022-06-12 05:00:00,15,20,17,18,10,10,16,13,19,14,24,13,18,6,20,9,19,16,22,42,19,17,16,12,17,19,10,19,18,13,14,16,17,27
2022-06-12 06:00:00,14,18,20,13,17,13,15,14,17,17,23,12,13,5,18,13,18,15,20,17,15,16,19,20,15,15,13,19,16,18,16,16,16,21
2022-06-12 07:00:00,17,21,23,17,21,13,18,18,18,19,34,13,17,14,16,16,20,20,20,17,16,18,15,19,13,17,16,22,20,19,18,17,21,29
2022-06-12 08:00:00,16,21,17,14,14,8,17,14,13,17,39,18,22,13,20,16,17,22,30,21,24,18,21,17,15,14,16,20,14,15,23,17,13,29
2022-06-12 09:00:00,18,19,16,17,15,17,19,18,22,24,26,17,20,12,21,13,9,17,31,23,22,26,21,22,18,18,23,26,21,22,25,22,14,29
2022-06-12 10:00:00,18,16,19,16,13,20,21,17,22,15,34,22,14,18,20,15,16,18,34,44,27,23,22,19,15,27,27,24,14,22,26,16,12,31
2022-06-12 11:00:00,22,16,22,30,21,18,26,23,26,25,36,25,24,26,21,20,21,26,44,29,26,39,26,19,20,24,22,25,23,27,31,28,10,40
2022-06-12 12:00:00,33,18,27,29,18,19,19,29,23,14,27,21,31,20,29,22,23,26,48,54,24,23,24,18,12,25,25,20,22,23,37,26,23,38
2022-06-12 13:00:00,30,23,23,21,18,14,15,20,20,21,25,15,25,21,32,27,25,31,47,30,23,23,28,17,24,24,20,27,21,24,27,25,21,48
2022-06-12 14:00:00,23,24,26,19,18,13,19,17,17,19,26,17,18,14,24,18,24,20,38,27,27,18,22,18,19,23,11,23,23,24,27,24,19,40
2022-06-12 15:00:00,19,20,31,23,20,17,16,18,19,17,26,29,15,15,28,17,22,23,28,27,25,23,20,17,15,25,16,18,21,25,28,18,16,40
2022-06-12 16:00:00,23,22,21,18,18,14,15,17,17,14,24,19,17,16,23,20,19,21,22,25,18,28,21,16,15,22,14,21,20,24,22,21,14,46
2022-06-12 17:00:00,23,19,24,16,18,15,16,23,18,15,19,20,18,6,27,20,25,24,24,51,19,18,16,16,13,23,13,25,20,16,25,23,20,39
2022-06-12 18:00:00,14,18,24,15,20,12,19,22,13,13,20,17,19,13,27,16,18,24,18,20,23,16,18,14,15,20,15,25,19,20,19,22,14,29
2022-06-12 19:00:00,10,22,22,13,16,10,16,17,17,11,19,17,16,15,24,25,18,15,24,18,13,14,16,14,10,16,17,19,17,16,20,25,21,37
2022-06-12 20:00:00,12,22,19,13,14,7,14,16,10,14,15,13,18,14,20,19,16,15,18,19,14,11,14,15,8,12,14,18,17,14,18,21,16,40
2022-06-12 21:00:00,11,18,12,13,15,9,14,13,11,16,11,13,14,7,30,17,16,12,18,16,15,11,12,7,13,11,12,16,15,18,18,14,8,33
2022-06-12 22:00:00,12,13,12,14,12,9,17,13,11,13,11,13,13,10,28,14,18,11,16,15,20,13,17,16,12,13,9,21,13,10,13,15,11,29
2022-06-12 23:00:00,14,15,14,16,13,10,15,10,18,13,14,14,9,6,17,18,17,13,15,13,15,17,12,13,14,12,14,19,12,14,18,19,8,27
