일시,부산 강서구 녹산동,부산 강서구 대저동,부산 강서구 명지동,부산 금정구 부곡동,부산 금정구 청룡동,부산 금정구 회동동,부산 기장군 기장읍,부산 기장군 용수리,부산 남구 대연동,부산 남구 용호동,부산 동구 수정동,부산 동래구 명장동,부산 부산진구 개금동,부산 부산진구 전포동,부산 북구 덕천동,부산 북구 화명동,부산 사상구 덕포동,부산 사상구 학장동,부산 사하구 당리동,부산 사하구 장림동,부산 서구 대신동,부산 수영구 광안동,부산 연제구 연산동,부산 영도구 청학동,부산 영도구 태종대,부산 중구 광복동,부산 해운대구 재송동,부산 해운대구 좌동,부산 강서구 부산신항,부산 동구 부산북항,부산 동구 초량동,부산 동래구 온천동,부산 사상구 삼락동,부산 강서구 부산항
2022-06-24 00:00:00,24,27,25,29,14,20,25,21,28,34,58,23,17,36,20,27,29,27,38,40,49,37,27,30,12,30,23,40,16,37,27,21,23,47
2022-06-24 01:00:00,25,38,25,30,18,36,24,22,41,30,59,25,28,37,26,29,29,37,44,43,60,37,26,25,25,40,31,33,22,52,30,27,31,46
2022-06-24 02:00:00,30,41,33,36,21,32,28,26,42,28,65,29,27,41,33,30,36,36,39,37,61,40,37,25,15,34,31,36,21,43,36,28,42,42
2022-06-24 03:00:00,23,50,32,32,24,27,12,27,27,27,64,18,30,30,37,38,44,36,40,36,57,28,31,29,22,32,24,32,23,42,38,29,37,73
2022-06-24 04:00:00,26,24,19,22,12,23,11,12,31,20,32,17,12,16,21,24,23,23,29,29,26,31,23,16,23,19,21,22,13,26,22,17,23,23
2022-06-24 05:00:00,9,27,28,8,6,6,9,8,27,30,30,3,8,13,9,8,12,17,26,24,27,17,13,26,29,19,17,20,9,29,15,8,11,24
2022-06-24 06:00:00,9,27,13,9,4,17,10,6,24,16,28,8,8,8,9,13,16,18,21,19,19,21,9,14,17,15,12,24,7,21,12,13,15,57
2022-06-24 07:00:00,17,14,8,10,3,7,10,6,26,9,19,4,9,6,12,11,12,20,17,25,16,12,7,10,18,17,6,16,15,13,11,11,10,37
2022-06-24 08:00:00,13,10,6,7,3,10,7,6,22,11,24,2,6,13,9,7,14,15,19,19,23,11,8,11,13,19,9,16,9,16,13,10,9,41
2022-06-24 09:00:00,18,10,11,11,4,11,10,8,27,10,26,4,6,10,10,9,22,19,20,25,21,14,10,19,18,12,10,21,8,18,12,10,13,32
2022-06-24 10:00:00,19,17,13,25,2,12,5,6,27,15,23,8,7,15,12,8,21,26,24,22,19,17,9,12,19,21,10,27,11,22,19,11,20,20
2022-06-24 11:00:00,13,29,12,19,2,13,7,8,15,9,19,7,8,11,11,-,21,18,18,17,6,9,7,7,16,12,6,13,8,14,14,14,16,18
2022-06-24 12:00:00,15,8,8,18,2,7,9,6,19,10,12,3,7,3,8,-,7,24,14,21,11,6,6,8,13,12,6,14,6,14,9,12,13,23
2022-06-24 13:00:00,21,5,14,19,7,7,6,11,12,11,26,6,12,14,12,6,7,33,10,19,13,15,6,6,17,16,11,22,8,13,13,15,8,24
2022-06-24 14:00:00,17,15,20,23,12,15,12,12,23,12,23,10,18,19,16,10,18,32,24,29,23,27,14,14,23,21,18,22,12,20,15,22,22,47
2022-06-24 15:00:00,24,25,20,25,13,21,15,14,22,16,47,15,17,27,27,16,30,34,32,28,31,29,15,13,23,28,20,31,16,26,18,25,37,41
2022-06-24 16:00:00,24,24,27,33,13,24,19,16,24,19,64,23,19,37,29,21,25,42,32,28,25,24,18,16,10,25,25,30,22,26,17,28,31,37
2022-06-24 17:00:00,24,25,17,31,20,23,27,27,26,20,32,22,26,37,28,16,27,36,26,25,35,29,27,17,10,18,26,25,21,27,22,26,27,29
2022-06-24 18:00:00,21,27,27,38,24,20,21,22,29,18,35,22,27,35,23,17,26,26,34,27,33,28,20,16,23,22,26,26,24,27,26,23,29,40
2022-06-24 19:00:00,40,30,34,35,25,25,24,20,30,25,39,29,33,41,33,32,30,40,39,37,44,32,30,21,19,29,27,29,25,33,32,28,33,35
2022-06-24 20:00:00,34,37,31,31,27,27,34,29,27,22,41,32,36,39,30,29,34,36,41,33,52,30,32,19,12,29,34,35,30,34,34,33,30,31
2022-06-24 21:00:00,34,34,30,34,27,30,35,30,29,24,37,30,37,44,36,22,32,38,34,30,42,33,28,20,15,29,32,36,27,34,31,37,30,38
2022-06-24 22:00:00,34,34,31,35,30,23,31,26,29,29,47,30,39,35,28,25,31,36,29,31,45,33,25,25,15,29,31,37,22,34,26,34,24,35
2022-06-24 23:00:00,38,37,30,31,25,25,33,27,27,21,46,27,34,27,36,23,30,42,32,27,48,33,29,16,5,26,32,31,25,36,30,35,23,27
