일시,부산 강서구 녹산동,부산 강서구 대저동,부산 강서구 명지동,부산 금정구 부곡동,부산 금정구 청룡동,부산 금정구 회동동,부산 기장군 기장읍,부산 기장군 용수리,부산 남구 대연동,부산 남구 용호동,부산 동구 수정동,부산 동래구 명장동,부산 부산진구 개금동,부산 부산진구 전포동,부산 북구 덕천동,부산 북구 화명동,부산 사상구 덕포동,부산 사상구 학장동,부산 사하구 당리동,부산 사하구 장림동,부산 서구 대신동,부산 수영구 광안동,부산 연제구 연산동,부산 영도구 청학동,부산 영도구 태종대,부산 중구 광복동,부산 해운대구 재송동,부산 해운대구 좌동,부산 강서구 부산신항,부산 동구 부산북항,부산 동구 초량동,부산 동래구 온천동,부산 사상구 삼락동,부산 강서구 부산항
2022-06-15 00:00:00,9,3,4,4,3,2,6,6,4,3,5,4,3,-,12,3,8,6,7,18,5,8,5,2,2,3,5,8,6,5,8,7,2,10
2022-06-15 01:00:00,11,6,2,3,4,2,6,6,7,2,5,3,6,-,10,2,8,6,7,12,3,6,4,3,2,4,6,11,5,6,4,7,2,8
2022-06-15 02:00:00,10,7,2,7,6,4,5,6,5,2,4,6,8,-,15,5,6,13,9,8,3,7,6,4,-,5,5,8,5,7,3,6,3,15
2022-06-15 03:00:00,8,6,6,6,6,2,2,4,3,2,2,7,6,-,6,7,4,10,12,22,5,6,7,6,3,9,6,13,6,6,10,5,2,11
2022-06-15 04:00:00,7,7,6,5,6,2,4,6,8,2,4,7,9,26,6,6,8,8,8,10,6,7,5,6,3,9,5,11,5,7,7,7,3,12
2022-06-15 05:00:00,7,6,7,7,5,4,8,10,7,2,5,6,6,2,14,3,7,14,7,14,8,7,3,5,2,9,5,12,7,7,6,8,4,15
2022-06-15 06:00:00,9,9,8,8,7,4,10,9,6,3,4,10,9,2,9,4,7,16,7,12,9,5,6,5,2,7,7,12,11,7,5,10,3,14
2022-06-15 07:00:00,12,7,7,11,8,6,6,10,12,4,15,13,12,2,9,5,10,18,9,10,6,4,10,5,4,6,7,9,8,7,10,11,6,12
2022-06-15 08:00:00,15,11,6,11,9,8,5,12,14,3,10,8,15,3,10,5,8,19,9,11,6,8,13,7,8,8,6,18,6,12,15,14,8,-
2022-06-15 09:00:00,7,6,10,11,11,9,8,16,15,15,14,9,15,7,17,7,17,19,17,13,9,9,14,12,10,12,7,11,10,18,14,17,7,-
2022-06-15 10:00:00,16,7,10,13,11,14,7,13,27,12,18,19,21,16,17,13,23,30,14,16,13,12,16,13,8,20,10,22,9,25,13,21,15,42
2022-06-15 11:00:00,7,10,11,20,11,14,13,10,24,14,20,19,23,10,16,9,18,36,19,14,22,18,17,11,10,21,19,22,15,30,16,28,17,-
2022-06-15 12:00:00,17,14,13,15,6,13,19,16,16,8,24,17,18,10,20,8,20,31,20,80,15,20,16,9,7,23,16,16,15,20,14,26,22,-
2022-06-15 13:00:00,18,13,9,21,8,13,18,11,11,5,24,13,8,17,15,11,14,21,22,12,13,16,19,7,3,16,12,14,9,19,14,27,9,-
2022-06-15 14:00:00,12,21,10,18,15,17,16,15,24,10,27,17,14,11,19,15,21,55,20,16,21,17,20,7,2,21,21,17,17,24,20,21,19,-
2022-06-15 15:00:00,21,8,14,16,16,17,13,16,19,17,22,18,12,26,21,14,19,22,18,37,19,15,20,7,5,13,15,15,18,23,22,25,19,23
2022-06-15 16:00:00,23,17,12,28,18,18,15,20,17,7,23,17,16,27,21,18,22,35,23,97,18,17,23,8,12,16,14,13,17,26,28,27,15,27
2022-06-15 17:00:00,22,19,11,18,16,17,19,18,21,7,19,13,16,15,20,16,10,35,17,21,24,20,19,7,9,16,14,22,15,19,17,21,20,28
2022-06-15 18:00:00,21,13,9,23,17,16,17,15,21,13,17,13,11,8,20,17,21,26,22,22,19,12,20,11,10,9,11,19,22,15,16,24,11,31
2022-06-15 19:00:00,20,16,13,24,19,18,16,17,23,10,18,14,20,21,16,13,18,19,21,23,13,11,17,10,10,13,15,21,20,12,23,26,14,33
2022-06-15 20:00:00,23,17,15,23,16,16,19,21,23,11,21,18,21,20,27,17,22,21,23,18,20,15,19,8,7,13,15,25,27,20,19,24,13,27
2022-06-15 21:00:00,27,20,21,26,17,15,17,24,25,15,27,22,25,14,20,15,20,22,16,31,19,13,23,9,10,16,18,22,27,19,24,17,21,32
2022-06-15 22:00:00,25,19,22,26,21,19,21,27,27,19,33,22,27,26,24,15,24,25,27,23,26,27,24,10,10,21,19,29,29,34,31,25,21,39
2022-06-15 23:00:00,30,28,27,30,26,19,26,30,29,20,36,25,26,16,30,23,32,33,33,25,33,24,27,24,18,27,20,22,24,39,29,28,26,39
