address,m01avg,m02avg,m03avg,m04avg,m05avg,m06avg,m07avg,m08avg,m09avg,m10avg,m11avg,m12avg,year_avg
강원도 강릉시,51.0,56.0,60.0,56.0,56.0,41.0,37.0,32.0,32.0,39.0,39.0,50.0,45.0
강원도 동해시,44.0,44.0,57.0,54.0,57.0,36.0,35.0,31.0,28.0,36.0,37.0,36.0,42.0
강원도 삼척시,50.0,46.0,60.0,61.0,68.0,51.0,47.0,36.0,28.0,31.0,30.0,32.0,46.0
강원도 원주시,89.0,74.0,80.0,78.0,79.0,52.0,42.0,35.0,36.0,44.0,68.0,66.0,62.0
강원도 춘천시,70.0,62.0,70.0,68.0,64.0,38.0,34.0,28.0,28.0,33.0,45.0,62.0,49.0
경기도 가평군,67.0,62.0,75.0,70.0,68.0,41.0,41.0,33.0,28.0,35.0,53.0,55.0,52.0
경기도 고양시,68.0,70.0,72.0,70.0,72.0,44.0,44.0,36.0,35.0,40.0,52.0,51.0,55.0
경기도 과천시,62.0,62.0,63.0,60.0,64.0,42.0,43.0,34.0,32.0,35.0,47.0,46.0,49.0
경기도 광명시,66.0,65.0,64.0,61.0,68.0,43.0,42.0,32.0,32.0,38.0,48.0,46.0,51.0
경기도 광주시,71.0,61.0,67.0,65.0,62.0,40.0,39.0,32.0,31.0,38.0,56.0,54.0,51.0
경기도 구리시,62.0,58.0,64.0,71.0,77.0,46.0,43.0,32.0,28.0,34.0,56.0,52.0,52.0
경기도 군포시,64.0,64.0,70.0,70.0,78.0,54.0,52.0,39.0,39.0,44.0,55.0,50.0,57.0
경기도 김포시,69.0,67.0,71.0,67.0,77.0,49.0,49.0,40.0,39.0,46.0,57.0,56.0,57.0
경기도 남양주시,64.0,58.0,67.0,62.0,63.0,38.0,38.0,30.0,27.0,32.0,48.0,49.0,48.0
경기도 동두천시,77.0,78.0,86.0,82.0,77.0,52.0,56.0,45.0,38.0,44.0,63.0,63.0,63.0
경기도 부천시,72.0,76.0,74.0,76.0,76.0,38.0,47.0,38.0,36.0,40.0,52.0,48.0,57.0
경기도 성남시,61.0,59.0,63.0,65.0,68.0,46.0,49.0,39.0,35.0,38.0,50.0,49.0,52.0
경기도 수원시,66.0,62.0,62.0,63.0,68.0,44.0,42.0,31.0,32.0,37.0,48.0,46.0,50.0
경기도 시흥시,73.0,73.0,67.0,69.0,74.0,48.0,47.0,38.0,41.0,47.0,58.0,64.0,58.0
경기도 안산시,66.0,67.0,64.0,65.0,69.0,47.0,43.0,33.0,34.0,40.0,50.0,50.0,53.0
경기도 안성시,79.0,77.0,77.0,81.0,81.0,56.0,47.0,35.0,34.0,41.0,56.0,50.0,60.0
경기도 안양시,60.0,60.0,65.0,65.0,69.0,47.0,46.0,35.0,36.0,38.0,50.0,44.0,52.0
경기도 양주시,75.0,72.0,73.0,68.0,65.0,41.0,44.0,33.0,36.0,43.0,63.0,56.0,56.0
경기도 양평군,68.0,62.0,66.0,63.0,63.0,40.0,37.0,30.0,26.0,33.0,48.0,46.0,49.0
경기도 여주시,96.0,86.0,90.0,87.0,88.0,57.0,49.0,41.0,41.0,50.0,67.0,60.0,68.0
경기도 연천군,68.0,67.0,78.0,75.0,72.0,44.0,44.0,32.0,29.0,37.0,51.0,53.0,54.0
경기도 오산시,71.0,68.0,63.0,65.0,67.0,46.0,44.0,38.0,39.0,46.0,56.0,48.0,55.0
경기도 용인시,76.0,72.0,70.0,70.0,75.0,51.0,49.0,38.0,36.0,41.0,55.0,53.0,58.0
경기도 의왕시,66.0,62.0,66.0,68.0,76.0,55.0,51.0,40.0,40.0,42.0,55.0,52.0,56.0
경기도 의정부시,68.0,68.0,72.0,70.0,66.0,42.0,42.0,34.0,32.0,32.0,47.0,50.0,52.0
경기도 이천시,92.0,84.0,87.0,87.0,88.0,62.0,57.0,51.0,51.0,59.0,54.0,44.0,70.0
경기도 파주시,71.0,71.0,73.0,51.0,77.0,45.0,48.0,40.0,41.0,50.0,62.0,56.0,57.0
경기도 평택시,73.0,71.0,69.0,75.0,79.0,58.0,49.0,38.0,41.0,50.0,61.0,54.0,60.0
경기도 포천시,87.0,81.0,82.0,81.0,76.0,54.0,54.0,48.0,39.0,53.0,74.0,69.0,66.0
경기도 하남시,64.0,60.0,63.0,58.0,54.0,37.0,38.0,29.0,25.0,29.0,43.0,45.0,45.0
경기도 화성시,64.0,64.0,63.0,65.0,70.0,50.0,48.0,39.0,38.0,42.0,56.0,51.0,54.0
경상남도 거제시,53.0,45.0,48.0,50.0,67.0,48.0,38.0,28.0,33.0,34.0,39.0,34.0,44.0
경상남도 김해시,61.0,49.0,47.0,45.0,57.0,40.0,35.0,26.0,30.0,25.0,44.0,41.0,42.0
경상남도 사천시,58.0,45.0,43.0,41.0,55.0,39.0,30.0,21.0,29.0,30.0,36.0,34.0,39.0
경상남도 양산시,68.0,56.0,53.0,55.0,66.0,47.0,42.0,30.0,35.0,39.0,50.0,48.0,49.0
경상남도 진주시,70.0,58.0,57.0,55.0,75.0,53.0,41.0,33.0,41.0,44.0,53.0,53.0,53.0
경상남도 창원시,64.0,51.0,54.0,54.0,70.0,51.0,42.0,30.0,38.0,42.0,50.0,43.0,50.0
경상남도 하동군,61.0,51.0,55.0,51.0,67.0,53.0,45.0,41.0,53.0,52.0,49.0,44.0,53.0
경상북도 경산시,68.0,53.0,53.0,51.0,61.0,45.0,43.0,29.0,34.0,38.0,50.0,43.0,48.0
경상북도 경주시,55.0,45.0,47.0,53.0,64.0,49.0,47.0,36.0,35.0,41.0,56.0,48.0,48.0
경상북도 구미시,72.0,60.0,58.0,58.0,65.0,50.0,46.0,34.0,41.0,43.0,52.0,53.0,53.0
경상북도 김천시,68.0,77.0,75.0,71.0,78.0,53.0,43.0,32.0,32.0,33.0,43.0,38.0,55.0
경상북도 안동시,75.0,54.0,59.0,58.0,64.0,37.0,33.0,24.0,27.0,34.0,48.0,54.0,47.0
