일시,부산 강서구 녹산동,부산 강서구 대저동,부산 강서구 명지동,부산 금정구 부곡동,부산 금정구 청룡동,부산 금정구 회동동,부산 기장군 기장읍,부산 기장군 용수리,부산 남구 대연동,부산 남구 용호동,부산 동구 수정동,부산 동래구 명장동,부산 부산진구 개금동,부산 부산진구 전포동,부산 북구 덕천동,부산 북구 화명동,부산 사상구 덕포동,부산 사상구 학장동,부산 사하구 당리동,부산 사하구 장림동,부산 서구 대신동,부산 수영구 광안동,부산 연제구 연산동,부산 영도구 청학동,부산 영도구 태종대,부산 중구 광복동,부산 해운대구 재송동,부산 해운대구 좌동,부산 강서구 부산신항,부산 동구 부산북항,부산 동구 초량동,부산 동래구 온천동,부산 사상구 삼락동,부산 강서구 부산항
2022-06-04 00:00:00,27,21,22,22,22,21,21,12,27,22,46,21,26,32,24,15,20,26,23,29,32,29,27,22,17,27,25,22,23,31,34,27,24,30
2022-06-04 01:00:00,27,21,25,24,15,24,18,20,25,15,42,21,26,19,26,17,20,22,30,25,27,25,27,23,14,26,22,25,25,29,29,30,22,28
2022-06-04 02:00:00,20,24,20,25,12,19,22,18,22,19,32,18,18,19,26,18,27,26,27,29,23,25,17,19,22,30,20,22,25,29,28,21,21,32
2022-06-04 03:00:00,17,18,23,17,12,19,20,16,23,20,33,19,21,16,23,15,25,21,23,19,23,27,21,17,18,25,19,22,22,27,22,26,19,27
2022-06-04 04:00:00,22,20,20,18,18,21,20,27,21,20,29,24,24,12,20,15,20,22,24,21,26,23,21,24,13,27,20,23,20,31,25,20,15,32
2022-06-04 05:00:00,18,21,20,16,15,18,18,22,21,19,32,21,21,13,23,16,26,23,21,21,21,25,22,23,13,23,20,25,27,27,20,20,15,24
2022-06-04 06:00:00,13,19,21,24,14,26,18,18,18,16,33,20,26,45,23,17,24,20,24,26,24,18,21,21,17,21,16,26,25,24,24,20,15,27
2022-06-04 07:00:00,18,20,26,23,12,19,20,18,19,19,31,19,20,2,17,15,21,18,21,21,25,21,21,17,15,21,18,25,18,20,27,25,17,32
2022-06-04 08:00:00,23,19,18,17,15,24,22,22,16,15,22,25,20,48,19,12,16,20,19,26,21,17,16,22,15,22,17,22,24,22,22,24,15,34
2022-06-04 09:00:00,18,23,25,28,18,19,15,17,17,17,32,20,21,19,30,19,25,25,19,34,19,15,26,19,15,27,20,19,24,25,25,27,19,31
2022-06-04 10:00:00,27,26,23,17,20,19,19,24,18,12,35,20,17,2,21,21,20,22,23,46,22,23,16,20,15,23,24,24,21,31,25,20,16,34
2022-06-04 11:00:00,27,18,24,21,16,15,18,21,18,18,60,16,19,19,19,19,21,19,19,34,23,18,17,22,15,25,18,18,23,29,31,21,17,34
2022-06-04 12:00:00,26,17,21,18,18,12,18,19,15,19,20,15,15,24,17,18,17,22,21,48,20,18,16,18,-,24,17,25,22,22,29,20,13,29
2022-06-04 13:00:00,16,18,17,12,14,12,19,21,17,18,23,17,12,13,16,13,12,21,10,25,17,17,16,15,14,15,11,25,18,16,27,13,13,28
2022-06-04 14:00:00,25,15,20,15,12,21,17,18,14,18,28,14,11,17,13,17,13,18,19,27,23,15,15,20,20,15,13,24,17,21,32,19,12,26
2022-06-04 15:00:00,27,16,14,12,16,18,13,20,21,18,24,10,10,15,19,20,13,10,16,33,20,15,20,23,18,16,12,21,22,20,27,16,14,26
2022-06-04 16:00:00,20,18,16,12,12,20,17,20,21,13,17,11,11,12,17,11,11,18,17,28,17,26,16,15,19,20,14,23,21,20,25,17,14,29
2022-06-04 17:00:00,19,18,24,16,12,12,16,17,26,14,17,13,17,16,18,9,12,17,18,27,20,14,21,23,13,26,19,17,20,22,23,23,16,34
2022-06-04 18:00:00,18,22,16,14,16,18,22,18,18,12,11,19,16,12,23,19,14,28,20,30,20,18,18,17,18,19,22,23,23,18,21,27,13,38
2022-06-04 19:00:00,19,16,17,21,14,16,17,-,18,19,14,19,16,16,21,26,13,17,17,27,21,19,22,24,17,18,16,20,20,15,21,24,12,35
2022-06-04 20:00:00,16,18,18,19,17,9,18,-,21,23,20,15,23,26,21,19,17,18,20,23,16,17,23,20,23,23,15,27,20,23,23,24,17,35
2022-06-04 21:00:00,19,18,21,19,16,13,18,-,21,19,22,18,22,26,22,20,16,16,19,25,23,16,23,16,18,17,16,27,18,24,20,23,15,29
2022-06-04 22:00:00,24,19,17,19,24,15,19,-,19,16,27,16,17,22,22,26,18,17,12,20,16,14,20,22,19,24,18,29,22,13,25,23,10,30
2022-06-04 23:00:00,17,19,15,29,26,18,22,-,17,13,30,17,17,36,24,22,20,21,14,15,17,16,25,18,17,26,19,22,19,17,24,34,14,33
