address,m01avg,m02avg,m03avg,m04avg,m05avg,m06avg,m07avg,m08avg,m09avg,m10avg,m11avg,m12avg,year_avg
강원도 강릉시,33.0,37.0,37.0,49.0,47.0,37.0,32.0,31.0,24.0,17.0,46.0,30.0,35.0
강원도 고성군,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0
강원도 동해시,31.0,36.0,38.0,53.0,43.0,36.0,28.0,23.0,19.0,25.0,38.0,31.0,34.0
강원도 삼척시,32.0,36.0,35.0,47.0,40.0,33.0,20.0,13.0,28.0,22.0,36.0,31.0,31.0
강원도 원주시,39.0,32.0,32.0,39.0,30.0,28.0,21.0,18.0,16.0,29.0,54.0,51.0,31.0
강원도 춘천시,57.0,60.0,50.0,58.0,38.0,31.0,26.0,20.0,20.0,27.0,44.0,49.0,39.0
강원도 평창군,47.0,44.0,43.0,51.0,35.0,28.0,28.0,24.0,27.0,29.0,45.0,41.0,36.0
강원도 횡성군,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0
경기도 가평군,49.0,45.0,55.0,51.0,35.0,26.0,15.0,12.0,14.0,20.0,35.0,34.0,32.0
경기도 고양시,48.0,44.0,42.0,41.0,31.0,24.0,16.0,18.0,26.0,34.0,59.0,48.0,35.0
경기도 과천시,50.0,54.0,54.0,54.0,45.0,38.0,28.0,26.0,23.0,29.0,51.0,43.0,41.0
경기도 광명시,48.0,59.0,58.0,58.0,50.0,42.0,30.0,28.0,25.0,35.0,62.0,52.0,45.0
경기도 광주시,64.0,60.0,60.0,59.0,36.0,37.0,27.0,24.0,23.0,32.0,63.0,53.0,44.0
경기도 구리시,56.0,56.0,55.0,54.0,42.0,29.0,24.0,23.0,24.0,36.0,60.0,52.0,42.0
경기도 군포시,54.0,55.0,55.0,57.0,48.0,40.0,24.0,26.0,31.0,41.0,68.0,50.0,45.0
경기도 김포시,56.0,57.0,59.0,54.0,45.0,35.0,19.0,21.0,21.0,34.0,62.0,51.0,42.0
경기도 남양주시,25.0,25.0,26.0,28.0,23.0,19.0,25.0,22.0,22.0,22.0,55.0,48.0,27.0
경기도 동두천시,58.0,62.0,64.0,60.0,44.0,34.0,16.0,17.0,21.0,29.0,58.0,52.0,42.0
경기도 부천시,58.0,57.0,61.0,59.0,50.0,45.0,28.0,28.0,30.0,40.0,73.0,57.0,48.0
경기도 성남시,43.0,45.0,42.0,45.0,36.0,32.0,24.0,23.0,20.0,26.0,56.0,46.0,36.0
경기도 수원시,48.0,51.0,52.0,52.0,45.0,38.0,28.0,26.0,21.0,31.0,56.0,44.0,41.0
경기도 시흥시,57.0,59.0,59.0,59.0,51.0,42.0,32.0,30.0,28.0,41.0,72.0,55.0,48.0
경기도 안산시,50.0,52.0,50.0,53.0,44.0,37.0,27.0,26.0,23.0,32.0,60.0,48.0,41.0
경기도 안성시,67.0,59.0,54.0,59.0,52.0,53.0,37.0,23.0,20.0,36.0,72.0,51.0,48.0
경기도 안양시,57.0,58.0,58.0,61.0,48.0,46.0,27.0,26.0,26.0,38.0,66.0,52.0,46.0
경기도 양주시,36.0,66.0,56.0,50.0,46.0,38.0,18.0,17.0,24.0,40.0,70.0,60.0,42.0
경기도 양평군,51.0,52.0,51.0,55.0,40.0,35.0,30.0,23.0,21.0,27.0,46.0,43.0,39.0
경기도 여주시,60.0,57.0,59.0,54.0,40.0,38.0,29.0,19.0,25.0,34.0,58.0,54.0,43.0
경기도 연천군,51.0,44.0,53.0,45.0,26.0,17.0,6.0,11.0,15.0,19.0,41.0,38.0,30.0
경기도 오산시,50.0,53.0,54.0,54.0,47.0,41.0,31.0,34.0,29.0,43.0,71.0,52.0,46.0
경기도 용인시,58.0,54.0,55.0,54.0,45.0,37.0,26.0,24.0,23.0,33.0,60.0,45.0,43.0
경기도 의왕시,54.0,56.0,57.0,58.0,44.0,37.0,26.0,26.0,22.0,32.0,61.0,48.0,43.0
경기도 의정부시,62.0,59.0,63.0,62.0,48.0,38.0,21.0,22.0,25.0,30.0,58.0,58.0,44.0
경기도 이천시,63.0,58.0,62.0,61.0,49.0,42.0,28.0,21.0,23.0,33.0,61.0,53.0,46.0
경기도 파주시,54.0,60.0,56.0,56.0,45.0,36.0,24.0,26.0,26.0,37.0,62.0,50.0,44.0
경기도 평택시,51.0,46.0,48.0,35.0,31.0,36.0,20.0,24.0,24.0,37.0,60.0,59.0,37.0
경기도 포천시,40.0,38.0,35.0,34.0,24.0,20.0,15.0,14.0,13.0,20.0,36.0,37.0,26.0
경기도 하남시,66.0,66.0,62.0,62.0,46.0,39.0,31.0,27.0,24.0,34.0,66.0,58.0,48.0
경기도 화성시,37.0,36.0,36.0,35.0,29.0,24.0,15.0,14.0,26.0,37.0,66.0,48.0,32.0
경상남도 거제시,36.0,0.0,41.0,60.0,42.0,38.0,37.0,31.0,32.0,29.0,41.0,33.0,35.0
