일시,부산 강서구 녹산동,부산 강서구 대저동,부산 강서구 명지동,부산 금정구 부곡동,부산 금정구 청룡동,부산 금정구 회동동,부산 기장군 기장읍,부산 기장군 용수리,부산 남구 대연동,부산 남구 용호동,부산 동구 수정동,부산 동래구 명장동,부산 부산진구 개금동,부산 부산진구 전포동,부산 북구 덕천동,부산 북구 화명동,부산 사상구 덕포동,부산 사상구 학장동,부산 사하구 당리동,부산 사하구 장림동,부산 서구 대신동,부산 수영구 광안동,부산 연제구 연산동,부산 영도구 청학동,부산 영도구 태종대,부산 중구 광복동,부산 해운대구 재송동,부산 해운대구 좌동,부산 강서구 부산신항,부산 동구 부산북항,부산 동구 초량동,부산 동래구 온천동,부산 사상구 삼락동,부산 강서구 부산항
2022-06-13 00:00:00,10,13,17,18,12,11,15,12,14,20,22,13,11,6,15,20,14,13,15,17,13,14,17,13,13,11,11,23,11,12,18,23,17,28
2022-06-13 01:00:00,20,19,23,13,18,13,15,15,18,14,20,14,18,5,19,19,19,18,16,13,17,13,17,18,13,20,11,21,20,15,18,19,18,27
2022-06-13 02:00:00,16,12,25,18,16,16,16,12,22,17,22,15,16,12,20,14,18,22,19,17,16,21,17,17,13,19,18,22,23,19,20,15,11,30
2022-06-13 03:00:00,14,13,16,14,8,11,14,12,18,12,22,15,17,12,19,16,15,16,23,12,17,18,20,15,15,27,20,18,21,18,17,14,7,29
2022-06-13 04:00:00,14,14,19,13,10,9,16,12,19,13,24,12,14,9,17,13,15,19,23,24,20,15,16,14,8,24,17,17,21,19,21,13,8,31
2022-06-13 05:00:00,12,13,18,11,11,12,18,17,21,15,22,12,8,7,15,18,22,18,18,19,17,17,18,16,15,20,12,17,17,16,13,12,17,23
2022-06-13 06:00:00,17,13,21,20,13,12,15,18,13,13,21,14,17,3,23,12,17,22,17,13,24,19,16,9,12,16,15,21,18,14,21,17,15,30
2022-06-13 07:00:00,18,18,21,18,13,18,18,19,14,12,18,12,23,13,23,23,18,21,23,15,22,15,17,21,12,19,16,21,19,16,19,24,20,30
2022-06-13 08:00:00,18,19,18,16,16,17,21,22,18,16,21,18,18,6,24,17,17,20,22,23,17,15,15,18,10,17,16,20,24,15,16,22,19,36
2022-06-13 09:00:00,18,25,17,18,14,18,15,19,18,13,19,17,19,7,24,16,19,23,20,22,18,13,21,15,13,19,14,17,20,20,19,22,22,38
2022-06-13 10:00:00,25,22,23,18,17,22,18,22,23,16,21,21,19,8,22,19,16,25,19,30,15,21,20,13,12,22,16,18,26,20,20,23,17,31
2022-06-13 11:00:00,29,27,25,20,18,20,20,17,22,13,18,19,21,15,21,22,28,22,19,32,23,10,23,16,12,24,16,22,22,20,21,22,23,31
2022-06-13 12:00:00,22,19,27,17,17,22,20,15,16,11,24,19,23,14,25,15,22,22,27,29,15,19,24,17,12,19,16,17,23,24,19,26,21,31
2022-06-13 13:00:00,21,16,30,18,19,23,16,16,18,16,31,18,30,26,27,18,31,24,26,20,26,20,24,15,15,21,20,26,19,21,27,26,23,30
2022-06-13 14:00:00,22,22,27,21,20,17,24,19,21,16,29,21,24,23,22,16,26,34,27,35,23,20,24,19,15,24,23,18,23,31,22,26,16,32
2022-06-13 15:00:00,24,23,24,16,16,20,21,17,22,13,25,18,21,19,24,18,18,27,27,37,26,23,27,17,14,28,24,25,20,27,26,24,22,33
2022-06-13 16:00:00,25,25,25,21,19,15,24,9,19,17,26,19,23,23,22,13,19,30,20,31,22,23,29,21,17,24,23,27,23,20,29,30,26,36
2022-06-13 17:00:00,19,22,23,21,19,22,25,17,22,20,28,24,31,18,33,17,23,30,28,39,23,22,25,21,15,28,20,20,25,31,25,23,21,41
2022-06-13 18:00:00,22,27,20,32,22,23,31,23,22,19,37,27,26,31,29,22,27,22,28,24,25,21,35,24,18,21,24,27,26,25,23,25,26,34
2022-06-13 19:00:00,26,29,26,28,27,16,30,28,23,24,39,21,23,28,29,32,26,26,29,26,25,26,30,24,22,23,27,31,27,24,27,29,27,37
2022-06-13 20:00:00,27,29,23,27,22,17,29,24,26,24,31,22,22,18,40,35,28,26,26,25,25,27,31,23,18,27,25,30,32,26,29,26,27,37
2022-06-13 21:00:00,22,25,26,28,21,21,25,22,23,20,34,23,23,26,27,25,24,25,28,27,27,24,26,27,20,21,21,29,27,27,29,27,24,38
2022-06-13 22:00:00,27,22,29,28,22,19,30,20,24,24,36,25,29,21,27,22,22,25,27,20,24,28,30,27,19,24,20,32,27,25,30,31,27,35
2022-06-13 23:00:00,29,20,22,23,18,26,24,18,22,33,36,21,24,17,28,18,27,24,25,24,27,26,29,21,19,21,18,32,22,28,23,30,20,34
