address,m01avg,m02avg,m03avg,m04avg,m05avg,m06avg,m07avg,m08avg,m09avg,m10avg,m11avg,m12avg,year_avg
강원도 강릉시,48.0,52.0,62.0,55.0,61.0,38.0,33.0,29.0,41.0,39.0,37.0,29.0,45.0
강원도 동해시,35.0,36.0,47.0,49.0,58.0,41.0,36.0,22.0,29.0,20.0,29.0,27.0,37.0
강원도 삼척시,35.0,37.0,50.0,49.0,57.0,44.0,41.0,29.0,30.0,19.0,29.0,29.0,38.0
강원도 원주시,78.0,68.0,70.0,64.0,64.0,42.0,30.0,19.0,33.0,29.0,54.0,57.0,50.0
강원도 춘천시,32.0,56.0,60.0,54.0,62.0,40.0,32.0,20.0,31.0,28.0,48.0,52.0,42.0
경기도 가평군,75.0,69.0,73.0,56.0,60.0,29.0,26.0,12.0,24.0,20.0,39.0,59.0,44.0
경기도 고양시,64.0,56.0,71.0,64.0,72.0,47.0,39.0,34.0,49.0,42.0,55.0,63.0,54.0
경기도 과천시,54.0,46.0,61.0,58.0,66.0,41.0,36.0,26.0,38.0,30.0,44.0,48.0,45.0
경기도 광명시,58.0,52.0,64.0,62.0,74.0,46.0,40.0,27.0,44.0,39.0,50.0,46.0,51.0
경기도 광주시,70.0,61.0,73.0,61.0,61.0,43.0,37.0,33.0,0.0,35.0,62.0,67.0,49.0
경기도 구리시,75.0,64.0,79.0,73.0,77.0,52.0,42.0,26.0,43.0,42.0,63.0,60.0,58.0
경기도 군포시,62.0,58.0,80.0,68.0,71.0,46.0,36.0,20.0,40.0,34.0,50.0,50.0,51.0
경기도 김포시,75.0,67.0,88.0,79.0,85.0,53.0,44.0,32.0,52.0,50.0,66.0,69.0,63.0
경기도 남양주시,59.0,50.0,56.0,54.0,62.0,38.0,33.0,20.0,32.0,28.0,43.0,50.0,43.0
경기도 동두천시,72.0,61.0,69.0,65.0,70.0,47.0,42.0,27.0,0.0,35.0,56.0,61.0,49.0
경기도 부천시,53.0,48.0,64.0,63.0,74.0,44.0,34.0,26.0,42.0,38.0,46.0,54.0,48.0
경기도 성남시,53.0,47.0,60.0,56.0,62.0,42.0,31.0,22.0,30.0,31.0,44.0,36.0,43.0
경기도 수원시,61.0,52.0,70.0,62.0,69.0,44.0,25.0,24.0,36.0,31.0,44.0,44.0,47.0
