일시,부산 강서구 녹산동,부산 강서구 대저동,부산 강서구 명지동,부산 금정구 부곡동,부산 금정구 청룡동,부산 금정구 회동동,부산 기장군 기장읍,부산 기장군 용수리,부산 남구 대연동,부산 남구 용호동,부산 동구 수정동,부산 동래구 명장동,부산 부산진구 개금동,부산 부산진구 전포동,부산 북구 덕천동,부산 북구 화명동,부산 사상구 덕포동,부산 사상구 학장동,부산 사하구 당리동,부산 사하구 장림동,부산 서구 대신동,부산 수영구 광안동,부산 연제구 연산동,부산 영도구 청학동,부산 영도구 태종대,부산 중구 광복동,부산 해운대구 재송동,부산 해운대구 좌동,부산 강서구 부산신항,부산 동구 부산북항,부산 동구 초량동,부산 동래구 온천동,부산 사상구 삼락동,부산 강서구 부산항
2022-06-28 00:00:00,18,19,18,16,10,8,15,13,14,16,38,15,15,15,14,11,14,34,18,18,34,21,18,15,9,18,19,24,10,27,22,11,15,15
2022-06-28 01:00:00,10,24,22,16,4,9,14,12,19,14,33,13,12,19,16,15,19,29,28,24,29,21,17,13,8,19,16,23,8,20,15,16,21,18
2022-06-28 02:00:00,12,24,16,21,2,10,11,14,19,15,28,11,15,19,16,17,13,21,19,20,34,24,14,12,7,21,18,18,6,21,17,9,12,14
2022-06-28 03:00:00,10,24,14,17,5,9,12,17,22,12,43,20,12,17,14,13,9,25,20,16,33,21,16,15,6,20,15,26,8,22,18,7,12,18
2022-06-28 04:00:00,7,15,11,17,7,8,11,6,19,17,29,11,9,18,16,19,16,20,16,12,14,16,17,8,4,13,10,21,10,17,11,8,11,21
2022-06-28 05:00:00,12,19,14,16,6,7,11,8,7,13,23,8,14,23,18,15,13,23,18,13,13,17,13,3,2,13,10,15,8,18,12,2,17,23
2022-06-28 06:00:00,18,30,18,24,9,9,9,13,24,15,32,18,17,25,19,11,18,24,22,23,35,18,10,6,2,19,14,19,7,22,16,2,25,30
2022-06-28 07:00:00,13,27,19,18,6,16,12,9,24,16,45,15,8,19,18,22,22,17,19,20,32,22,17,13,2,27,15,22,11,27,17,13,20,21
2022-06-28 08:00:00,13,22,20,15,4,14,15,12,26,18,40,17,14,22,21,20,22,19,14,18,23,20,11,8,3,23,14,19,10,25,13,16,16,19
2022-06-28 09:00:00,16,24,21,21,3,9,6,10,12,14,27,8,14,16,17,14,30,25,26,25,32,-,13,4,3,12,12,23,12,21,13,7,22,25
2022-06-28 10:00:00,16,17,16,19,3,16,7,8,18,19,33,9,9,19,20,10,17,22,19,23,26,24,14,6,8,19,10,22,9,24,16,20,12,37
2022-06-28 11:00:00,16,23,27,22,8,14,9,10,28,20,40,9,15,23,29,16,26,32,23,23,39,21,17,14,8,24,12,31,21,29,21,23,22,34
2022-06-28 12:00:00,21,27,23,26,8,17,17,14,27,21,47,17,20,30,27,23,32,33,28,31,42,20,17,18,9,24,15,26,20,30,26,19,21,32
2022-06-28 13:00:00,16,19,17,19,9,15,7,12,23,23,24,13,19,2,21,14,23,27,17,22,27,19,12,11,17,18,11,21,15,21,9,23,21,27
2022-06-28 14:00:00,18,21,22,2,8,14,8,16,27,16,36,14,17,42,22,23,33,31,19,22,26,22,18,14,19,24,16,27,19,30,23,14,30,30
2022-06-28 15:00:00,16,25,25,2,10,23,11,15,29,19,40,22,9,24,21,21,30,30,33,27,40,27,23,17,18,35,18,25,16,31,25,25,21,35
2022-06-28 16:00:00,19,29,21,19,10,17,14,14,27,18,33,20,14,27,27,24,26,28,23,26,42,29,16,21,18,23,12,27,17,32,19,10,25,-
2022-06-28 17:00:00,19,27,22,17,9,12,17,20,26,23,42,15,19,35,25,26,34,38,28,26,44,35,18,16,19,26,16,27,19,24,21,20,23,8
2022-06-28 18:00:00,19,27,21,20,7,16,13,14,24,21,32,18,18,24,26,19,27,28,24,21,39,27,19,13,22,26,15,27,16,22,17,19,24,6
2022-06-28 19:00:00,20,26,18,13,7,12,15,16,30,14,42,11,17,10,22,11,19,18,19,19,15,24,10,15,13,25,16,24,15,26,23,20,25,2
2022-06-28 20:00:00,14,26,26,14,8,9,13,6,22,17,28,9,12,13,22,11,16,23,21,17,26,25,10,12,10,21,18,29,18,21,20,16,17,2
2022-06-28 21:00:00,17,22,22,12,16,7,15,13,23,19,38,10,18,17,20,11,20,17,16,19,32,23,19,11,7,26,16,29,17,25,20,13,13,4
2022-06-28 22:00:00,13,25,19,12,7,15,15,10,20,18,53,16,14,20,17,16,18,16,23,20,43,31,15,16,5,21,15,26,18,23,20,11,16,4
2022-06-28 23:00:00,15,27,23,13,10,13,12,20,19,17,49,18,11,22,19,21,22,23,24,21,50,24,18,17,13,28,18,26,13,25,20,11,18,3
