address,m01avg,m02avg,m03avg,m04avg,m05avg,m06avg,m07avg,m08avg,m09avg,m10avg,m11avg,m12avg,year_avg
강원도 강릉시,39.0,62.0,67.0,62.0,62.0,36.0,27.0,22.0,27.0,38.0,45.0,37.0,44.0
강원도 동해시,33.0,51.0,58.0,59.0,69.0,35.0,24.0,17.0,19.0,35.0,38.0,30.0,40.0
강원도 삼척시,41.0,56.0,66.0,61.0,66.0,38.0,28.0,26.0,28.0,39.0,43.0,37.0,45.0
강원도 원주시,66.0,98.0,79.0,69.0,74.0,49.0,26.0,26.0,32.0,56.0,62.0,78.0,58.0
강원도 춘천시,56.0,80.0,72.0,60.0,74.0,45.0,29.0,28.0,32.0,45.0,49.0,58.0,52.0
경기도 가평군,0.0,70.0,68.0,54.0,60.0,36.0,23.0,18.0,22.0,36.0,39.0,52.0,39.0
경기도 고양시,54.0,90.0,84.0,74.0,85.0,62.0,42.0,40.0,40.0,56.0,50.0,54.0,62.0
경기도 과천시,50.0,88.0,68.0,62.0,79.0,51.0,32.0,32.0,32.0,46.0,41.0,52.0,53.0
경기도 광명시,50.0,84.0,78.0,64.0,84.0,51.0,33.0,30.0,34.0,50.0,45.0,50.0,55.0
경기도 광주시,64.0,97.0,82.0,76.0,77.0,51.0,28.0,27.0,28.0,42.0,44.0,56.0,56.0
경기도 구리시,45.0,77.0,70.0,66.0,83.0,52.0,31.0,33.0,35.0,42.0,40.0,42.0,52.0
경기도 군포시,48.0,86.0,76.0,68.0,78.0,60.0,46.0,38.0,38.0,50.0,44.0,48.0,57.0
경기도 김포시,53.0,83.0,80.0,75.0,91.0,64.0,45.0,40.0,39.0,55.0,53.0,55.0,62.0
경기도 남양주시,54.0,80.0,74.0,63.0,75.0,46.0,30.0,29.0,30.0,44.0,41.0,57.0,51.0
경기도 동두천시,107.0,106.0,96.0,82.0,84.0,58.0,45.0,43.0,48.0,73.0,68.0,86.0,74.0
경기도 부천시,54.0,94.0,84.0,72.0,90.0,59.0,37.0,36.0,38.0,55.0,51.0,55.0,61.0
경기도 성남시,44.0,78.0,68.0,60.0,72.0,49.0,33.0,32.0,33.0,44.0,40.0,47.0,50.0
경기도 수원시,47.0,81.0,71.0,62.0,76.0,50.0,34.0,33.0,36.0,50.0,44.0,49.0,53.0
경기도 시흥시,55.0,94.0,77.0,70.0,91.0,50.0,36.0,37.0,39.0,56.0,49.0,52.0,59.0
경기도 안산시,51.0,89.0,74.0,64.0,79.0,51.0,36.0,35.0,37.0,52.0,46.0,49.0,56.0
경기도 안성시,58.0,89.0,72.0,76.0,85.0,63.0,35.0,33.0,37.0,50.0,47.0,54.0,59.0
경기도 안양시,48.0,82.0,74.0,66.0,82.0,58.0,43.0,38.0,35.0,49.0,44.0,46.0,56.0
경기도 양주시,73.0,87.0,76.0,70.0,81.0,61.0,45.0,49.0,57.0,83.0,75.0,103.0,69.0
경기도 양평군,57.0,90.0,73.0,63.0,70.0,47.0,27.0,27.0,31.0,47.0,46.0,57.0,53.0
경기도 여주시,66.0,103.0,84.0,76.0,83.0,59.0,35.0,33.0,38.0,59.0,56.0,68.0,63.0
경기도 연천군,61.0,74.0,72.0,61.0,69.0,34.0,27.0,25.0,32.0,49.0,48.0,58.0,50.0
경기도 오산시,67.0,103.0,74.0,74.0,75.0,73.0,43.0,33.0,37.0,52.0,46.0,51.0,62.0
경기도 용인시,51.0,83.0,74.0,65.0,77.0,52.0,33.0,32.0,36.0,52.0,47.0,56.0,55.0
경기도 의왕시,52.0,82.0,76.0,70.0,82.0,60.0,40.0,35.0,36.0,50.0,41.0,50.0,57.0
경기도 의정부시,58.0,82.0,74.0,61.0,70.0,46.0,34.0,32.0,34.0,43.0,38.0,46.0,52.0
경기도 이천시,63.0,97.0,78.0,75.0,83.0,69.0,51.0,42.0,47.0,65.0,61.0,65.0,66.0
경기도 파주시,61.0,82.0,88.0,75.0,93.0,52.0,36.0,35.0,43.0,59.0,54.0,57.0,62.0
경기도 평택시,56.0,92.0,78.0,77.0,86.0,64.0,38.0,38.0,40.0,60.0,54.0,67.0,62.0
경기도 포천시,114.0,127.0,103.0,92.0,100.0,74.0,54.0,57.0,62.0,93.0,87.0,115.0,88.0
경기도 하남시,55.0,85.0,64.0,70.0,59.0,42.0,25.0,23.0,22.0,35.0,39.0,54.0,47.0
경기도 화성시,52.0,86.0,77.0,71.0,79.0,57.0,37.0,34.0,37.0,51.0,44.0,54.0,57.0
경상남도 거제시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,36.0,37.0,36.0,10.0
경상남도 김해시,38.0,54.0,50.0,48.0,66.0,54.0,42.0,35.0,36.0,44.0,43.0,44.0,46.0
경상남도 양산시,34.0,49.0,46.0,44.0,62.0,44.0,28.0,27.0,28.0,42.0,42.0,40.0,41.0
경상남도 진주시,37.0,61.0,54.0,55.0,78.0,55.0,22.0,21.0,29.0,40.0,41.0,43.0,45.0
경상남도 창원시,39.0,64.0,58.0,55.0,73.0,48.0,30.0,28.0,32.0,43.0,46.0,42.0,47.0
경상남도 하동군,34.0,59.0,52.0,53.0,66.0,47.0,28.0,26.0,28.0,35.0,33.0,33.0,42.0
경상북도 경주시,36.0,60.0,59.0,50.0,69.0,58.0,36.0,37.0,34.0,41.0,46.0,40.0,48.0
경상북도 구미시,26.0,63.0,58.0,51.0,68.0,40.0,23.0,22.0,26.0,39.0,42.0,42.0,42.0
경상북도 김천시,42.0,81.0,67.0,61.0,78.0,55.0,42.0,37.0,34.0,44.0,53.0,45.0,54.0
경상북도 안동시,52.0,75.0,69.0,54.0,63.0,37.0,24.0,19.0,22.0,37.0,40.0,46.0,45.0
경상북도 영주시,45.0,71.0,55.0,47.0,51.0,53.0,43.0,36.0,33.0,50.0,50.0,55.0,49.0
경상북도 포항시,46.0,63.0,69.0,59.0,72.0,53.0,39.0,32.0,38.0,47.0,51.0,40.0,52.0
광주광역시 광산구,40.0,67.0,60.0,60.0,72.0,50.0,32.0,30.0,33.0,45.0,40.0,39.0,48.0
광주광역시 남구,30.0,54.0,52.0,52.0,65.0,44.0,27.0,27.0,30.0,39.0,38.0,34.0,42.0
광주광역시 동구,36.0,62.0,56.0,56.0,75.0,48.0,28.0,26.0,24.0,34.0,38.0,36.0,44.0
광주광역시 북구,34.0,60.0,56.0,52.0,64.0,46.0,28.0,27.0,30.0,41.0,36.0,34.0,43.0
광주광역시 서구,26.0,47.0,45.0,46.0,58.0,33.0,23.0,23.0,26.0,35.0,34.0,30.0,36.0
대구광역시 남구,26.0,57.0,41.0,36.0,49.0,31.0,43.0,33.0,21.0,31.0,35.0,29.0,37.0
대구광역시 달서구,48.0,63.0,57.0,52.0,62.0,48.0,31.0,0.0,37.0,47.0,50.0,46.0,45.0
대구광역시 달성군,32.0,52.0,50.0,45.0,65.0,39.0,27.0,30.0,29.0,39.0,39.0,35.0,41.0
대구광역시 동구,46.0,66.0,63.0,50.0,62.0,45.0,32.0,32.0,34.0,46.0,54.0,52.0,48.0
대구광역시 북구,44.0,68.0,62.0,56.0,72.0,50.0,38.0,34.0,36.0,46.0,48.0,45.0,50.0
대구광역시 서구,49.0,76.0,63.0,61.0,76.0,57.0,44.0,40.0,38.0,57.0,47.0,42.0,55.0
대구광역시 수성구,42.0,68.0,60.0,52.0,68.0,48.0,35.0,32.0,34.0,43.0,48.0,45.0,48.0
대구광역시 중구,38.0,66.0,56.0,50.0,67.0,42.0,30.0,27.0,28.0,43.0,48.0,43.0,45.0
대전광역시 대덕구,46.0,70.0,65.0,56.0,66.0,46.0,30.0,26.0,31.0,47.0,44.0,46.0,48.0
대전광역시 동구,28.0,47.0,49.0,43.0,58.0,36.0,23.0,19.0,24.0,45.0,44.0,49.0,38.0
대전광역시 서구,38.0,62.0,59.0,54.0,70.0,43.0,28.0,25.0,27.0,38.0,37.0,35.0,44.0
대전광역시 유성구,20.0,34.0,30.0,28.0,33.0,22.0,18.0,16.0,26.0,42.0,42.0,46.0,28.0
대전광역시 중구,41.0,61.0,57.0,50.0,68.0,40.0,24.0,24.0,24.0,35.0,26.0,38.0,41.0
부산광역시 강서구,41.0,66.0,58.0,60.0,76.0,50.0,39.0,36.0,38.0,49.0,52.0,50.0,51.0
부산광역시 금정구,36.0,61.0,62.0,60.0,84.0,61.0,31.0,26.0,26.0,37.0,34.0,34.0,47.0
부산광역시 기장군,27.0,44.0,49.0,48.0,65.0,43.0,34.0,29.0,27.0,34.0,36.0,32.0,40.0
부산광역시 남구,35.0,55.0,56.0,58.0,82.0,64.0,62.0,56.0,44.0,47.0,45.0,45.0,55.0
부산광역시 동구,0.0,0.0,0.0,0.0,0.0,0.0,28.0,22.0,21.0,30.0,27.0,27.0,12.0
부산광역시 동래구,36.0,58.0,61.0,59.0,82.0,67.0,65.0,55.0,47.0,54.0,49.0,44.0,58.0
부산광역시 부산진구,38.0,64.0,64.0,67.0,92.0,79.0,39.0,33.0,31.0,42.0,38.0,38.0,53.0
부산광역시 북구,48.0,63.0,63.0,61.0,66.0,58.0,46.0,40.0,37.0,39.0,38.0,40.0,51.0
부산광역시 사상구,57.0,70.0,73.0,68.0,89.0,65.0,54.0,48.0,43.0,60.0,59.0,60.0,62.0
부산광역시 사하구,62.0,75.0,72.0,65.0,89.0,71.0,61.0,52.0,49.0,72.0,69.0,71.0,67.0
부산광역시 수영구,24.0,40.0,41.0,42.0,61.0,33.0,26.0,22.0,20.0,27.0,24.0,25.0,33.0
부산광역시 연제구,35.0,54.0,56.0,52.0,70.0,44.0,33.0,27.0,29.0,40.0,37.0,40.0,43.0
부산광역시 영도구,38.0,57.0,57.0,58.0,73.0,46.0,39.0,35.0,35.0,47.0,43.0,43.0,48.0
