address,m01avg,m02avg,m03avg,m04avg,m05avg,m06avg,m07avg,m08avg,m09avg,m10avg,m11avg,m12avg,year_avg
전라남도 보성군,0,0,0,0,0,0,0,0,23,26,38,33,8.0
전라남도 순천시,40,45,43,31,38,29,21,29,21,22,34,27,32.0
전라남도 신안군,0,0,41,32,42,23,13,37,17,26,30,23,24.0
전라남도 여수시,40,45,42,31,39,30,23,27,23,24,34,26,33.0
전라남도 영광군,50,52,64,42,47,34,23,27,24,36,41,34,40.0
전라남도 영암군,47,49,59,37,46,31,33,36,28,35,42,41,40.0
전라남도 완도군,0,46,48,31,41,26,20,24,20,25,34,23,29.0
전라남도 장성군,50,52,58,41,45,33,20,20,21,31,39,34,37.0
전라남도 장흥군,39,43,45,26,34,31,20,31,21,28,34,28,32.0
전라남도 진도군,0,43,46,30,40,26,20,24,21,29,33,26,28.0
전라남도 함평군,0,48,54,33,42,31,22,25,21,32,39,36,32.0
전라남도 해남군,40,43,52,34,45,35,23,27,23,32,35,28,35.0
전라남도 화순군,0,0,50,36,42,33,22,24,20,27,33,26,26.0
전라북도 고창군,60,63,69,44,50,35,28,29,26,32,36,32,43.0
전라북도 군산시,60,61,72,45,61,37,28,30,28,40,49,41,46.0
전라북도 김제시,61,62,70,46,54,42,29,30,27,39,46,39,46.0
전라북도 남원시,62,67,67,46,50,37,21,25,21,23,33,29,41.0
전라북도 무주군,49,49,51,31,35,26,18,18,17,19,27,27,31.0
전라북도 부안군,61,61,73,46,59,41,33,35,32,40,42,33,48.0
전라북도 순창군,49,55,57,36,41,30,21,28,26,29,35,33,37.0
전라북도 완주군,60,60,65,43,48,37,25,24,21,28,39,35,41.0
전라북도 익산시,72,68,76,50,57,41,28,29,28,40,50,36,49.0
전라북도 임실군,28,30,32,20,22,18,12,12,9,12,18,16,19.0
전라북도 장수군,52,55,59,39,40,28,14,26,30,36,51,46,39.0
전라북도 전주시,66,68,72,47,50,42,27,32,29,39,48,38,47.0
전라북도 정읍시,56,59,65,41,46,41,31,32,29,35,39,32,43.0
전라북도 진안군,55,55,62,39,41,37,24,24,19,24,38,33,38.0
제주특별자치도 서귀포시,24,29,35,26,30,21,18,22,17,23,28,26,25.0
제주특별자치도 제주시,39,46,56,43,48,34,28,30,28,34,44,33,39.0
충청남도 계룡시,57,51,60,36,46,29,22,24,21,27,41,38,38.0
충청남도 공주시,60,57,64,41,52,37,26,24,22,31,39,40,41.0
충청남도 금산군,55,50,58,36,39,30,18,21,24,36,51,49,38.0
충청남도 논산시,65,64,70,39,50,35,26,29,26,34,46,42,44.0
충청남도 당진시,76,70,88,58,70,44,30,32,32,48,54,52,55.0
충청남도 보령시,55,50,57,36,48,29,20,25,24,36,43,39,38.0
충청남도 부여군,55,54,56,34,48,31,26,28,24,32,43,40,39.0
충청남도 서산시,50,47,55,40,48,28,26,29,27,37,40,36,39.0
충청남도 서천군,33,55,62,38,48,28,25,30,26,35,40,35,38.0
충청남도 아산시,72,65,80,54,63,43,31,32,31,48,55,50,52.0
충청남도 예산군,64,59,69,43,53,35,26,25,25,37,45,41,44.0
충청남도 천안시,74,67,77,48,52,35,28,30,26,35,50,47,47.0
충청남도 청양군,58,54,61,39,46,31,23,24,18,31,38,36,38.0
충청남도 태안군,56,56,65,40,48,27,26,30,27,38,40,36,41.0
충청남도 홍성군,28,54,62,36,47,28,26,28,26,38,42,38,38.0
충청북도 괴산군,0,57,63,36,41,30,20,27,20,32,47,40,34.0
충청북도 단양군,64,54,60,42,49,39,29,32,29,35,56,47,44.0
충청북도 보은군,71,63,65,40,44,26,16,22,18,29,42,44,40.0
충청북도 영동군,65,64,67,42,45,36,26,26,23,29,42,43,42.0
충청북도 옥천군,65,64,67,43,49,36,24,26,23,31,45,45,43.0
충청북도 음성군,0,64,69,42,49,33,26,26,21,31,50,46,37.0
충청북도 제천시,70,60,66,45,50,30,21,25,21,32,50,49,43.0
충청북도 증평군,69,63,67,40,57,46,30,28,21,32,47,46,45.0
충청북도 진천군,69,62,67,43,50,34,26,27,25,35,47,45,44.0
충청북도 청주시,51,67,70,45,53,38,24,26,24,34,40,40,43.0
충청북도 충주시,74,59,66,40,50,20,24,24,22,34,50,48,42.0
