일시,부산 강서구 녹산동,부산 강서구 대저동,부산 강서구 명지동,부산 금정구 부곡동,부산 금정구 청룡동,부산 금정구 회동동,부산 기장군 기장읍,부산 기장군 용수리,부산 남구 대연동,부산 남구 용호동,부산 동구 수정동,부산 동래구 명장동,부산 부산진구 개금동,부산 부산진구 전포동,부산 북구 덕천동,부산 북구 화명동,부산 사상구 덕포동,부산 사상구 학장동,부산 사하구 당리동,부산 사하구 장림동,부산 서구 대신동,부산 수영구 광안동,부산 연제구 연산동,부산 영도구 청학동,부산 영도구 태종대,부산 중구 광복동,부산 해운대구 재송동,부산 해운대구 좌동,부산 강서구 부산신항,부산 동구 부산북항,부산 동구 초량동,부산 동래구 온천동,부산 사상구 삼락동,부산 강서구 부산항
2022-06-08 00:00:00,13,9,11,10,6,8,12,-,16,11,14,8,11,7,10,9,14,16,11,13,14,13,12,13,8,8,14,17,17,10,16,16,8,15
2022-06-08 01:00:00,10,8,10,10,6,6,8,-,9,6,11,11,16,8,8,6,11,12,14,9,8,12,8,12,11,11,8,10,14,8,10,12,5,11
2022-06-08 02:00:00,10,8,6,9,8,4,11,-,12,4,10,8,5,5,9,5,7,9,9,5,11,11,7,7,5,8,9,16,11,6,8,8,2,7
2022-06-08 03:00:00,8,9,6,11,6,3,14,-,13,12,9,8,9,2,9,5,9,8,13,9,12,13,6,9,9,9,9,20,7,9,12,8,3,12
2022-06-08 04:00:00,14,11,7,12,6,4,14,-,10,8,15,9,10,2,10,3,15,6,10,15,10,11,4,13,9,8,10,19,8,9,9,18,5,15
2022-06-08 05:00:00,12,12,14,12,6,8,11,-,17,15,19,10,9,2,13,6,13,10,15,16,20,11,12,20,17,17,10,24,14,8,10,9,4,12
2022-06-08 06:00:00,12,14,12,15,8,8,11,-,17,16,15,17,9,5,13,7,14,11,18,18,19,15,17,17,13,11,13,16,12,10,17,16,6,22
2022-06-08 07:00:00,17,16,13,16,6,13,20,-,17,13,15,16,10,8,13,14,17,15,14,22,16,13,10,18,13,17,9,26,14,10,18,26,10,20
2022-06-08 08:00:00,13,19,14,13,15,11,22,15,25,14,19,15,15,20,21,11,19,24,15,17,17,14,12,15,13,14,20,24,14,22,16,33,17,24
2022-06-08 09:00:00,19,21,12,18,10,17,12,15,22,15,25,12,20,18,17,16,22,21,18,18,20,18,19,18,18,20,23,29,21,27,24,22,26,27
2022-06-08 10:00:00,17,18,15,19,23,19,22,19,21,16,26,18,21,30,24,16,20,27,25,23,18,22,20,14,13,22,21,20,18,22,22,26,21,38
2022-06-08 11:00:00,19,18,22,16,20,15,18,25,22,19,23,19,18,19,24,24,15,21,29,19,22,17,20,19,17,23,17,25,20,26,24,25,27,36
2022-06-08 12:00:00,17,17,21,26,24,24,19,28,19,18,24,21,24,25,26,21,25,23,38,28,22,18,24,18,17,25,22,17,25,27,31,26,23,43
2022-06-08 13:00:00,21,27,22,33,23,29,17,28,18,18,25,26,26,20,27,22,29,26,43,31,32,21,27,17,15,25,19,20,23,28,25,26,19,52
2022-06-08 14:00:00,25,28,22,19,23,25,16,20,13,18,31,19,22,22,29,23,20,28,41,32,19,21,27,18,13,22,18,17,20,27,30,22,27,46
2022-06-08 15:00:00,20,20,24,22,17,21,18,19,18,11,25,13,21,15,21,17,23,29,26,-,19,13,23,15,12,17,17,21,21,27,22,22,20,40
2022-06-08 16:00:00,25,25,20,20,22,24,19,23,17,17,22,19,18,16,26,22,-,28,32,-,24,20,27,22,18,19,24,23,17,33,29,28,28,38
2022-06-08 17:00:00,21,29,26,22,27,27,17,21,20,17,28,19,25,15,27,22,-,35,36,33,26,20,24,15,17,25,19,25,23,26,26,28,23,42
2022-06-08 18:00:00,25,22,17,18,21,21,15,25,11,9,22,17,22,17,26,23,18,33,21,26,24,23,24,13,12,20,12,20,17,20,22,23,19,49
2022-06-08 19:00:00,16,24,24,18,20,14,17,17,18,13,21,16,21,17,25,27,19,22,21,26,24,14,23,11,13,20,13,19,21,27,22,24,14,51
2022-06-08 20:00:00,18,19,21,18,15,11,16,18,15,17,15,12,17,12,24,20,23,24,21,16,16,14,14,14,14,14,14,15,19,20,21,16,18,44
2022-06-08 21:00:00,18,16,23,15,16,8,18,16,14,11,13,15,12,7,21,19,15,15,15,17,13,13,23,15,10,16,13,21,15,12,17,14,14,30
2022-06-08 22:00:00,20,13,21,15,14,10,24,14,14,18,20,13,13,7,19,14,17,14,24,16,17,16,15,15,10,14,12,17,17,16,24,20,15,33
2022-06-08 23:00:00,20,18,18,12,11,13,14,15,20,14,17,13,11,7,21,18,23,16,15,13,15,16,16,14,10,15,17,18,27,14,16,17,19,33
