일시,부산 강서구 녹산동,부산 강서구 대저동,부산 강서구 명지동,부산 금정구 부곡동,부산 금정구 청룡동,부산 금정구 회동동,부산 기장군 기장읍,부산 기장군 용수리,부산 남구 대연동,부산 남구 용호동,부산 동구 수정동,부산 동래구 명장동,부산 부산진구 개금동,부산 부산진구 전포동,부산 북구 덕천동,부산 북구 화명동,부산 사상구 덕포동,부산 사상구 학장동,부산 사하구 당리동,부산 사하구 장림동,부산 서구 대신동,부산 수영구 광안동,부산 연제구 연산동,부산 영도구 청학동,부산 영도구 태종대,부산 중구 광복동,부산 해운대구 재송동,부산 해운대구 좌동,부산 강서구 부산신항,부산 동구 부산북항,부산 동구 초량동,부산 동래구 온천동,부산 사상구 삼락동,부산 강서구 부산항
2022-06-10 00:00:00,19,22,18,9,12,9,7,15,8,7,10,13,10,4,13,10,16,15,12,10,13,9,15,7,5,10,11,12,15,10,11,16,17,42
2022-06-10 01:00:00,10,21,17,15,14,10,14,13,10,2,11,13,21,2,9,13,18,8,9,12,6,11,15,5,3,7,12,13,7,10,8,14,14,48
2022-06-10 02:00:00,11,20,8,15,16,7,9,20,11,3,9,16,10,7,9,13,17,10,12,11,5,15,11,8,14,7,10,11,18,10,6,18,14,45
2022-06-10 03:00:00,19,23,23,20,15,13,6,19,7,11,16,13,11,6,16,13,19,10,9,10,7,15,16,11,5,10,17,9,24,14,18,16,19,30
2022-06-10 04:00:00,19,26,29,16,15,11,5,15,7,12,14,16,14,13,25,10,16,9,10,12,7,12,11,12,9,9,13,8,22,11,10,16,21,63
2022-06-10 05:00:00,16,27,30,21,7,11,6,16,9,9,13,19,14,2,19,9,12,16,9,32,6,11,17,13,8,7,14,11,29,14,9,13,21,59
2022-06-10 06:00:00,22,28,27,18,10,12,7,8,9,8,9,19,11,4,19,7,20,11,8,27,9,19,16,10,12,7,13,13,18,17,11,16,19,45
2022-06-10 07:00:00,15,28,26,12,14,12,15,13,14,14,9,20,16,9,20,10,17,16,13,30,8,16,15,9,9,37,14,11,27,17,12,25,23,37
2022-06-10 08:00:00,23,30,31,19,29,11,13,17,9,15,9,20,14,12,20,21,22,18,24,32,12,15,15,10,8,21,21,13,24,17,17,26,27,41
2022-06-10 09:00:00,17,25,29,15,7,7,26,32,10,7,19,21,14,14,26,15,27,21,26,24,12,21,13,6,5,13,17,17,18,16,17,19,22,27
2022-06-10 10:00:00,23,18,23,16,12,16,18,28,18,17,23,15,13,11,23,22,24,17,15,23,17,15,19,16,13,15,10,28,19,17,29,21,24,24
2022-06-10 11:00:00,21,23,13,23,17,16,17,18,14,13,28,18,16,12,19,15,25,14,24,29,25,23,22,10,22,24,18,21,14,22,24,19,21,19
2022-06-10 12:00:00,25,18,23,14,11,14,18,17,10,10,22,15,20,14,25,17,15,19,21,27,17,28,22,14,10,14,16,18,16,15,22,27,16,21
2022-06-10 13:00:00,13,19,20,15,11,10,12,16,-,7,27,17,20,28,24,17,31,20,19,24,20,21,15,13,9,14,8,12,10,17,15,22,24,27
2022-06-10 14:00:00,16,19,24,15,15,16,11,14,10,9,25,13,14,9,26,17,23,17,17,32,12,21,17,9,7,13,13,17,11,7,21,20,22,13
2022-06-10 15:00:00,12,21,20,14,15,13,13,12,11,6,22,14,12,7,21,24,27,28,22,27,14,20,12,9,10,15,23,14,14,13,20,21,23,27
2022-06-10 16:00:00,11,19,7,25,12,11,19,13,14,6,23,16,17,4,22,21,28,52,26,24,17,25,17,8,7,17,16,13,10,16,17,25,22,27
2022-06-10 17:00:00,7,19,7,14,14,18,6,20,16,8,18,12,15,16,25,21,26,35,22,20,22,9,19,12,10,20,14,15,12,21,22,20,17,23
2022-06-10 18:00:00,16,14,12,12,18,16,9,17,16,11,18,12,19,10,28,19,11,42,35,17,20,13,17,10,7,14,11,19,11,14,15,22,17,21
2022-06-10 19:00:00,11,11,13,16,17,13,18,18,17,13,20,14,19,17,24,18,17,23,33,22,16,17,17,10,9,16,14,18,12,14,27,22,12,22
2022-06-10 20:00:00,11,8,12,21,18,12,12,17,13,15,28,21,20,17,27,18,22,19,19,25,17,14,20,13,13,18,14,26,15,16,23,27,19,19
2022-06-10 21:00:00,9,18,19,16,14,17,18,24,15,7,21,15,18,15,25,14,23,19,26,19,19,11,20,12,8,12,16,17,12,19,23,22,13,25
2022-06-10 22:00:00,13,21,15,12,16,16,18,20,18,10,14,17,20,16,20,16,20,24,16,25,16,16,17,15,15,16,12,22,16,21,26,27,19,27
2022-06-10 23:00:00,18,21,16,21,10,13,17,19,16,12,20,17,24,9,28,24,15,18,20,16,22,21,20,15,8,20,13,17,15,17,24,23,16,59
