address,m01avg,m02avg,m03avg,m04avg,m05avg,m06avg,m07avg,m08avg,m09avg,m10avg,m11avg,m12avg,year_avg
부산광역시 남구,40.0,42.0,45.0,59.0,53.0,44.0,33.0,38.0,36.0,41.0,48.0,44.0,44.0
부산광역시 동구,37.0,40.0,49.0,60.0,52.0,42.0,29.0,37.0,32.0,34.0,42.0,36.0,41.0
부산광역시 동래구,49.0,50.0,57.0,65.0,51.0,34.0,27.0,42.0,39.0,43.0,60.0,56.0,47.0
부산광역시 부산진구,43.0,44.0,46.0,55.0,42.0,37.0,31.0,34.0,30.0,32.0,44.0,39.0,40.0
부산광역시 북구,40.0,41.0,46.0,53.0,47.0,43.0,33.0,36.0,39.0,35.0,44.0,40.0,42.0
부산광역시 사상구,60.0,57.0,60.0,65.0,58.0,40.0,32.0,40.0,35.0,42.0,61.0,60.0,50.0
부산광역시 사하구,68.0,59.0,58.0,66.0,63.0,40.0,26.0,33.0,34.0,42.0,66.0,66.0,50.0
부산광역시 서구,39.0,37.0,53.0,54.0,47.0,38.0,27.0,35.0,31.0,33.0,46.0,41.0,40.0
부산광역시 수영구,48.0,54.0,52.0,57.0,52.0,38.0,36.0,44.0,42.0,40.0,41.0,32.0,46.0
부산광역시 연제구,46.0,48.0,56.0,64.0,56.0,43.0,31.0,46.0,45.0,35.0,44.0,48.0,47.0
부산광역시 영도구,39.0,42.0,48.0,62.0,56.0,35.0,24.0,32.0,33.0,34.0,41.0,35.0,41.0
부산광역시 중구,45.0,48.0,52.0,63.0,55.0,33.0,28.0,34.0,32.0,36.0,50.0,44.0,43.0
부산광역시 해운대구,36.0,41.0,49.0,60.0,58.0,41.0,29.0,34.0,34.0,37.0,46.0,39.0,42.0
서울특별시 강남구,53.0,48.0,67.0,78.0,55.0,46.0,34.0,38.0,42.0,41.0,58.0,51.0,51.0
서울특별시 강동구,56.0,52.0,68.0,77.0,62.0,47.0,34.0,37.0,40.0,43.0,62.0,55.0,53.0
서울특별시 강북구,47.0,41.0,58.0,62.0,48.0,41.0,32.0,27.0,29.0,31.0,47.0,41.0,42.0
서울특별시 강서구,51.0,48.0,70.0,76.0,59.0,49.0,35.0,39.0,40.0,41.0,53.0,51.0,51.0
서울특별시 관악구,49.0,45.0,62.0,66.0,55.0,50.0,38.0,38.0,40.0,39.0,50.0,45.0,48.0
서울특별시 광진구,54.0,49.0,67.0,68.0,55.0,48.0,30.0,35.0,34.0,36.0,52.0,47.0,48.0
서울특별시 구로구,46.0,41.0,67.0,79.0,61.0,51.0,37.0,41.0,41.0,40.0,53.0,50.0,51.0
서울특별시 금천구,48.0,43.0,61.0,64.0,50.0,45.0,33.0,34.0,34.0,32.0,47.0,43.0,45.0
서울특별시 노원구,47.0,40.0,55.0,56.0,44.0,37.0,29.0,25.0,29.0,34.0,46.0,45.0,40.0
서울특별시 도봉구,49.0,44.0,61.0,71.0,56.0,41.0,32.0,33.0,35.0,36.0,53.0,49.0,46.0
서울특별시 동대문구,52.0,48.0,66.0,76.0,60.0,45.0,32.0,34.0,37.0,38.0,54.0,52.0,49.0
서울특별시 동작구,44.0,38.0,61.0,69.0,51.0,41.0,28.0,29.0,35.0,34.0,46.0,43.0,43.0
서울특별시 마포구,41.0,37.0,63.0,68.0,56.0,48.0,35.0,36.0,37.0,38.0,49.0,45.0,46.0
서울특별시 서대문구,52.0,46.0,68.0,75.0,58.0,46.0,34.0,35.0,37.0,37.0,56.0,53.0,49.0
서울특별시 서초구,56.0,46.0,68.0,76.0,62.0,44.0,34.0,32.0,39.0,40.0,54.0,50.0,50.0
서울특별시 성동구,52.0,52.0,71.0,81.0,63.0,50.0,34.0,36.0,39.0,39.0,56.0,50.0,52.0
서울특별시 성북구,50.0,44.0,61.0,73.0,59.0,44.0,36.0,38.0,41.0,40.0,63.0,48.0,50.0
서울특별시 송파구,48.0,45.0,61.0,69.0,55.0,42.0,30.0,30.0,36.0,36.0,50.0,45.0,46.0
서울특별시 양천구,54.0,48.0,65.0,66.0,51.0,47.0,33.0,33.0,34.0,39.0,49.0,47.0,47.0
서울특별시 영등포구,58.0,52.0,79.0,73.0,67.0,54.0,38.0,41.0,44.0,45.0,59.0,50.0,55.0
서울특별시 용산구,41.0,38.0,54.0,58.0,49.0,43.0,35.0,34.0,35.0,33.0,45.0,43.0,42.0
서울특별시 은평구,47.0,43.0,63.0,69.0,55.0,47.0,33.0,31.0,38.0,39.0,52.0,47.0,47.0
서울특별시 종로구,50.0,46.0,63.0,67.0,53.0,44.0,30.0,31.0,32.0,37.0,50.0,48.0,46.0
서울특별시 중구,48.0,44.0,58.0,69.0,56.0,45.0,34.0,37.0,42.0,30.0,51.0,47.0,47.0
서울특별시 중랑구,51.0,48.0,64.0,77.0,60.0,45.0,34.0,36.0,39.0,40.0,57.0,50.0,50.0
세종특별자치시 세종특별자치시,52.0,47.0,58.0,60.0,48.0,38.0,30.0,38.0,38.0,39.0,53.0,48.0,46.0
울산광역시 남구,39.0,40.0,48.0,60.0,55.0,38.0,30.0,30.0,32.0,35.0,44.0,37.0,41.0
울산광역시 동구,43.0,43.0,52.0,61.0,59.0,40.0,28.0,31.0,33.0,34.0,46.0,40.0,43.0
울산광역시 북구,50.0,46.0,50.0,62.0,50.0,44.0,30.0,28.0,32.0,42.0,56.0,46.0,45.0
울산광역시 울주군,46.0,44.0,52.0,62.0,64.0,43.0,36.0,36.0,39.0,40.0,48.0,42.0,46.0
울산광역시 중구,41.0,41.0,48.0,58.0,54.0,38.0,30.0,33.0,37.0,37.0,44.0,38.0,42.0
인천광역시 강화군,47.0,41.0,56.0,55.0,45.0,36.0,30.0,31.0,35.0,37.0,49.0,34.0,42.0
인천광역시 계양구,59.0,56.0,76.0,78.0,63.0,55.0,26.0,53.0,49.0,55.0,73.0,53.0,58.0
인천광역시 남구,59.0,53.0,72.0,81.0,69.0,60.0,45.0,39.0,41.0,41.0,52.0,48.0,56.0
인천광역시 남동구,57.0,54.0,76.0,82.0,65.0,53.0,36.0,35.0,39.0,41.0,51.0,47.0,54.0
인천광역시 동구,48.0,46.0,66.0,74.0,57.0,43.0,28.0,27.0,33.0,37.0,50.0,50.0,46.0
인천광역시 부평구,34.0,40.0,62.0,70.0,57.0,44.0,35.0,41.0,52.0,46.0,58.0,52.0,49.0
인천광역시 서구,42.0,40.0,59.0,65.0,51.0,44.0,34.0,37.0,36.0,38.0,54.0,44.0,45.0
인천광역시 연수구,44.0,42.0,58.0,60.0,45.0,49.0,44.0,47.0,51.0,53.0,62.0,48.0,50.0
인천광역시 중구,47.0,44.0,62.0,75.0,65.0,51.0,33.0,34.0,46.0,44.0,56.0,52.0,51.0
전라남도 광양시,40.0,42.0,48.0,52.0,47.0,36.0,29.0,34.0,31.0,30.0,38.0,34.0,39.0
전라남도 목포시,42.0,44.0,51.0,60.0,46.0,35.0,25.0,33.0,18.0,18.0,41.0,36.0,38.0
전라남도 순천시,35.0,38.0,43.0,52.0,45.0,30.0,23.0,31.0,30.0,30.0,36.0,30.0,36.0
전라남도 여수시,34.0,37.0,42.0,52.0,47.0,28.0,22.0,30.0,28.0,29.0,35.0,29.0,35.0
전라남도 영암군,40.0,45.0,53.0,58.0,49.0,39.0,31.0,34.0,33.0,33.0,42.0,38.0,42.0
전라북도 고창군,48.0,50.0,57.0,78.0,57.0,44.0,22.0,28.0,37.0,42.0,56.0,49.0,47.0
전라북도 군산시,52.0,50.0,65.0,73.0,58.0,45.0,28.0,38.0,37.0,37.0,45.0,40.0,48.0
전라북도 김제시,50.0,46.0,61.0,74.0,58.0,50.0,28.0,37.0,40.0,45.0,54.0,45.0,49.0
전라북도 남원시,44.0,40.0,51.0,63.0,49.0,42.0,32.0,47.0,38.0,38.0,60.0,53.0,46.0
전라북도 부안군,50.0,47.0,59.0,71.0,57.0,47.0,25.0,34.0,37.0,43.0,53.0,44.0,48.0
전라북도 익산시,60.0,55.0,68.0,75.0,59.0,53.0,29.0,37.0,47.0,52.0,70.0,63.0,55.0
전라북도 전주시,59.0,57.0,68.0,80.0,60.0,51.0,33.0,39.0,42.0,46.0,61.0,55.0,54.0
전라북도 정읍시,57.0,52.0,66.0,78.0,62.0,49.0,0.0,0.0,33.0,36.0,50.0,45.0,44.0
제주특별자치도 서귀포시,39.0,43.0,45.0,52.0,46.0,28.0,23.0,27.0,33.0,36.0,32.0,32.0,37.0
제주특별자치도 제주시,44.0,54.0,53.0,62.0,56.0,38.0,28.0,30.0,36.0,42.0,43.0,38.0,44.0
충청남도 당진시,38.0,36.0,58.0,73.0,62.0,54.0,38.0,46.0,48.0,60.0,57.0,46.0,52.0
충청남도 서산시,41.0,44.0,58.0,68.0,50.0,42.0,27.0,37.0,41.0,38.0,39.0,30.0,44.0
충청남도 아산시,52.0,46.0,63.0,69.0,49.0,45.0,32.0,41.0,43.0,44.0,54.0,51.0,49.0
충청남도 천안시,52.0,48.0,64.0,72.0,56.0,46.0,28.0,36.0,36.0,42.0,56.0,48.0,49.0
충청북도 단양군,47.0,44.0,56.0,51.0,41.0,31.0,24.0,22.0,28.0,32.0,52.0,49.0,39.0
충청북도 제천시,54.0,50.0,63.0,53.0,42.0,26.0,15.0,17.0,25.0,31.0,55.0,52.0,39.0
충청북도 진천시,0.0,0.0,0.0,0.0,0.0,0.0,18.0,27.0,31.0,37.0,56.0,52.0,15.0
충청북도 청주시,55.0,52.0,70.0,72.0,57.0,43.0,24.0,23.0,33.0,40.0,57.0,52.0,48.0
충청북도 충주시,49.0,46.0,64.0,66.0,54.0,40.0,25.0,24.0,28.0,36.0,54.0,48.0,44.0
