address,m01avg,m02avg,m03avg,m04avg,m05avg,m06avg,m07avg,m08avg,m09avg,m10avg,m11avg,m12avg,year_avg
강원도 강릉시,43.0,49.0,63.0,69.0,58.0,44.0,33.0,33.0,38.0,44.0,53.0,40.0,48.0
강원도 동해시,35.0,39.0,52.0,63.0,57.0,38.0,25.0,20.0,26.0,26.0,38.0,30.0,38.0
강원도 삼척시,35.0,37.0,53.0,64.0,55.0,50.0,40.0,37.0,41.0,36.0,42.0,31.0,45.0
강원도 원주시,64.0,56.0,70.0,68.0,58.0,44.0,28.0,29.0,34.0,40.0,69.0,66.0,51.0
강원도 춘천시,62.0,59.0,70.0,71.0,52.0,37.0,29.0,28.0,31.0,34.0,60.0,54.0,48.0
경기도 가평군,58.0,58.0,71.0,69.0,47.0,34.0,19.0,17.0,37.0,40.0,64.0,58.0,47.0
경기도 고양시,41.0,36.0,52.0,54.0,43.0,33.0,20.0,22.0,27.0,38.0,58.0,56.0,39.0
경기도 과천시,52.0,47.0,66.0,70.0,54.0,43.0,32.0,36.0,37.0,32.0,54.0,48.0,48.0
경기도 광명시,54.0,51.0,71.0,78.0,59.0,48.0,33.0,38.0,42.0,42.0,58.0,53.0,52.0
경기도 광주시,60.0,54.0,68.0,72.0,56.0,43.0,33.0,34.0,37.0,42.0,65.0,61.0,51.0
경기도 구리시,66.0,61.0,78.0,78.0,60.0,40.0,32.0,37.0,54.0,60.0,76.0,68.0,58.0
경기도 군포시,44.0,44.0,60.0,65.0,54.0,42.0,40.0,46.0,52.0,25.0,59.0,53.0,48.0
경기도 김포시,66.0,59.0,82.0,83.0,64.0,48.0,32.0,41.0,46.0,56.0,77.0,72.0,59.0
경기도 남양주시,54.0,46.0,62.0,64.0,50.0,38.0,28.0,27.0,32.0,34.0,54.0,50.0,44.0
경기도 동두천시,62.0,53.0,76.0,87.0,62.0,50.0,37.0,30.0,39.0,43.0,65.0,62.0,55.0
경기도 부천시,67.0,63.0,88.0,93.0,68.0,48.0,34.0,38.0,40.0,45.0,60.0,54.0,59.0
경기도 성남시,50.0,44.0,62.0,66.0,51.0,42.0,30.0,33.0,38.0,38.0,52.0,46.0,46.0
경기도 수원시,52.0,49.0,69.0,76.0,59.0,49.0,33.0,40.0,43.0,43.0,50.0,54.0,51.0
경기도 시흥시,54.0,49.0,67.0,73.0,57.0,45.0,34.0,39.0,45.0,44.0,62.0,57.0,52.0
경기도 안산시,55.0,51.0,72.0,75.0,59.0,47.0,33.0,39.0,41.0,42.0,56.0,53.0,52.0
경기도 안성시,50.0,39.0,58.0,81.0,66.0,47.0,27.0,31.0,34.0,50.0,64.0,59.0,50.0
경기도 안양시,55.0,52.0,70.0,75.0,54.0,44.0,29.0,33.0,40.0,40.0,58.0,54.0,50.0
경기도 양주시,78.0,56.0,74.0,77.0,54.0,41.0,20.0,21.0,40.0,49.0,65.0,55.0,52.0
경기도 양평군,56.0,52.0,67.0,67.0,50.0,39.0,30.0,29.0,32.0,32.0,56.0,49.0,46.0
경기도 여주시,70.0,59.0,72.0,68.0,55.0,38.0,33.0,35.0,39.0,44.0,67.0,63.0,53.0
경기도 연천군,59.0,51.0,66.0,71.0,47.0,35.0,23.0,21.0,32.0,39.0,61.0,56.0,46.0
경기도 오산시,51.0,46.0,65.0,73.0,60.0,49.0,36.0,46.0,49.0,50.0,62.0,54.0,53.0
경기도 용인시,53.0,49.0,63.0,67.0,54.0,44.0,32.0,36.0,40.0,42.0,58.0,55.0,49.0
경기도 의왕시,50.0,48.0,63.0,68.0,54.0,44.0,32.0,38.0,40.0,42.0,60.0,56.0,49.0
경기도 의정부시,60.0,51.0,68.0,70.0,54.0,42.0,30.0,27.0,34.0,40.0,54.0,55.0,48.0
경기도 이천시,53.0,47.0,67.0,75.0,62.0,62.0,46.0,58.0,40.0,45.0,67.0,65.0,57.0
경기도 파주시,68.0,63.0,78.0,83.0,66.0,50.0,36.0,39.0,40.0,44.0,64.0,59.0,57.0
경기도 평택시,68.0,58.0,81.0,91.0,69.0,55.0,35.0,42.0,54.0,61.0,78.0,67.0,63.0
경기도 포천시,88.0,67.0,79.0,86.0,45.0,38.0,31.0,30.0,34.0,39.0,62.0,62.0,54.0
경기도 하남시,64.0,57.0,74.0,72.0,57.0,44.0,33.0,34.0,36.0,39.0,61.0,56.0,52.0
경기도 화성시,59.0,54.0,75.0,83.0,65.0,51.0,33.0,36.0,44.0,47.0,65.0,61.0,56.0
경상남도 거제시,43.0,47.0,51.0,58.0,54.0,40.0,30.0,38.0,37.0,37.0,44.0,37.0,44.0
경상남도 김해시,43.0,43.0,46.0,48.0,43.0,35.0,27.0,30.0,30.0,29.0,44.0,41.0,38.0
경상남도 사천시,45.0,45.0,47.0,52.0,47.0,35.0,26.0,33.0,28.0,30.0,42.0,39.0,39.0
경상남도 양산시,48.0,46.0,52.0,62.0,56.0,42.0,31.0,34.0,38.0,40.0,55.0,49.0,46.0
경상남도 진주시,48.0,51.0,56.0,64.0,54.0,46.0,38.0,38.0,40.0,38.0,52.0,46.0,48.0
경상남도 창원시,45.0,47.0,53.0,61.0,55.0,44.0,33.0,34.0,38.0,41.0,51.0,46.0,46.0
경상남도 하동군,38.0,45.0,56.0,62.0,57.0,45.0,36.0,40.0,37.0,39.0,46.0,37.0,46.0
경상북도 경산시,54.0,49.0,50.0,57.0,48.0,36.0,28.0,28.0,32.0,33.0,56.0,51.0,43.0
경상북도 경주시,25.0,23.0,28.0,37.0,36.0,26.0,18.0,21.0,25.0,25.0,34.0,34.0,27.0
경상북도 구미시,51.0,46.0,51.0,58.0,44.0,30.0,21.0,14.0,29.0,35.0,53.0,46.0,39.0
경상북도 김천시,50.0,46.0,57.0,54.0,38.0,34.0,28.0,30.0,40.0,43.0,60.0,43.0,44.0
경상북도 안동시,47.0,45.0,48.0,53.0,44.0,32.0,20.0,18.0,27.0,30.0,46.0,42.0,37.0
경상북도 영주시,59.0,58.0,65.0,62.0,52.0,37.0,27.0,26.0,31.0,36.0,59.0,55.0,47.0
경상북도 포항시,32.0,30.0,36.0,46.0,43.0,31.0,24.0,23.0,25.0,28.0,37.0,34.0,32.0
광주광역시 광산구,44.0,46.0,54.0,66.0,52.0,38.0,25.0,32.0,32.0,34.0,45.0,37.0,43.0
광주광역시 남구,40.0,44.0,50.0,61.0,47.0,31.0,20.0,27.0,26.0,26.0,39.0,37.0,37.0
광주광역시 동구,32.0,39.0,47.0,62.0,48.0,33.0,25.0,20.0,28.0,30.0,43.0,41.0,37.0
광주광역시 북구,36.0,43.0,52.0,65.0,50.0,36.0,26.0,28.0,36.0,37.0,50.0,45.0,42.0
광주광역시 서구,43.0,47.0,53.0,60.0,44.0,30.0,19.0,25.0,25.0,27.0,41.0,41.0,38.0
대구광역시 남구,42.0,37.0,46.0,49.0,42.0,38.0,27.0,25.0,31.0,27.0,0.0,33.0,33.0
대구광역시 달서구,48.0,51.0,52.0,55.0,45.0,36.0,28.0,28.0,34.0,33.0,44.0,38.0,41.0
대구광역시 달성군,37.0,37.0,43.0,58.0,45.0,34.0,26.0,27.0,31.0,34.0,45.0,37.0,38.0
대구광역시 동구,52.0,44.0,50.0,58.0,46.0,38.0,28.0,26.0,34.0,36.0,56.0,55.0,43.0
대구광역시 북구,58.0,56.0,64.0,74.0,59.0,46.0,34.0,33.0,38.0,42.0,58.0,52.0,51.0
대구광역시 서구,46.0,44.0,53.0,55.0,46.0,40.0,34.0,29.0,33.0,36.0,0.0,39.0,38.0
대구광역시 수성구,48.0,44.0,50.0,58.0,46.0,36.0,28.0,26.0,30.0,32.0,50.0,44.0,41.0
대구광역시 중구,49.0,45.0,50.0,62.0,49.0,38.0,29.0,27.0,30.0,34.0,0.0,39.0,38.0
대전광역시 대덕구,56.0,55.0,73.0,74.0,54.0,40.0,26.0,30.0,34.0,40.0,58.0,52.0,49.0
대전광역시 동구,40.0,36.0,47.0,50.0,41.0,35.0,25.0,28.0,31.0,36.0,50.0,46.0,38.0
대전광역시 서구,42.0,42.0,54.0,62.0,48.0,34.0,26.0,28.0,29.0,30.0,43.0,39.0,40.0
대전광역시 유성구,50.0,47.0,57.0,63.0,48.0,42.0,27.0,32.0,38.0,42.0,55.0,52.0,46.0
대전광역시 중구,50.0,46.0,59.0,66.0,50.0,39.0,29.0,29.0,28.0,29.0,44.0,45.0,43.0
부산광역시 강서구,49.0,49.0,56.0,66.0,54.0,43.0,30.0,34.0,38.0,40.0,54.0,53.0,47.0
부산광역시 금정구,46.0,46.0,53.0,56.0,52.0,36.0,26.0,33.0,38.0,38.0,48.0,40.0,43.0
부산광역시 기장군,38.0,39.0,46.0,53.0,48.0,38.0,28.0,36.0,34.0,34.0,44.0,36.0,40.0
