일시,부산 강서구 녹산동,부산 강서구 대저동,부산 강서구 명지동,부산 금정구 부곡동,부산 금정구 청룡동,부산 금정구 회동동,부산 기장군 기장읍,부산 기장군 용수리,부산 남구 대연동,부산 남구 용호동,부산 동구 수정동,부산 동래구 명장동,부산 부산진구 개금동,부산 부산진구 전포동,부산 북구 덕천동,부산 북구 화명동,부산 사상구 덕포동,부산 사상구 학장동,부산 사하구 당리동,부산 사하구 장림동,부산 서구 대신동,부산 수영구 광안동,부산 연제구 연산동,부산 영도구 청학동,부산 영도구 태종대,부산 중구 광복동,부산 해운대구 재송동,부산 해운대구 좌동,부산 강서구 부산신항,부산 동구 부산북항,부산 동구 초량동,부산 동래구 온천동,부산 사상구 삼락동,부산 강서구 부산항
2022-06-20 00:00:00,10,9,9,9,8,4,7,14,13,8,11,6,6,3,10,3,5,12,10,9,14,11,8,8,3,13,13,19,6,14,11,2,3,13
2022-06-20 01:00:00,6,6,9,8,7,2,9,10,10,6,11,5,12,2,9,4,10,8,12,13,7,7,5,6,8,8,8,12,15,9,12,4,5,14
2022-06-20 02:00:00,6,8,13,7,8,2,7,15,12,3,6,8,9,2,8,5,7,13,14,11,4,4,7,5,9,7,6,14,16,9,8,3,8,18
2022-06-20 03:00:00,8,7,11,21,8,4,7,7,11,3,5,8,6,2,8,6,8,8,11,9,7,4,7,6,10,6,9,11,6,6,6,2,6,16
2022-06-20 04:00:00,9,6,9,25,6,4,6,10,8,6,14,6,5,5,14,7,7,8,8,11,7,5,7,6,5,4,8,12,14,8,7,6,3,10
2022-06-20 05:00:00,8,8,8,14,6,4,8,10,8,7,16,8,11,3,9,10,11,27,5,11,12,13,7,7,5,6,10,14,9,18,16,6,6,14
2022-06-20 06:00:00,10,12,11,14,9,9,13,16,10,13,23,8,11,2,14,7,11,15,9,15,14,11,6,6,7,14,11,14,13,20,19,17,8,22
2022-06-20 07:00:00,18,16,10,19,15,8,17,13,18,14,14,8,14,4,21,8,12,19,17,10,17,14,17,8,6,15,17,17,9,18,21,21,9,15
2022-06-20 08:00:00,9,22,10,23,20,14,19,19,14,12,29,21,25,20,25,8,27,28,13,14,24,21,21,18,9,19,21,18,12,19,20,30,14,15
2022-06-20 09:00:00,17,28,17,35,18,18,23,18,27,16,30,29,31,24,37,22,30,46,23,22,42,21,27,20,10,21,26,17,10,22,29,23,30,12
2022-06-20 10:00:00,12,33,14,39,23,23,28,19,30,10,35,28,37,25,34,38,26,47,29,26,23,23,27,24,7,15,18,17,19,26,24,34,21,19
2022-06-20 11:00:00,12,27,11,38,25,29,27,33,27,15,33,27,34,28,35,33,30,49,23,25,22,31,29,19,5,10,21,13,15,32,23,39,26,21
2022-06-20 12:00:00,7,28,8,30,29,22,43,30,23,7,36,31,31,22,37,31,30,-,31,26,26,35,31,16,4,12,24,15,26,18,26,37,25,16
2022-06-20 13:00:00,9,27,13,42,34,25,31,30,20,14,37,28,27,29,36,30,35,-,31,22,24,38,32,8,6,14,21,26,27,26,31,36,23,20
2022-06-20 14:00:00,26,20,19,41,32,22,27,23,20,11,25,19,24,14,29,31,23,-,14,16,14,14,26,5,4,13,11,25,22,22,15,36,16,24
2022-06-20 15:00:00,21,12,17,28,19,14,14,-,14,8,38,11,10,18,22,15,16,20,23,22,20,16,12,2,3,14,12,15,71,15,18,22,15,18
2022-06-20 16:00:00,12,10,15,24,13,14,-,21,9,-,24,13,13,14,17,14,18,14,13,15,16,21,26,2,4,14,9,12,108,14,7,28,9,15
2022-06-20 17:00:00,10,9,7,21,9,11,-,16,9,-,14,12,12,9,22,11,14,21,16,14,13,5,17,2,9,10,4,10,13,13,16,22,7,11
2022-06-20 18:00:00,9,13,6,19,11,8,9,18,10,4,12,12,14,15,17,9,17,22,17,10,14,9,11,2,15,7,4,12,17,11,15,19,8,15
2022-06-20 19:00:00,6,16,10,15,13,7,8,12,14,5,6,12,11,13,26,14,12,17,16,16,19,10,10,5,5,13,9,9,16,17,14,18,9,18
2022-06-20 20:00:00,11,16,7,15,13,18,17,13,14,18,23,15,19,28,24,15,22,23,22,13,25,23,18,16,7,12,18,20,18,17,29,24,11,20
2022-06-20 21:00:00,13,19,8,22,20,17,19,19,22,23,22,15,15,16,24,15,23,24,18,21,26,31,20,17,8,22,18,21,17,25,22,29,10,17
2022-06-20 22:00:00,15,19,11,24,21,16,25,22,22,17,28,20,19,23,17,16,21,25,23,12,15,30,22,17,9,20,21,28,16,23,24,21,9,21
2022-06-20 23:00:00,15,9,7,23,15,16,27,22,14,15,20,12,14,12,24,18,19,17,12,15,20,26,17,10,6,15,22,25,8,23,21,23,8,14
