일시,부산 강서구 녹산동,부산 강서구 대저동,부산 강서구 명지동,부산 금정구 부곡동,부산 금정구 청룡동,부산 금정구 회동동,부산 기장군 기장읍,부산 기장군 용수리,부산 남구 대연동,부산 남구 용호동,부산 동구 수정동,부산 동래구 명장동,부산 부산진구 개금동,부산 부산진구 전포동,부산 북구 덕천동,부산 북구 화명동,부산 사상구 덕포동,부산 사상구 학장동,부산 사하구 당리동,부산 사하구 장림동,부산 서구 대신동,부산 수영구 광안동,부산 연제구 연산동,부산 영도구 청학동,부산 영도구 태종대,부산 중구 광복동,부산 해운대구 재송동,부산 해운대구 좌동,부산 강서구 부산신항,부산 동구 부산북항,부산 동구 초량동,부산 동래구 온천동,부산 사상구 삼락동,부산 강서구 부산항
2022-06-07 00:00:00,6,5,7,11,3,6,8,-,8,9,6,8,7,3,8,2,8,8,9,9,12,7,10,5,8,6,8,14,7,7,6,9,2,30
2022-06-07 01:00:00,3,3,5,11,10,5,5,-,8,7,16,12,8,4,11,3,8,7,10,20,12,8,12,4,8,5,10,11,5,11,7,9,3,28
2022-06-07 02:00:00,4,11,6,9,6,7,9,-,7,5,9,9,10,7,11,10,7,7,8,9,12,13,12,8,8,4,9,14,6,11,10,16,6,36
2022-06-07 03:00:00,6,8,7,6,7,6,7,-,10,9,8,8,9,8,6,6,8,9,8,11,13,12,6,6,5,9,10,12,5,11,10,8,4,38
2022-06-07 04:00:00,6,4,6,3,4,6,4,-,8,8,3,5,9,4,8,6,9,7,11,10,9,8,7,5,8,6,10,9,3,5,6,6,2,25
2022-06-07 05:00:00,10,6,7,3,5,5,6,-,3,7,2,5,9,2,9,6,8,9,8,8,6,7,6,6,5,3,8,11,12,15,4,4,2,35
2022-06-07 06:00:00,8,11,7,5,10,8,8,-,4,6,6,10,8,2,12,4,7,16,10,12,7,8,6,5,7,6,9,12,10,12,3,10,7,40
2022-06-07 07:00:00,10,11,3,10,7,12,10,-,7,7,9,16,6,2,6,7,7,10,10,9,6,9,7,4,10,9,11,11,10,9,11,17,7,31
2022-06-07 08:00:00,16,17,6,12,12,10,7,-,8,9,8,12,12,11,5,6,9,11,10,10,12,10,18,3,12,6,13,18,7,18,12,17,11,24
2022-06-07 09:00:00,13,15,16,10,18,8,22,-,9,7,8,11,11,11,12,11,13,14,12,7,13,8,12,6,10,12,14,22,12,18,19,14,11,21
2022-06-07 10:00:00,14,7,12,9,10,21,15,-,17,16,18,10,10,21,13,8,14,16,9,12,9,16,11,16,13,14,17,19,18,18,16,15,14,22
2022-06-07 11:00:00,17,6,12,9,10,15,14,-,19,17,17,14,16,24,12,8,14,17,14,12,18,19,11,18,15,20,19,20,13,23,17,19,10,31
2022-06-07 12:00:00,30,14,10,10,13,19,11,-,24,14,26,19,16,15,15,9,12,20,20,25,20,19,22,18,15,25,22,24,20,36,35,21,11,39
2022-06-07 13:00:00,19,16,20,15,11,24,18,-,18,10,24,17,20,18,19,11,17,22,17,23,23,19,22,14,12,19,13,21,22,29,24,22,11,35
2022-06-07 14:00:00,22,18,19,22,18,40,12,-,9,10,21,12,22,13,24,17,19,21,16,16,14,11,17,11,15,16,7,22,20,23,25,23,15,25
2022-06-07 15:00:00,16,20,22,16,14,17,16,-,19,8,12,14,11,8,19,16,18,21,17,15,13,10,14,9,10,11,-,18,23,25,17,16,22,25
2022-06-07 16:00:00,14,15,12,24,13,12,19,-,16,14,14,17,17,13,20,16,19,21,14,22,16,14,19,7,7,19,-,16,15,21,17,25,20,31
2022-06-07 17:00:00,16,24,14,14,18,16,11,-,17,14,15,15,18,13,23,14,21,24,17,21,17,13,16,18,7,15,14,19,16,19,20,19,27,27
2022-06-07 18:00:00,14,18,12,14,16,16,13,-,18,11,22,17,15,19,23,18,17,24,13,14,17,11,13,10,8,10,11,14,14,14,20,26,21,32
2022-06-07 19:00:00,22,18,18,18,19,13,14,-,14,17,10,17,14,9,16,18,18,21,14,15,14,14,21,11,10,18,15,15,13,14,20,26,19,27
2022-06-07 20:00:00,13,15,14,15,19,15,14,-,12,12,13,18,17,7,21,17,23,15,13,16,14,17,25,17,10,16,15,22,19,26,22,19,14,27
2022-06-07 21:00:00,11,12,19,15,13,15,14,-,15,10,16,16,20,10,18,20,25,14,10,14,15,14,22,7,10,11,11,20,14,17,19,22,17,26
2022-06-07 22:00:00,17,14,13,14,11,9,13,-,45,9,30,12,18,6,24,7,18,15,16,14,18,15,20,12,12,16,15,12,16,17,14,20,9,29
2022-06-07 23:00:00,15,10,16,16,8,12,19,-,11,11,12,12,12,6,14,10,13,12,10,14,19,11,13,10,8,7,8,15,22,11,18,16,9,25
