address,m01avg,m02avg,m03avg,m04avg,m05avg,m06avg,m07avg,m08avg,m09avg,m10avg,m11avg,m12avg,year_avg
강원도 강릉시,53.0,46.0,50.0,57.0,47.0,38.0,27.0,21.0,24.0,34.0,41.0,36.0,40.0
강원도 동해시,42.0,41.0,46.0,53.0,43.0,32.0,30.0,23.0,23.0,31.0,36.0,29.0,36.0
강원도 삼척시,49.0,40.0,47.0,60.0,49.0,37.0,32.0,26.0,26.0,35.0,41.0,32.0,40.0
강원도 원주시,90.0,75.0,62.0,70.0,72.0,55.0,41.0,30.0,38.0,50.0,70.0,70.0,59.0
강원도 춘천시,70.0,58.0,54.0,52.0,50.0,38.0,30.0,22.0,28.0,39.0,54.0,54.0,45.0
경기도 가평군,61.0,58.0,51.0,52.0,45.0,28.0,30.0,20.0,24.0,33.0,51.0,60.0,41.0
경기도 고양시,68.0,62.0,59.0,67.0,67.0,52.0,35.0,30.0,37.0,43.0,55.0,58.0,52.0
경기도 과천시,66.0,55.0,52.0,54.0,56.0,47.0,30.0,26.0,32.0,36.0,49.0,48.0,46.0
경기도 광명시,66.0,55.0,52.0,55.0,60.0,46.0,30.0,26.0,33.0,38.0,49.0,47.0,46.0
경기도 광주시,66.0,55.0,51.0,55.0,51.0,42.0,31.0,23.0,29.0,39.0,53.0,53.0,45.0
경기도 구리시,48.0,40.0,42.0,54.0,56.0,50.0,35.0,29.0,36.0,42.0,49.0,47.0,44.0
경기도 군포시,58.0,52.0,57.0,62.0,68.0,53.0,38.0,30.0,38.0,42.0,51.0,47.0,50.0
경기도 김포시,71.0,62.0,57.0,62.0,69.0,52.0,37.0,32.0,38.0,43.0,50.0,45.0,52.0
경기도 남양주시,67.0,56.0,51.0,56.0,53.0,42.0,30.0,21.0,27.0,35.0,47.0,46.0,44.0
경기도 동두천시,96.0,82.0,68.0,78.0,76.0,58.0,44.0,32.0,35.0,44.0,57.0,70.0,61.0
경기도 부천시,68.0,63.0,58.0,59.0,66.0,50.0,35.0,31.0,37.0,43.0,57.0,52.0,52.0
경기도 성남시,60.0,52.0,50.0,56.0,56.0,45.0,32.0,26.0,32.0,36.0,45.0,45.0,45.0
경기도 수원시,61.0,54.0,54.0,54.0,59.0,42.0,30.0,25.0,34.0,39.0,50.0,47.0,46.0
경기도 시흥시,69.0,57.0,56.0,56.0,65.0,44.0,33.0,29.0,38.0,44.0,56.0,54.0,50.0
경기도 안산시,64.0,54.0,54.0,51.0,60.0,44.0,32.0,27.0,37.0,40.0,50.0,47.0,47.0
경기도 안성시,77.0,61.0,70.0,70.0,75.0,55.0,30.0,24.0,38.0,45.0,57.0,59.0,55.0
