일시,부산 강서구 녹산동,부산 강서구 대저동,부산 강서구 명지동,부산 금정구 부곡동,부산 금정구 청룡동,부산 금정구 회동동,부산 기장군 기장읍,부산 기장군 용수리,부산 남구 대연동,부산 남구 용호동,부산 동구 수정동,부산 동래구 명장동,부산 부산진구 개금동,부산 부산진구 전포동,부산 북구 덕천동,부산 북구 화명동,부산 사상구 덕포동,부산 사상구 학장동,부산 사하구 당리동,부산 사하구 장림동,부산 서구 대신동,부산 수영구 광안동,부산 연제구 연산동,부산 영도구 청학동,부산 영도구 태종대,부산 중구 광복동,부산 해운대구 재송동,부산 해운대구 좌동,부산 강서구 부산신항,부산 동구 부산북항,부산 동구 초량동,부산 동래구 온천동,부산 사상구 삼락동,부산 강서구 부산항
2022-06-23 00:00:00,8,11,11,11,6,8,14,17,9,12,20,13,10,6,12,4,8,25,18,14,16,11,9,7,5,10,11,13,8,12,10,17,16,14
2022-06-23 01:00:00,10,11,8,11,8,8,17,10,8,8,13,11,15,7,11,5,9,26,18,15,9,11,10,7,13,7,8,11,10,10,9,7,11,12
2022-06-23 02:00:00,11,8,14,12,6,6,8,9,16,5,10,8,9,7,10,6,12,19,16,12,6,8,6,7,9,13,6,8,12,9,9,7,11,13
2022-06-23 03:00:00,9,13,10,14,3,3,6,8,7,6,15,8,11,6,12,7,13,10,15,13,9,14,13,6,5,9,6,13,11,11,11,11,7,31
2022-06-23 04:00:00,9,12,12,12,5,4,8,6,14,16,23,9,11,9,14,6,10,19,17,15,11,12,8,7,8,14,7,13,10,18,16,12,9,24
2022-06-23 05:00:00,17,11,13,12,5,11,11,7,16,11,20,11,16,9,17,8,10,17,12,14,23,13,7,5,8,12,9,14,17,18,17,13,14,21
2022-06-23 06:00:00,11,12,13,15,6,10,10,7,5,6,19,8,11,9,13,10,14,14,12,10,6,10,7,5,4,8,6,11,17,6,9,19,13,13
2022-06-23 07:00:00,16,14,8,17,11,9,6,12,10,6,19,8,6,4,14,12,10,13,13,16,12,9,14,5,9,12,5,12,15,9,13,19,14,16
2022-06-23 08:00:00,16,13,7,16,8,8,6,10,9,7,11,7,6,5,11,10,19,13,7,11,7,6,10,6,6,11,3,13,13,18,12,21,18,12
2022-06-23 09:00:00,14,12,7,19,11,9,10,10,13,8,13,8,7,9,14,12,27,23,9,13,10,8,13,4,2,13,7,12,9,18,15,20,16,13
2022-06-23 10:00:00,17,11,9,13,8,11,7,7,16,5,19,6,9,8,11,11,25,19,15,15,10,12,15,6,4,14,10,14,15,17,13,18,13,18
2022-06-23 11:00:00,21,22,17,11,10,10,6,3,19,16,27,14,7,-,12,13,27,22,20,19,22,18,17,12,5,26,8,19,11,29,22,14,22,28
2022-06-23 12:00:00,29,29,27,4,9,15,6,10,23,11,24,11,17,-,24,18,34,22,26,24,23,20,19,12,6,19,11,24,12,21,16,22,23,32
2022-06-23 13:00:00,18,34,25,18,13,13,6,12,18,13,29,18,17,43,30,20,24,36,26,22,25,14,17,11,7,21,19,21,11,19,18,27,30,77
2022-06-23 14:00:00,22,19,25,24,-,16,13,16,28,19,26,-,10,30,20,20,29,37,25,25,23,14,19,11,6,24,18,21,27,35,22,36,14,33
2022-06-23 15:00:00,23,40,33,34,-,21,21,21,47,33,53,-,26,45,31,23,39,63,35,45,66,46,31,30,15,42,37,36,20,48,37,35,40,-
2022-06-23 16:00:00,34,36,27,40,22,34,29,23,47,39,52,23,28,37,36,32,39,56,37,35,50,44,37,32,19,41,35,37,30,41,35,34,32,-
2022-06-23 17:00:00,34,38,37,35,21,28,29,19,44,39,58,23,32,42,31,27,40,38,39,39,65,44,32,30,14,37,34,44,33,48,37,32,39,46
2022-06-23 18:00:00,32,34,34,39,18,34,27,22,40,39,60,29,32,46,32,25,31,36,38,31,58,47,36,33,20,39,43,45,28,48,42,42,36,42
2022-06-23 19:00:00,27,38,34,39,19,32,31,22,40,39,57,27,31,50,30,27,35,31,33,33,51,44,36,30,19,44,40,38,25,43,36,47,38,59
2022-06-23 20:00:00,31,39,29,33,19,32,34,26,44,34,55,29,24,39,30,24,31,27,32,27,51,45,33,27,19,34,37,40,30,39,28,45,34,53
2022-06-23 21:00:00,30,41,30,36,20,30,34,28,44,32,52,25,33,40,34,35,31,36,36,31,53,43,27,26,24,33,32,37,26,45,38,37,34,52
2022-06-23 22:00:00,29,41,26,40,25,26,29,28,44,27,63,36,24,35,31,35,33,32,34,33,56,37,35,27,15,34,31,36,26,36,31,39,32,43
2022-06-23 23:00:00,24,31,26,30,16,23,26,28,34,29,43,22,24,33,30,20,26,22,29,32,40,34,23,26,16,26,27,29,21,36,22,30,23,53
