address,m01avg,m02avg,m03avg,m04avg,m05avg,m06avg,m07avg,m08avg,m09avg,m10avg,m11avg,m12avg,year_avg
강원도 강릉시,48.0,51.0,62.0,51.0,51.0,45.0,33.0,35.0,26.0,31.0,57.0,52.0,45.0
강원도 동해시,47.0,50.0,74.0,56.0,56.0,38.0,30.0,31.0,21.0,25.0,51.0,43.0,44.0
강원도 삼척시,43.0,43.0,63.0,48.0,52.0,42.0,32.0,30.0,23.0,31.0,57.0,50.0,43.0
강원도 원주시,84.0,69.0,76.0,67.0,70.0,56.0,35.0,31.0,26.0,50.0,82.0,77.0,60.0
강원도 춘천시,67.0,52.0,68.0,58.0,60.0,49.0,34.0,32.0,24.0,41.0,76.0,70.0,53.0
경기도 고양시,72.0,60.0,72.0,58.0,72.0,63.0,46.0,40.0,34.0,56.0,85.0,74.0,61.0
경기도 과천시,72.0,62.0,66.0,53.0,62.0,58.0,40.0,37.0,28.0,42.0,72.0,70.0,55.0
경기도 광명시,46.0,38.0,45.0,36.0,41.0,35.0,22.0,23.0,20.0,31.0,55.0,50.0,37.0
경기도 광주시,77.0,62.0,72.0,62.0,66.0,57.0,39.0,38.0,33.0,52.0,95.0,76.0,61.0
경기도 구리시,58.0,47.0,58.0,50.0,56.0,54.0,38.0,35.0,28.0,46.0,75.0,61.0,50.0
경기도 군포시,70.0,60.0,66.0,61.0,68.0,74.0,48.0,46.0,39.0,52.0,88.0,74.0,62.0
경기도 김포시,72.0,56.0,71.0,60.0,73.0,69.0,52.0,44.0,39.0,56.0,80.0,68.0,62.0
경기도 남양주시,60.0,47.0,48.0,41.0,56.0,59.0,46.0,35.0,26.0,41.0,78.0,68.0,50.0
경기도 동두천시,94.0,70.0,73.0,70.0,74.0,71.0,49.0,48.0,38.0,76.0,111.0,92.0,72.0
경기도 부천시,82.0,66.0,75.0,65.0,72.0,68.0,46.0,40.0,33.0,53.0,86.0,74.0,63.0
경기도 성남시,56.0,54.0,65.0,52.0,60.0,58.0,38.0,38.0,30.0,46.0,66.0,58.0,52.0
경기도 수원시,59.0,48.0,62.0,52.0,63.0,55.0,32.0,33.0,29.0,45.0,78.0,66.0,52.0
경기도 시흥시,67.0,59.0,71.0,58.0,63.0,59.0,36.0,36.0,35.0,53.0,89.0,77.0,59.0
경기도 안산시,59.0,52.0,60.0,53.0,60.0,56.0,36.0,37.0,29.0,41.0,81.0,70.0,53.0
경기도 안성시,61.0,47.0,65.0,56.0,65.0,59.0,36.0,35.0,27.0,46.0,84.0,70.0,54.0
경기도 안양시,62.0,53.0,68.0,58.0,66.0,64.0,44.0,46.0,36.0,51.0,83.0,67.0,58.0
경기도 양주시,80.0,61.0,67.0,56.0,61.0,56.0,43.0,41.0,40.0,68.0,96.0,77.0,62.0
경기도 오산시,79.0,65.0,67.0,68.0,76.0,79.0,55.0,51.0,42.0,53.0,84.0,80.0,67.0
경기도 용인시,69.0,54.0,61.0,52.0,59.0,51.0,34.0,31.0,27.0,44.0,80.0,73.0,53.0
경기도 의왕시,70.0,62.0,72.0,60.0,76.0,73.0,43.0,42.0,37.0,54.0,82.0,70.0,62.0
경기도 의정부시,76.0,60.0,68.0,59.0,66.0,61.0,43.0,43.0,34.0,57.0,82.0,74.0,60.0
경기도 이천시,93.0,65.0,78.0,75.0,83.0,76.0,54.0,55.0,44.0,63.0,95.0,77.0,72.0
