일시,부산 강서구 녹산동,부산 강서구 대저동,부산 강서구 명지동,부산 금정구 부곡동,부산 금정구 청룡동,부산 금정구 회동동,부산 기장군 기장읍,부산 기장군 용수리,부산 남구 대연동,부산 남구 용호동,부산 동구 수정동,부산 동래구 명장동,부산 부산진구 개금동,부산 부산진구 전포동,부산 북구 덕천동,부산 북구 화명동,부산 사상구 덕포동,부산 사상구 학장동,부산 사하구 당리동,부산 사하구 장림동,부산 서구 대신동,부산 수영구 광안동,부산 연제구 연산동,부산 영도구 청학동,부산 영도구 태종대,부산 중구 광복동,부산 해운대구 재송동,부산 해운대구 좌동,부산 강서구 부산신항,부산 동구 부산북항,부산 동구 초량동,부산 동래구 온천동,부산 사상구 삼락동,부산 강서구 부산항
2022-06-02 00:00:00,22,14,21,15,16,18,19,24,24,22,16,16,28,23,23,15,24,30,23,23,17,22,19,17,20,27,18,25,20,21,17,19,19,34
2022-06-02 01:00:00,21,12,31,23,13,15,16,17,19,21,17,20,26,25,22,21,18,24,22,26,16,22,17,20,18,23,16,22,20,18,13,13,13,29
2022-06-02 02:00:00,25,18,19,15,14,11,11,16,23,18,11,19,22,43,14,17,18,30,23,19,16,17,18,19,18,20,19,26,19,20,15,19,17,34
2022-06-02 03:00:00,27,22,19,15,12,15,20,19,14,16,11,18,26,14,17,14,20,30,22,18,22,16,16,16,12,24,17,23,15,15,14,19,17,27
2022-06-02 04:00:00,19,22,20,16,11,14,17,14,24,11,11,15,23,12,21,14,18,24,25,25,22,20,15,25,12,21,15,21,20,13,20,14,17,-
2022-06-02 05:00:00,18,24,22,15,10,16,16,17,16,16,11,16,15,13,25,14,23,27,25,21,15,16,12,19,23,21,16,21,22,27,12,24,22,42
2022-06-02 06:00:00,28,21,23,18,14,17,19,16,19,16,19,17,26,13,27,16,24,53,26,27,23,19,22,18,18,19,21,22,21,15,29,26,27,43
2022-06-02 07:00:00,28,32,27,17,22,14,23,19,26,27,18,22,35,13,31,15,29,40,21,28,17,18,20,18,15,25,18,25,31,27,21,23,29,39
2022-06-02 08:00:00,26,24,24,24,22,27,17,19,30,22,19,25,32,34,32,23,33,45,22,20,20,33,26,21,13,26,22,29,25,22,24,27,28,31
2022-06-02 09:00:00,22,29,20,20,21,58,20,19,25,19,22,22,27,32,35,27,38,46,26,24,26,37,22,20,17,32,26,23,20,30,22,30,28,27
2022-06-02 10:00:00,18,25,16,31,25,77,26,25,27,20,31,24,24,24,28,34,32,47,28,25,30,50,20,12,15,38,25,19,18,37,35,35,25,30
2022-06-02 11:00:00,62,27,7,32,22,36,31,23,29,22,31,29,35,35,33,28,26,45,23,29,33,47,-,19,22,34,21,23,24,34,27,33,29,37
2022-06-02 12:00:00,23,26,20,21,20,54,34,22,31,15,34,30,35,33,29,31,30,59,32,29,36,64,-,18,19,31,27,26,27,34,27,36,24,32
2022-06-02 13:00:00,22,24,17,28,27,39,29,19,27,22,29,27,27,19,37,31,37,58,27,25,25,35,32,20,22,29,27,25,22,-,26,31,25,32
2022-06-02 14:00:00,32,27,22,35,31,43,36,23,33,41,-,28,18,47,29,27,35,63,32,28,32,69,26,17,17,29,27,25,23,-,36,37,29,33
2022-06-02 15:00:00,33,24,20,39,33,65,37,31,35,21,-,36,28,25,33,27,38,73,27,29,24,55,25,23,17,37,27,22,23,27,-,42,29,33
2022-06-02 16:00:00,24,21,19,36,30,32,31,31,31,16,33,26,-,23,33,37,35,60,30,30,25,50,24,28,17,29,17,26,19,29,-,38,28,32
2022-06-02 17:00:00,25,22,24,24,27,20,22,27,28,19,57,24,-,26,27,32,33,50,26,27,38,43,31,24,14,26,22,30,29,42,-,38,25,38
2022-06-02 18:00:00,32,25,20,34,26,22,27,27,27,19,34,24,22,31,27,24,27,44,30,22,30,20,25,20,19,21,23,26,33,28,-,40,28,30
2022-06-02 19:00:00,33,27,28,27,27,18,24,24,27,19,32,22,26,35,29,31,30,31,23,26,27,24,24,19,18,23,22,26,19,27,-,41,31,28
2022-06-02 20:00:00,35,25,19,28,18,21,17,24,26,20,9,29,27,30,23,39,22,26,31,24,25,23,22,17,17,24,25,30,24,26,-,32,30,34
2022-06-02 21:00:00,18,27,22,25,26,21,24,24,25,20,2,26,24,34,27,22,26,26,30,28,23,24,27,17,18,27,26,25,18,31,-,35,28,31
2022-06-02 22:00:00,19,16,20,23,21,22,26,27,26,24,25,20,20,25,23,22,24,26,26,19,27,35,24,20,15,27,26,27,18,27,-,25,20,19
2022-06-02 23:00:00,17,18,21,27,25,22,22,18,22,23,16,24,16,17,19,18,22,25,26,19,18,27,16,22,17,22,17,27,16,21,-,26,25,27
