"구분(1)",구분(2),구분(3),구분(4),2015.01,2015.02,2015.03,2015.04,2015.05,2015.06,2015.07,2015.08,2015.09,2015.10,2015.11,2015.12
"도시대기",인천,서구,연희,46,71,56,43,46,39,37,45,-,50,38,55
"도시대기",인천,서구,석남,49,77,68,50,49,38,30,38*,31,18**,24*,46
"도시대기",인천,서구,검단,51,92,81,60,58,49,40,43,38,53,45,43*
"도시대기",인천,서구,원당,42,75,61,46,48,41,33,38,34,22**,24*,44
"도시대기",인천,계양구,계산,55,84,69,49,52,47,42**,42,38,56,47,62
"도시대기",인천,강화군,송해,63,100,88,60,52,39,28,34,31,42,39,50
"도시대기",인천,연수구,동춘,42,63,60,45,42,32,25,-,30*,46,35,48
"도시대기",광주,동구,서석동,38,56,56,37,38,38,27,18**,19**,42,28,35
"도시대기",광주,서구,농성동,-,-,-,-,-,-,-,-,-,-,-,44
"도시대기",광주,북구,두암동,36,51,56,37,37,40,34**,25,22*,38,24,29
"도시대기",광주,북구,건국동,47,64,72,41,44,51,44**,31,28,58,40,45
"도시대기",광주,광산구,송정동,39,55,57,37,38,-,-,-,-,-,-,-
"도시대기",광주,광산구,송정1동,-,-,-,-,-,34,26,28,27,46,32,38
"도시대기",광주,광산구,오선동,56,74,83,49,47,47,37,40,31**,58,51,58
"도시대기",광주,남구,주월동,41,57,61,39,40,38,30,28,24**,63**,33**,44
"도시대기",대전,대덕구,읍내동,58,80,80,48,58,44,32,33,30,64,46,62
"도시대기",대전,대덕구,문평동,60,66,70,44,54,48,35,34**,32,49,41,53
"도시대기",대전,중구,문창동,54,72,70,38,45,37,22**,32,26,53,36,50
"도시대기",대전,유성구,구성동,51,69,68,41,48,40,28,27,22,44,34,45
"도시대기",대전,유성구,노은동,51,64,67,39,45,36,25,29**,31,55,46,56
"도시대기",대전,동구,성남동,53,69,70,39,52,46,36,37**,21,40,31,42
"도시대기",대전,서구,정림동,42,59,58,36,42,35,21**,34,26*,43,29,42
"도시대기",대전,서구,둔산동,45,62,63,38,45,37,23**,36,28,51,32,45
"도시대기",울산,중구,성남동,45,63,59,52,64,57,43,-,28,37,30,40
"도시대기",울산,남구,부곡동,43,60,58,51,59,53,40,-,-,52,34,42
"도시대기",울산,남구,여천동,49,67,65,55,59,49,37,37,28,44,32,40
"도시대기",울산,남구,야음동,48,66,60,53,61,52,39,43,-,-,27,32
"도시대기",울산,남구,신정동,37,60,56,45,53,44,31*,37,23,33,23,31
"도시대기",울산,남구,무거동,51,70,62,47,53,46,35,38,28,-,-,35
"도시대기",울산,남구,삼산동,47,65,62,50,60,51,38,41,-,-,29,37
"도시대기",울산,울주군,덕신리,41,59,50,43,50,43,31,-,27,39,29,37
"도시대기",울산,울주군,삼남면,38,57,51,42,46,45,30,27,23,-,-,40
"도시대기",울산,울주군,화산리,45,69,67,59,69,55,45*,-,33,53,43,53
"도시대기",울산,울주군,상남리,43,62,56,46,60,60,46,51,35,46,34,40
"도시대기",울산,북구,효문동,58,73,64,54,63,49,38,-,35,51,37,46
"도시대기",울산,북구,농소동,51,65,59,47,54,50,41,35,-,-,27,43
"도시대기",울산,동구,대송동,42,61,56,47,55,46,64**,34,25,38,28,34
"도시대기",경기,수원,인계동,54,89,76,47,49,37,27,43**,34,57,41,53
"도시대기",경기,수원,신풍동,51,61,66,42,41,33,28,37,-,63*,43,53
"도시대기",경기,수원,우만동,52,75,67,44,46,40,-,-,-,-,-,-
"도시대기",경기,수원,광교동,-,-,-,-,-,-,59**,42,33,55,44,55
"도시대기",경기,수원,영통동,52,79,71,43,46,38,20**,35,31,53,38,50
"도시대기",경기,수원,천천동,53,85,69,46,48,37,30,33,29,34**,34*,55
"도시대기",경기,수원,고색동,56,83,73,48,49,39,31,37,-,59,42,57
"도시대기",경기,안양,안양6동,51,77,63,47,48,41,-,39*,-,59*,44,62
"도시대기",경기,안양,부림동,59,88,76,53,49,40,31*,-,37,57,49,71
"도시대기",경기,안양,호계동,51,72,68,46,46,44,-,37,26**,-,38*,64
"도시대기",경기,안양,안양2동,44,74,62,48,44,34,27,31,27,41,29,43
"도시대기",경기,성남,단대동,60,91,81,55,58,49,45,47,32,48,42,47*
"도시대기",경기,성남,정자동,60,89,80,58,55,44,41,44,34,51,43,51
"도시대기",경기,성남,수내동,51,81,70,44,44,35,30,35,-,57,36,48*
"도시대기",경기,성남,복정동,52,79,72,46,46,40,44**,37,31,49,36,51
"도시대기",경기,성남,상대원동,61,92,85,56,57,45,38,44**,37,57,39,54
"도시대기",경기,성남,운중동,51,84,70,43,42,34,28,31,27,17**,34*,55
"도시대기",경기,의정부,의정부동,59*,100,82,58,57,46,37,43,36,45,31,44
"도시대기",경기,의정부,의정부1동,71,100,88,54,53,35,32*,-,40,36,48,77
"도시대기",경기,광명,철산동,52,86,70,45,45,35,28,35,-,56,39,57
"도시대기",경기,광명,소하동,53,87,71,47,46,36,31,36,30,18**,34*,57
"도시대기",경기,안산,고잔동,56,81,74,48,47,40,34**,33,29,47,35,53
"도시대기",경기,안산,원시동,66,92,84,58,54,45,40*,37**,41,61,50,66
"도시대기",경기,안산,본오동,60,91,75,49,49,39,30,35,30,50,38,55
"도시대기",경기,안산,원곡동,60,90,77,50,49,39,32,38,-,65,45,62
"도시대기",경기,안산,부곡동,65,89,78,50,47,37,27,62**,37,60,48,75
"도시대기",경기,안산,대부동,53,77,67,45,39,32,27,34*,-,41**,49,63
"도시대기",경기,안산,호수동,57,87,79,56,60,51,52**,42,36,54,39,52
"도시대기",경기,평택,비전동,59*,79,90,59,72,56,41,49,41,66,46,62
"도시대기",경기,평택,안중,62,84,86,56,60,47,37,43,36,-,42*,64
"도시대기",경기,평택,평택항,79,84,106,66,69,55,44,43,-,93*,61,76
"도시대기",경기,과천,별양동,50,81,70,42,43,34,28,35,-,55,36,54
"도시대기",경기,과천,과천동,59,95,70,44,43,34,25,33,27,45,36,55
"도시대기",경기,구리,교문동,44,91,74,47,49,36,34,35,24*,-,38*,66
"도시대기",경기,구리,동구동,68,102,87,54,51,35,30,34,30*,-,42*,70
"도시대기",경기,의왕,부곡3동,59,84,79,51,53,44,34,40**,37,60*,-,67
"도시대기",경기,의왕,고천동,63,93,73,46,45,37,31,35,30,46,35,47
"도시대기",경기,고양,행신동,54,92,81,51,52,41,34,37,32,50,40,59
"도시대기",경기,고양,식사동,57,84,74,49,48,38,32,40,-,-,40*,71
"도시대기",경기,광주,경안동,61,92,77,50,51,41,59**,39,32,54,43,60
"도시대기",경기,군포,당동,60,86,83,55,62,53,47,44*,-,56,37,47
"도시대기",경기,군포,산본동,55,88,74,49,59,44,36,40,28*,-,41*,60*
"도시대기",경기,시흥,정왕동,62,90,77,53,52,40,32,36,34,51,39,56
"도시대기",경기,시흥,시화산단,68,95,82,59,54,43,35,-,41,63,47,65
"도시대기",경기,시흥,대야동,65,95,82,53,50,42,-,41,35,55,41,57*
"도시대기",경기,부천,소사본동,58,87,77,52,50,41,34,39,32,52,39,56
"도시대기",경기,부천,내동,57,83,73,55,52,43,45*,46,25**,-,29*,43
"도시대기",경기,부천,중2동,57,85,76,52,49,41,31,34,25*,-,41*,73
"도시대기",경기,부천,오정동,46,87,66,49,48,34,27,37,-,65*,39,69
"도시대기",경기,남양주,금곡동,55,94,77,47,48,35,30,33,25,42,33,49
"도시대기",경기,남양주,오남읍,57,97,82,48,48,37,54**,34,25,41,33,55
"도시대기",경기,용인,김량장동,76,109,97,60,64,52,41,46,38,24**,38*,64
"도시대기",경기,용인,수지,53,84,73,46,49,41,35,40,-,52,35,47
